AREAID,SGC,PROV,CAR,CD,CCS,AREANAME,NTFAREA,TFAREA,ETFAREA,NAOWNED,AOWNED,EAOWNED,NTOTLSRT,TOTLSRT,ETOTLSRT,NALSDGOV,ALSDGOV,EALSDGOV,NARNTED,ARNTED,EARNTED,NTOTUSE,TOTUSE,ETOTUSE,NCRPLND,CRPLND,ECRPLND,NSUMMRF,SUMMRF,ESUMMRF,NIMPAST,IMPAST,EIMPAST,NUNIMPST,UNIMPST,EUNIMPST,NOTHLND,OTHLND,EOTHLND,NIRRIG,IRRIG,EIRRIG,NFERTIL,FERTIL,EFERTIL,NHERBCI,HERBCI,EHERBCI,NINSECTI,INSECTI,EINSECTI,NFUNGIC,FUNGIC,EFUNGIC,NMSOLID,MSOLID,EMSOLID,NMIRRIG,MIRRIG,EMIRRIG,NMLIQSUR,MLIQSUR,EMLIQSUR,NMLIQINJ,MLIQINJ,EMLIQINJ,NCROPROT,NPRMGRAS,NCOVCROP,NCONTOUR,NSTRIPCR,NGRASWAT,NWINDYES,NTILARS,TILARS,ETILARS,NTILCONV,TILCONV,ETILCONV,NTILCONS,TILCONS,ETILCONS,NTILLNO,TILLNO,ETILLNO,NCHEMSF,CHEMSF,ECHEMSF,NTILLSF,TILLSF,ETILLSF,NCOMBSF,COMBSF,ECOMBSF
350137004,3537004,35,1,37,4,Mersea,444,"52,474","21,235",418,"31,026","12,556",170,"21,448","8,680",14,328,133,163,"21,120","8,547",444,"52,474","21,235",390,"47,993","19,422",5,54,22,30,375,152,42,507,205,352,"3,545","1,435",117,"2,123",859,351,"36,508","14,774",283,"37,811","15,302",183,"11,845","4,794",153,"9,115","3,689",29,775,314,3,51,21,10,760,308,1,x,x,259,44,103,13,11,33,105,346,"47,122","19,070",267,"22,723","9,196",109,"11,777","4,766",79,"12,622","5,108",1,x,x,3,x,x,1,x,x
350137009,3537009,35,1,37,9,Gosfield South,237,"29,739","12,035",226,"16,665","6,744",73,"13,074","5,291",8,"1,907",772,68,"11,167","4,519",237,"29,739","12,035",221,"26,475","10,714",9,78,32,15,199,81,20,446,180,186,"2,541","1,028",78,"1,176",476,192,"20,903","8,459",169,"19,712","7,977",108,"3,339","1,351",103,"2,829","1,145",26,483,195,0,0,0,4,200,81,0,0,0,127,24,32,11,3,16,28,171,"23,486","9,504",136,"12,609","5,103",30,"4,212","1,705",40,"6,665","2,697",3,21,8,6,57,23,0,0,0
350137014,3537014,35,1,37,14,Gosfield North,198,"27,889","11,286",188,"16,104","6,517",79,"11,785","4,769",15,404,163,73,"11,381","4,606",198,"27,889","11,286",185,"26,292","10,640",2,x,x,15,130,53,24,258,104,138,x,x,26,850,344,154,"18,729","7,579",142,"19,351","7,831",42,"2,728","1,104",35,"1,875",759,32,584,236,0,0,0,5,380,154,1,x,x,155,16,18,5,1,7,25,172,"25,223","10,207",132,"11,755","4,757",46,"5,961","2,412",46,"7,507","3,038",0,0,0,2,x,x,0,0,0
350137018,3537018,35,1,37,18,Colchester North,133,"26,081","10,555",124,"14,505","5,870",58,"11,576","4,685",6,415,168,55,"11,161","4,517",133,"26,081","10,555",131,"22,997","9,307",0,0,0,24,495,200,26,"1,047",424,103,"1,542",624,5,21,8,104,"15,691","6,350",99,"15,590","6,309",10,697,282,7,426,172,23,549,222,0,0,0,1,x,x,0,0,0,104,11,4,4,1,14,16,124,"22,245","9,002",101,"13,471","5,452",24,"3,246","1,314",34,"5,528","2,237",0,0,0,0,0,0,0,0,0
350137021,3537021,35,1,37,21,Colchester South,173,"31,318","12,674",164,"17,739","7,179",69,"13,579","5,495",12,397,161,63,"13,182","5,335",173,"31,318","12,674",164,"28,139","11,387",1,x,x,15,202,82,21,445,180,133,x,x,34,"1,550",627,136,"22,120","8,952",124,"23,686","9,585",65,"7,904","3,199",51,"6,559","2,654",26,662,268,0,0,0,1,x,x,1,x,x,122,21,34,7,6,18,31,141,"26,328","10,655",119,"14,862","6,014",41,"8,362","3,384",25,"3,104","1,256",0,0,0,0,0,0,1,x,x
350137026,3537026,35,1,37,26,Malden,92,"16,955","6,861",85,"8,043","3,255",40,"8,912","3,607",3,317,128,38,"8,595","3,478",92,"16,955","6,861",86,"15,962","6,460",0,0,0,9,389,157,11,120,49,62,484,196,1,x,x,74,"12,054","4,878",69,"11,281","4,565",13,"1,193",483,8,857,347,11,621,251,2,x,x,2,x,x,1,x,x,73,6,9,4,0,6,14,82,"15,749","6,373",69,"7,185","2,908",25,"2,706","1,095",32,"5,858","2,371",0,0,0,0,0,0,0,0,0
350137031,3537031,35,1,37,31,Anderdon,89,"15,561","6,297",83,"6,605","2,673",42,"8,956","3,624",8,895,362,41,"8,061","3,262",89,"15,561","6,297",83,"14,464","5,853",0,0,0,6,263,106,12,99,40,66,735,297,4,"1,053",426,62,"10,494","4,247",61,"11,647","4,713",13,470,190,12,505,204,11,372,151,0,0,0,2,x,x,0,0,0,66,6,6,6,1,5,10,73,"14,173","5,736",49,"5,156","2,087",18,"2,724","1,102",32,"6,293","2,547",0,0,0,0,0,0,0,0,0
350137034,3537034,35,1,37,34,LaSalle,68,"7,890","3,193",64,"3,681","1,490",28,"4,209","1,703",4,18,7,25,"4,191","1,696",68,"7,890","3,193",61,"7,115","2,879",1,x,x,3,14,6,9,72,29,48,x,x,5,934,378,38,"5,366","2,172",36,"6,279","2,541",17,976,395,6,x,x,3,55,22,0,0,0,0,0,0,0,0,0,34,3,1,2,1,1,3,48,"6,992","2,830",37,"4,233","1,713",12,"1,213",491,13,"1,546",626,0,0,0,1,x,x,0,0,0
350137046,3537046,35,1,37,46,Sandwich South,105,"23,987","9,707",97,"13,775","5,575",45,"10,212","4,133",7,379,153,43,"9,833","3,979",105,"23,987","9,707",101,"22,637","9,161",0,0,0,10,194,79,12,266,108,73,890,360,6,76,31,84,"17,162","6,945",75,"18,265","7,392",24,"5,252","2,125",13,"3,439","1,392",14,380,154,2,x,x,2,x,x,0,0,0,84,14,7,1,0,6,10,89,"22,415","9,071",65,"14,500","5,868",23,"2,650","1,072",27,"5,265","2,131",0,0,0,0,0,0,0,0,0
350137051,3537051,35,1,37,51,Maidstone,170,"39,603","16,027",162,"19,930","8,065",83,"19,673","7,961",17,775,314,75,"18,898","7,648",170,"39,603","16,027",162,"36,552","14,792",1,x,x,21,543,220,12,436,176,113,x,x,4,53,21,132,"27,794","11,248",121,"29,815","12,066",17,"1,345",544,11,"1,233",499,21,"1,211",490,0,0,0,1,x,x,1,x,x,139,16,5,2,3,16,20,153,"36,104","14,611",115,"21,829","8,834",54,"6,727","2,722",42,"7,548","3,055",0,0,0,0,0,0,1,x,x
350137058,3537058,35,1,37,58,Rochester,161,"31,172","12,615",141,"17,762","7,188",84,"13,410","5,427",12,652,264,80,"12,758","5,163",161,"31,172","12,615",157,"29,466","11,924",2,x,x,9,289,117,17,247,100,108,x,x,2,x,x,131,"19,043","7,706",123,"24,366","9,861",12,"1,351",547,7,968,392,11,290,117,1,x,x,3,287,116,1,x,x,143,13,3,4,1,14,17,152,"29,273","11,846",100,"12,989","5,256",48,"7,123","2,883",63,"9,161","3,707",0,0,0,0,0,0,2,x,x
350137062,3537062,35,1,37,62,Tilbury West,89,"22,540","9,122",84,"13,723","5,554",42,"8,817","3,568",6,407,165,39,"8,410","3,403",89,"22,540","9,122",89,"21,375","8,650",0,0,0,11,308,125,5,41,17,54,816,330,1,x,x,73,"12,865","5,206",76,"16,850","6,819",6,738,299,2,x,x,11,222,90,1,x,x,2,x,x,2,x,x,84,8,4,1,0,7,10,88,"20,819","8,425",61,"8,703","3,522",28,"3,286","1,330",31,"8,830","3,573",0,0,0,0,0,0,0,0,0
350137066,3537066,35,1,37,66,Tilbury North,150,"26,205","10,605",141,"17,099","6,920",76,"9,106","3,685",11,419,170,71,"8,687","3,516",150,"26,205","10,605",147,"25,216","10,205",0,0,0,10,156,63,11,62,25,81,771,312,8,778,315,125,"16,483","6,670",135,"21,391","8,657",14,"1,300",526,9,919,372,4,70,28,0,0,0,0,0,0,0,0,0,140,8,10,5,0,16,25,145,"24,799","10,036",94,"11,032","4,464",49,"6,144","2,486",44,"7,623","3,085",0,0,0,0,0,0,0,0,0
350138000,3538000,35,1,38,0,Lambton County,"2,622","596,270","241,302","2,510","422,029","170,789","1,051","174,241","70,513",63,"6,657","2,694","1,024","167,584","67,819","2,622","596,270","241,302","2,485","490,595","198,537",25,678,274,568,"18,426","7,457",594,"19,611","7,936","2,335","66,960","27,098",62,"2,935","1,188","2,181","384,300","155,521","2,005","394,601","159,689",332,"38,633","15,634",162,"21,459","8,684",837,"29,749","12,039",90,"5,809","2,351",268,"20,184","8,168",9,"1,101",446,"2,191",401,125,101,19,215,347,"2,368","468,260","189,498","1,770","227,753","92,168",692,"93,508","37,841",918,"146,999","59,488",0,0,0,21,400,162,4,278,113
350138001,3538001,35,1,38,1,Sombra,287,"61,643","24,946",269,"36,159","14,633",135,"25,484","10,313",19,"2,556","1,034",131,"22,928","9,279",287,"61,643","24,946",278,"50,737","20,533",4,34,14,52,"1,887",764,59,"1,747",707,239,"7,238","2,929",3,38,15,232,"35,260","14,269",211,"39,704","16,068",18,"1,937",784,9,"1,180",478,75,"2,323",940,2,x,x,11,452,183,0,0,0,228,47,15,12,0,15,24,258,"48,350","19,567",202,"28,877","11,686",56,"7,387","2,989",84,"12,086","4,891",0,0,0,4,34,14,0,0,0
350138006,3538006,35,1,38,6,Dawn,232,"56,627","22,916",224,"39,996","16,186",100,"16,631","6,730",2,x,x,100,x,x,232,"56,627","22,916",223,"44,898","18,170",1,x,x,48,"2,500","1,012",71,"3,013","1,219",204,x,x,0,0,0,192,"35,851","14,508",173,"36,607","14,814",18,"1,474",597,8,"1,141",462,83,"2,457",994,6,198,80,17,"1,100",445,1,x,x,202,38,10,11,1,12,22,208,"42,949","17,381",149,"17,405","7,044",68,"8,386","3,394",86,"17,158","6,944",0,0,0,0,0,0,1,x,x
350138009,3538009,35,1,38,9,Euphemia,115,"35,483","14,359",107,"23,024","9,317",51,"12,459","5,042",2,x,x,51,x,x,115,"35,483","14,359",111,"29,176","11,807",0,0,0,32,"1,068",432,26,"1,016",411,99,"4,223","1,709",9,314,127,104,"23,349","9,449",98,"23,939","9,688",33,"4,958","2,006",14,"2,181",883,40,"1,547",626,0,0,0,11,672,272,1,x,x,102,13,12,13,3,16,24,109,"28,557","11,557",66,"9,109","3,686",58,"12,443","5,036",30,"7,005","2,835",0,0,0,0,0,0,0,0,0
350138012,3538012,35,1,38,12,Brooke,279,"78,052","31,587",264,"57,353","23,210",112,"20,699","8,377",0,0,0,112,"20,699","8,377",279,"78,052","31,587",268,"65,333","26,439",1,x,x,52,"2,132",863,75,"2,952","1,195",245,x,x,0,0,0,242,"50,945","20,617",228,"56,605","22,907",30,"2,706","1,095",16,"1,706",690,79,"2,555","1,034",12,643,260,41,"3,595","1,455",0,0,0,242,47,11,3,2,38,49,260,"63,403","25,658",171,"22,624","9,156",83,"12,676","5,130",144,"28,103","11,373",0,0,0,1,x,x,0,0,0
350138016,3538016,35,1,38,16,Enniskillen,361,"75,586","30,589",353,"61,165","24,753",109,"14,421","5,836",6,490,198,104,"13,931","5,638",361,"75,586","30,589",345,"60,429","24,455",4,300,121,76,"2,557","1,035",102,"3,571","1,445",324,"8,729","3,533",1,x,x,290,"44,638","18,064",272,"46,278","18,728",16,"1,404",568,4,403,163,126,"4,141","1,676",5,543,220,26,"1,308",529,1,x,x,300,53,7,16,0,23,42,330,"56,920","23,035",230,"22,586","9,140",103,"12,841","5,197",136,"21,493","8,698",0,0,0,3,x,x,1,x,x
350138023,3538023,35,1,38,23,Moore,308,"64,593","26,140",292,"44,264","17,913",126,"20,329","8,227",11,873,353,120,"19,456","7,874",308,"64,593","26,140",293,"50,332","20,369",1,x,x,86,"3,280","1,327",66,"2,573","1,041",282,x,x,3,x,x,255,"40,260","16,293",229,"41,261","16,698",16,"3,014","1,220",12,"1,731",701,99,"3,382","1,369",1,x,x,7,734,297,0,0,0,260,45,16,7,1,11,34,281,"47,018","19,028",215,"23,686","9,585",74,"9,595","3,883",103,"13,737","5,559",0,0,0,1,x,x,0,0,0
350138030,3538030,35,1,38,30,Sarnia,116,"22,608","9,149",112,"12,749","5,159",47,"9,859","3,990",7,333,135,46,"9,526","3,855",116,"22,608","9,149",107,"20,134","8,148",1,x,x,25,724,293,12,195,79,101,x,x,8,78,32,98,"16,916","6,846",87,"15,677","6,344",23,"1,676",678,12,563,228,31,"1,504",609,6,201,81,7,404,163,0,0,0,95,10,6,2,0,3,16,102,"19,320","7,819",76,"8,088","3,273",35,"5,330","2,157",37,"5,902","2,388",0,0,0,1,x,x,0,0,0
350138034,3538034,35,1,38,34,Plympton,367,"74,448","30,128",360,"58,295","23,591",131,"16,153","6,537",4,243,98,128,"15,910","6,439",367,"74,448","30,128",347,"62,357","25,235",4,20,8,81,"1,491",603,68,"1,652",669,338,"8,928","3,613",6,741,300,322,"50,113","20,280",298,"50,148","20,294",59,"5,090","2,060",20,"1,780",720,128,"5,901","2,388",16,"1,182",478,44,"2,966","1,200",2,x,x,318,46,12,15,4,30,54,337,"59,679","24,151",269,"36,177","14,640",92,"10,793","4,368",108,"12,709","5,143",0,0,0,3,x,x,1,x,x
350138041,3538041,35,1,38,41,Warwick,298,"63,289","25,612",285,"46,991","19,017",130,"16,298","6,596",6,552,223,126,"15,746","6,372",298,"63,289","25,612",270,"52,660","21,311",3,198,80,60,"1,559",631,75,"1,804",730,276,"7,068","2,860",6,170,69,242,"44,439","17,984",223,"42,525","17,209",56,"5,196","2,103",26,"3,723","1,507",102,"3,872","1,567",24,"1,703",689,64,"5,466","2,212",2,x,x,242,60,11,10,5,43,41,256,"50,109","20,278",203,"26,191","10,599",67,"6,678","2,702",113,"17,240","6,977",0,0,0,2,x,x,1,x,x
350138046,3538046,35,1,38,46,Bosanquet,259,"63,941","25,876",244,"42,033","17,010",110,"21,908","8,866",6,"1,191",482,106,"20,717","8,384",259,"63,941","25,876",243,"54,539","22,071",6,93,38,56,"1,228",497,40,"1,088",440,227,"6,993","2,830",26,"1,381",559,204,"42,529","17,211",186,"41,857","16,939",63,"11,178","4,524",41,"7,051","2,853",74,"2,067",836,18,"1,229",497,40,"3,487","1,411",2,x,x,202,42,25,12,3,24,41,227,"51,955","21,025",189,"33,010","13,359",56,"7,379","2,986",77,"11,566","4,681",0,0,0,6,93,38,0,0,0
350139000,3539000,35,1,39,0,Middlesex County,"2,987","641,403","259,567","2,820","429,146","173,669","1,192","212,257","85,897",72,"5,438","2,201","1,172","206,819","83,697","2,987","641,403","259,567","2,729","518,301","209,749",25,460,186,826,"24,882","10,069",862,"28,827","11,666","2,631","68,933","27,896",149,"4,164","1,685","2,356","433,708","175,515","2,027","392,826","158,971",812,"90,360","36,567",337,"38,307","15,502","1,264","44,519","18,016",105,"7,033","2,846",361,"27,533","11,142",12,823,333,"2,234",759,219,155,66,561,597,"2,411","476,017","192,637","1,823","261,392","105,782",697,"94,063","38,066",849,"120,562","48,790",1,x,x,17,x,x,7,283,115
350139001,3539001,35,1,39,1,Mosa,143,"36,685","14,846",135,"27,413","11,094",53,"9,272","3,752",4,509,206,52,"8,763","3,546",143,"36,685","14,846",135,"28,687","11,609",0,0,0,32,"1,388",562,39,"1,365",552,128,"5,245","2,123",9,179,72,114,"25,197","10,197",102,"23,227","9,400",36,"5,110","2,068",20,"3,492","1,413",48,"1,702",689,2,x,x,12,534,216,0,0,0,109,39,16,4,2,27,20,126,"27,429","11,100",67,"8,558","3,463",48,"10,809","4,374",44,"8,062","3,263",0,0,0,0,0,0,0,0,0
350139006,3539006,35,1,39,6,Ekfrid,219,"51,380","20,793",208,"35,004","14,166",84,"16,376","6,627",1,x,x,84,x,x,219,"51,380","20,793",197,"38,403","15,541",3,16,6,78,"3,155","1,277",72,"3,780","1,530",199,"6,026","2,439",6,131,53,173,"30,915","12,511",157,"28,892","11,692",39,"4,275","1,730",18,"2,446",990,101,"3,940","1,594",5,210,85,20,"1,996",808,0,0,0,178,61,9,9,4,28,49,182,"34,697","14,041",117,"10,601","4,290",74,"9,402","3,805",79,"14,694","5,946",0,0,0,2,x,x,1,x,x
350139011,3539011,35,1,39,11,Metcalfe,122,"30,984","12,539",117,"22,012","8,908",56,"8,972","3,631",1,x,x,56,x,x,122,"30,984","12,539",114,"23,715","9,597",1,x,x,41,"1,681",680,37,"1,699",688,99,x,x,4,17,7,99,"20,836","8,432",87,"17,679","7,154",31,"3,854","1,560",15,"1,977",800,52,"2,060",834,6,401,162,15,752,304,1,x,x,88,24,6,6,1,16,18,103,"22,183","8,977",67,"8,803","3,562",33,"6,332","2,562",56,"7,048","2,852",1,x,x,0,0,0,0,0,0
350139014,3539014,35,1,39,14,Caradoc,306,"62,528","25,304",283,"38,843","15,719",116,"23,685","9,585",9,688,278,113,"22,997","9,307",306,"62,528","25,304",277,"49,544","20,050",9,220,89,59,"1,693",685,100,"3,418","1,383",273,"7,653","3,097",58,"2,214",896,239,"41,385","16,748",209,"40,265","16,295",134,"17,553","7,103",71,"7,186","2,908",113,"5,960","2,412",5,191,77,24,"2,165",876,1,x,x,214,72,46,13,12,23,78,232,"46,623","18,868",152,"20,918","8,465",94,"14,549","5,888",73,"11,156","4,515",0,0,0,6,73,30,3,147,59
350139019,3539019,35,1,39,19,Delaware,101,"21,036","8,513",94,"12,409","5,022",39,"8,627","3,491",2,x,x,38,x,x,101,"21,036","8,513",86,"16,842","6,816",1,x,x,37,921,373,29,"1,061",429,81,x,x,5,177,72,70,"14,975","6,060",61,"13,228","5,353",18,"2,541","1,028",6,449,182,43,"1,555",629,1,x,x,5,830,336,0,0,0,60,41,9,5,4,23,25,66,"15,097","6,110",54,"8,528","3,451",23,"3,780","1,530",23,"2,789","1,129",0,0,0,1,x,x,0,0,0
350139026,3539026,35,1,39,26,North Dorchester,234,"41,501","16,795",226,"28,258","11,436",88,"13,243","5,359",5,463,187,87,"12,780","5,172",234,"41,501","16,795",207,"33,314","13,482",1,x,x,70,"1,568",635,67,"1,474",597,203,x,x,13,399,161,186,"26,522","10,733",141,"18,790","7,604",59,"5,448","2,205",22,"2,933","1,187",116,"3,879","1,570",3,75,30,28,"2,160",874,2,x,x,166,56,21,14,6,67,45,182,"28,320","11,461",141,"18,649","7,547",45,"5,288","2,140",51,"4,383","1,774",0,0,0,1,x,x,0,0,0
350139031,3539031,35,1,39,31,West Nissouri,256,"45,540","18,429",243,"32,085","12,984",104,"13,455","5,445",5,245,99,103,"13,210","5,346",256,"45,540","18,429",237,"37,473","15,165",2,x,x,69,"1,296",524,59,"2,419",979,226,x,x,4,140,57,209,"32,097","12,989",175,"26,917","10,893",83,"8,554","3,462",30,"2,790","1,129",139,"4,818","1,950",4,167,68,43,"3,923","1,588",3,168,68,201,56,26,21,3,33,63,219,"32,860","13,298",186,"21,979","8,895",47,"5,616","2,273",60,"5,265","2,131",0,0,0,2,x,x,0,0,0
350139034,3539034,35,1,39,34,London,318,"76,472","30,947",299,"48,565","19,654",134,"27,907","11,294",15,"1,263",511,130,"26,644","10,782",318,"76,472","30,947",294,"64,630","26,155",0,0,0,90,"2,467",998,80,"2,259",914,282,"7,116","2,880",5,103,42,243,"49,592","20,069",215,"47,058","19,044",72,"5,925","2,398",34,"5,307","2,148",133,"4,325","1,750",11,"1,073",434,43,"3,501","1,417",2,x,x,247,68,14,16,5,44,58,265,"59,720","24,168",218,"33,735","13,652",62,"9,645","3,903",86,"16,340","6,613",0,0,0,0,0,0,0,0,0
350139036,3539036,35,1,39,36,London,207,"30,378","12,294",183,"19,586","7,926",83,"10,792","4,367",10,508,206,80,"10,284","4,162",207,"30,378","12,294",174,"24,322","9,843",2,x,x,60,"1,491",603,57,"1,222",495,175,x,x,14,133,54,131,"18,398","7,445",119,"17,059","6,904",55,"4,308","1,743",32,"1,166",472,76,"2,181",883,3,135,55,9,450,182,0,0,0,116,63,14,11,7,55,42,131,"21,244","8,597",105,"14,621","5,917",30,"2,583","1,045",35,"4,040","1,635",0,0,0,1,x,x,1,x,x
350139039,3539039,35,1,39,39,Lobo,229,"40,423","16,359",220,"26,942","10,903",82,"13,481","5,456",4,493,200,82,"12,988","5,256",229,"40,423","16,359",207,"32,023","12,959",2,x,x,65,"1,473",596,78,"2,053",831,214,x,x,7,258,104,182,"27,497","11,128",154,"24,896","10,075",57,"5,922","2,397",22,"2,394",969,83,"1,841",745,5,125,51,18,"1,335",540,1,x,x,166,65,16,11,4,66,66,179,"29,432","11,911",128,"16,724","6,768",57,"5,805","2,349",58,"6,903","2,794",0,0,0,2,x,x,0,0,0
350139042,3539042,35,1,39,42,East Williams,120,"34,635","14,016",115,"21,586","8,736",56,"13,049","5,281",2,x,x,55,x,x,120,"34,635","14,016",116,"28,280","11,445",0,0,0,38,"1,387",561,32,"1,240",502,109,"3,728","1,509",0,0,0,111,"24,989","10,113",91,"23,537","9,525",30,"4,767","1,929",8,897,363,52,"1,802",729,10,878,355,20,"1,456",589,0,0,0,105,29,10,7,4,28,33,109,"27,242","11,024",94,"18,587","7,522",37,"3,700","1,497",41,"4,955","2,005",0,0,0,0,0,0,0,0,0
350139046,3539046,35,1,39,46,Adelaide,188,"38,418","15,547",176,"27,273","11,037",81,"11,145","4,510",4,362,146,80,"10,783","4,364",188,"38,418","15,547",172,"32,109","12,994",2,x,x,55,"1,875",759,58,"1,549",627,166,x,x,11,167,68,152,"28,198","11,411",135,"24,501","9,915",57,"6,434","2,604",17,"1,712",693,69,"1,964",795,22,"1,710",692,49,"3,256","1,318",0,0,0,143,46,8,4,3,47,29,152,"29,447","11,917",115,"14,816","5,996",40,"4,351","1,761",76,"10,280","4,160",0,0,0,2,x,x,0,0,0
350139049,3539049,35,1,39,49,West Williams,124,"29,757","12,042",120,"22,509","9,109",52,"7,248","2,933",1,x,x,52,x,x,124,"29,757","12,042",117,"24,056","9,735",1,x,x,30,597,242,36,"1,350",546,109,x,x,7,228,92,106,"22,518","9,113",89,"19,873","8,042",31,"4,196","1,698",15,"2,384",965,47,"1,294",524,11,833,337,26,"2,290",927,0,0,0,97,37,7,9,2,32,19,108,"22,413","9,070",83,"10,292","4,165",29,"3,263","1,320",47,"8,858","3,585",0,0,0,0,0,0,1,x,x
350139054,3539054,35,1,39,54,McGillivray,236,"65,743","26,605",229,"43,900","17,766",90,"21,843","8,840",7,493,200,87,"21,350","8,640",236,"65,743","26,605",226,"55,725","22,551",1,x,x,52,"1,416",573,63,"2,627","1,063",209,x,x,3,9,4,202,"44,839","18,146",170,"42,964","17,387",72,"9,174","3,713",10,"2,200",890,116,"4,962","2,008",16,982,397,36,"2,284",924,1,x,x,204,45,9,15,3,41,24,207,"52,569","21,274",185,"40,966","16,578",49,"6,239","2,525",47,"5,364","2,171",0,0,0,0,0,0,1,x,x
350139058,3539058,35,1,39,58,Biddulph,184,"35,923","14,538",172,"22,761","9,211",74,"13,162","5,326",2,x,x,73,x,x,184,"35,923","14,538",170,"29,178","11,808",0,0,0,50,"2,474","1,001",55,"1,311",531,158,"2,960","1,198",3,9,4,139,"25,750","10,421",122,"23,940","9,688",38,"2,299",930,17,974,394,76,"2,236",905,1,x,x,13,601,243,1,x,x,140,57,8,10,6,31,28,150,"26,741","10,822",111,"13,615","5,510",29,"2,701","1,093",73,"10,425","4,219",0,0,0,0,0,0,0,0,0
350200000,3500000,35,2,0,0,Western Ontario Region - RÇgion de l'Ouest de l'Ontario,"21,305","4,193,177","1,696,918","20,215","2,854,199","1,155,053","7,762","1,338,978","541,865",493,"45,578","18,445","7,554","1,293,400","523,420","21,305","4,193,177","1,696,918","18,872","2,838,875","1,148,852",422,"10,614","4,295","7,549","328,924","133,111","8,425","359,674","145,555","19,040","655,090","265,105",550,"19,374","7,840","13,807","1,947,768","788,234","10,985","1,571,974","636,155","2,999","249,034","100,780","1,435","117,072","47,377","13,524","580,740","235,017",504,"33,869","13,706","2,092","154,069","62,350",80,"6,557","2,654","13,593","6,883","1,080","1,357",501,"2,885","2,740","14,912","2,008,581","812,844","12,781","1,317,941","533,352","3,431","405,619","164,148","2,240","285,021","115,344",40,"1,040",421,301,"6,281","2,542",90,"3,293","1,333"
350221000,3521000,35,2,21,0,Peel Regional Municipality,689,"120,026","48,573",627,"56,304","22,785",296,"63,722","25,787",26,"3,100","1,255",288,"60,622","24,533",689,"120,026","48,573",540,"84,009","33,997",28,852,345,188,"7,312","2,959",320,"12,735","5,154",580,"15,118","6,118",70,"1,041",421,351,"59,409","24,042",258,"45,331","18,345",121,"9,781","3,958",69,"3,880","1,570",328,"14,203","5,748",6,380,154,33,"2,083",843,3,650,263,286,251,38,24,15,105,69,341,"54,479","22,047",283,"32,683","13,226",96,"13,818","5,592",47,"7,978","3,229",3,x,x,16,x,x,9,491,199
350221005,3521005,35,2,21,5,Mississauga,61,"7,354","2,976",53,"3,907","1,581",28,"3,447","1,395",4,394,159,27,"3,053","1,236",61,"7,354","2,976",51,"5,590","2,262",2,x,x,15,414,168,15,408,165,52,x,x,9,60,24,31,"3,643","1,474",23,"3,125","1,265",11,867,351,8,158,64,20,813,329,1,x,x,4,310,125,0,0,0,24,16,4,5,2,6,7,34,"4,186","1,694",31,"2,737","1,108",8,764,309,4,685,277,2,x,x,0,0,0,0,0,0
350221010,3521010,35,2,21,10,Brampton,138,"23,103","9,349",119,"8,757","3,544",73,"14,346","5,806",9,613,248,72,"13,733","5,558",138,"23,103","9,349",112,"16,846","6,817",6,x,x,32,"1,118",452,58,"1,785",722,118,x,x,25,550,223,88,"12,612","5,104",60,"9,431","3,817",40,"1,526",618,29,"1,496",605,57,"3,067","1,241",3,175,71,8,441,178,2,x,x,62,40,8,3,4,21,17,76,"11,254","4,554",59,"6,352","2,571",25,"3,382","1,369",12,"1,520",615,1,x,x,2,x,x,3,68,28
350221024,3521024,35,2,21,24,Caledon,490,"89,569","36,247",455,"43,640","17,660",195,"45,929","18,587",13,"2,093",847,189,"43,836","17,740",490,"89,569","36,247",377,"61,573","24,918",20,641,259,141,"5,780","2,339",247,"10,542","4,266",410,"11,033","4,465",36,431,174,232,"43,154","17,464",175,"32,775","13,264",70,"7,388","2,990",32,"2,226",901,251,"10,323","4,178",2,x,x,21,"1,332",539,1,x,x,200,195,26,16,9,78,45,231,"39,039","15,799",193,"23,594","9,548",63,"9,672","3,914",31,"5,773","2,336",0,0,0,14,218,88,6,423,171
350222000,3522000,35,2,22,0,Dufferin County,"1,039","222,183","89,914",972,"141,441","57,239",389,"80,742","32,675",24,"2,095",848,383,"78,647","31,827","1,039","222,183","89,914",879,"125,731","50,882",37,"1,031",417,343,"15,985","6,469",526,"26,165","10,589",925,"53,271","21,558",17,361,146,553,"74,617","30,196",405,"54,871","22,206",116,"12,146","4,915",56,"7,843","3,174",620,"22,736","9,201",2,x,x,26,"2,520","1,020",6,348,141,523,388,59,74,25,89,131,592,"73,271","29,652",506,"49,048","19,849",141,"21,552","8,722",37,"2,671","1,081",3,21,8,25,556,225,11,454,184
350222001,3522001,35,2,22,1,East Garafraxa,127,"34,136","13,814",122,"16,621","6,726",58,"17,515","7,088",5,431,174,56,"17,084","6,914",127,"34,136","13,814",121,"24,938","10,092",3,70,28,42,"1,762",713,52,"2,559","1,036",115,"4,807","1,945",1,x,x,91,"18,908","7,652",72,"15,943","6,452",13,"1,583",641,6,803,325,81,"3,169","1,282",0,0,0,6,525,212,1,x,x,87,48,5,15,1,26,21,88,"19,159","7,753",74,"10,896","4,409",28,"7,355","2,976",11,908,367,1,x,x,3,x,x,0,0,0
