AREAID,SGC,PROV,CAR,CD,CCS,AREANAME,TOTAL,TOTALF,TOTALR,TOTALC,ONE,ONEF,ONER,ONEC,TWO,TWOF,TWOR,TWOC
241367010,2467010,24,13,67,10,Saint-Philippe,45,170,"83,982","539,774",35,175,"77,055","474,030",15,156,"102,096","711,718"
241367015,2467015,24,13,67,15,La Prairie,15,218,"67,582","480,979",15,163,"52,667","425,603",5,383,"112,326","647,105"
241367035,2467035,24,13,67,35,Saint-Constant,35,221,"233,757","709,756",20,197,"83,206","461,309",15,252,"431,357","1,035,843"
241367040,2467040,24,13,67,40,Saint-Isidore,55,216,"222,022","728,008",25,168,"138,637","510,477",30,263,"305,408","945,538"
241367045,2467045,24,13,67,45,Mercier,70,143,"114,265","477,776",45,139,"94,546","429,225",20,152,"157,290","583,706"
241368000,2468000,24,13,68,0,Les Jardins-de-Napierville,775,185,"203,270","546,698",445,158,"151,270","438,858",330,221,"274,570","694,565"
241368005,2468005,24,13,68,5,Saint-Bernard-de-Lacolle,65,233,"138,586","583,270",35,184,"101,659","457,206",30,297,"187,383","749,855"
241368015,2468015,24,13,68,15,Hemmingford,110,175,"62,232","329,871",70,164,"45,006","281,280",40,195,"93,591","418,332"
241368020,2468020,24,13,68,20,Sainte-Clotilde-de-Châteauguay,70,181,"319,425","640,371",35,180,"292,759","647,585",35,182,"346,852","632,951"
241368025,2468025,24,13,68,25,Saint-Patrice-de-Sherrington,100,211,"277,677","633,297",50,179,"191,165","421,379",45,247,"373,593","868,250"
241368035,2468035,24,13,68,35,Saint-Cyprien-de-Napierville,80,276,"220,750","804,127",45,208,"181,551","630,273",30,384,"282,709","1,078,930"
241368040,2468040,24,13,68,40,Saint-Jacques-le-Mineur,60,255,"174,568","633,520",35,244,"140,879","589,666",25,271,"223,081","696,670"
241368045,2468045,24,13,68,45,Saint-Édouard,65,150,"185,956","489,796",35,123,"159,064","348,497",25,187,"223,190","685,442"
241368050,2468050,24,13,68,50,Saint-Michel,95,133,"220,839","485,684",50,121,"189,462","439,927",45,145,"255,703","536,525"
241368055,2468055,24,13,68,55,Saint-Rémi,135,118,"233,655","469,857",85,88,"138,334","343,520",50,165,"385,047","670,509"
241369000,2469000,24,13,69,0,Le Haut-Saint-Laurent,790,238,"123,231","541,334",460,210,"93,288","474,974",330,277,"164,324","632,404"
241369005,2469005,24,13,69,5,Havelock,65,196,"40,831","295,117",35,171,"36,814","265,585",25,238,"47,357","343,106"
241369010,2469010,24,13,69,10,Franklin,100,169,"89,601","390,024",65,138,"81,042","357,110",35,232,"107,237","457,846"
241369020,2469020,24,13,69,20,Saint-Jean-Chrysostome,80,184,"134,696","523,856",50,173,"127,954","483,101",30,202,"145,483","589,066"
241369030,2469030,24,13,69,30,Très-Saint-Sacrement,85,265,"171,928","820,214",45,263,"141,474","790,152",35,266,"212,534","860,297"
241369040,2469040,24,13,69,40,Saint-Malachie-d'Ormstown,105,208,"107,989","530,821",65,170,"66,142","421,610",40,268,"173,900","702,829"
241369045,2469045,24,13,69,45,Hinchinbrooke,95,269,"117,414","475,413",50,232,"98,705","378,700",45,312,"138,675","585,315"
241369050,2469050,24,13,69,50,Elgin,45,296,"126,787","508,501",25,253,"66,109","441,767",20,340,"190,222","578,269"
241369060,2469060,24,13,69,60,Godmanchester,85,273,"116,407","600,770",50,235,"81,821","507,366",35,328,"166,803","736,872"
241369065,2469065,24,13,69,65,Sainte-Barbe,25,304,"192,554","755,824",10,325,"171,937","599,975",15,281,"214,888","924,661"
241369070,2469070,24,13,69,70,Saint-Anicet,80,280,"171,916","584,794",40,269,"105,948","553,112",45,290,"231,747","613,529"
241369075,2469075,24,13,69,75,Dundee,30,280,"137,758","660,312",15,281,"106,044","693,451",15,279,"171,737","624,805"
241370000,2470000,24,13,70,0,Beauharnois-Salaberry,395,217,"159,811","660,241",225,172,"106,932","528,076",165,276,"231,260","838,822"
241370015,2470015,24,13,70,15,Saint-Paul-de-Châteauguay,130,210,"157,649","651,915",80,176,"109,031","550,443",45,265,"236,654","816,805"
241370025,2470025,24,13,70,25,Beauharnois,40,227,"192,254","709,295",20,158,"115,817","472,036",25,277,"247,845","881,847"
241370030,2470030,24,13,70,30,Saint-Étienne-de-Beauharnois,35,280,"202,813","781,099",20,184,"142,797","470,544",15,405,"281,583","1,188,703"
241370035,2470035,24,13,70,35,Saint-Louis-de-Gonzague,65,250,"193,527","792,897",30,220,"131,270","679,067",35,276,"246,891","890,466"
241370040,2470040,24,13,70,40,Saint-Stanislas-de-Kostka,60,179,"112,367","509,572",40,139,"75,637","412,292",20,246,"174,649","674,526"
241370055,2470055,24,13,70,55,Saint-Timothée,65,191,"132,921","592,065",45,162,"93,709","536,123",25,243,"203,176","692,294"
241371000,2471000,24,13,71,0,Vaudreuil-Soulanges,620,195,"134,292","558,932",385,162,"97,974","436,447",235,249,"193,792","759,597"
241371015,2471015,24,13,71,15,Saint-Télesphore,65,193,"105,997","455,431",40,164,"75,070","370,715",20,253,"169,323","628,896"
241371020,2471020,24,13,71,20,Saint-Polycarpe,85,279,"268,125","838,640",50,247,"152,461","635,222",40,323,"427,553","1,119,026"
241371040,2471040,24,13,71,40,Coteau-du-Lac,40,171,"125,319","468,453",25,129,"108,848","368,870",20,224,"146,365","595,698"
241371045,2471045,24,13,71,45,Saint-Clet,40,231,"132,245","639,044",30,168,"81,169","483,774",10,414,"280,365","1,089,328"
241371050,2471050,24,13,71,50,Les Cèdres,70,212,"203,107","541,398",45,203,"243,737","474,388",25,227,"139,905","645,635"
241371083,2471083,24,13,71,83,Vaudreuil-Dorion,90,111,"56,842","441,234",60,116,"36,138","420,666",40,105,"88,177","472,364"
241371110,2471110,24,13,71,110,Sainte-Marthe,75,194,"126,515","550,669",50,146,"93,871","391,697",20,312,"206,640","940,873"
241371115,2471115,24,13,71,115,Sainte-Justine-de-Newton,60,206,"110,251","622,887",35,154,"58,907","428,600",25,291,"195,081","943,882"
241371125,2471125,24,13,71,125,Très-Saint-Rédempteur,20,175,"84,309","421,738",15,169,"72,127","408,952",10,185,"105,628","444,113"
241371133,2471133,24,13,71,133,Rigaud,70,174,"75,980","476,776",35,106,"36,598","301,040",35,249,"119,055","668,988"
350000000,3500000,35,0,0,0,Ontario,"67,520",206,"115,203","605,168","40,375",188,"95,493","528,894","27,145",232,"144,514","718,602"
350100000,3500000,35,1,0,0,Southern Ontario Region - Région du Sud de l'Ontario,"22,425",183,"150,861","677,873","12,885",163,"124,543","588,111","9,540",210,"186,412","799,128"
350125000,3525000,35,1,25,0,Hamilton-Wentworth Regional Municipality,"1,230",121,"148,161","686,708",700,118,"117,467","662,491",530,123,"188,317","718,391"
350125003,3525003,35,1,25,3,Stoney Creek,140,70,"109,723","639,540",75,86,"90,563","573,172",65,53,"130,915","712,947"
350125009,3525009,35,1,25,9,Glanbrook,175,190,"210,597","908,297",100,204,"273,035","1,021,003",70,170,"122,656","749,556"
350125014,3525014,35,1,25,14,Ancaster,220,136,"118,142","693,486",130,120,"88,689","640,279",90,159,"159,441","768,090"
350125030,3525030,35,1,25,30,Flamborough,695,108,"150,027","639,602",395,102,"92,390","595,319",300,116,"224,973","697,183"
350126000,3526000,35,1,26,0,Niagara Regional Municipality,"2,670",86,"152,815","549,387","1,450",77,"122,746","494,566","1,225",97,"188,441","614,339"
350126003,3526003,35,1,26,3,Fort Erie,70,143,"82,211","569,829",50,112,"80,376","591,111",25,200,"85,458","532,175"
350126011,3526011,35,1,26,11,Port Colborne,80,162,"92,332","533,826",55,183,"89,082","541,690",30,125,"98,075","519,932"
350126014,3526014,35,1,26,14,Wainfleet,235,146,"133,683","474,229",125,136,"111,210","432,880",110,157,"159,455","521,648"
350126021,3526021,35,1,26,21,West Lincoln,540,132,"117,647","480,344",285,95,"78,658","361,912",255,173,"161,394","613,231"
350126028,3526028,35,1,26,28,Pelham,255,68,"114,329","466,925",135,67,"67,141","425,070",115,70,"169,114","515,519"
350126032,3526032,35,1,26,32,Welland,20,83,"49,957","288,198",15,102,"17,005","309,915",5,54,"99,385","255,622"
350126037,3526037,35,1,26,37,Thorold,65,118,"134,949","501,684",45,62,"105,500","384,129",25,203,"179,669","680,193"
350126043,3526043,35,1,26,43,Niagara Falls,95,105,"69,589","451,962",70,87,"47,826","368,555",30,148,"123,592","658,936"
350126047,3526047,35,1,26,47,Niagara-on-the-Lake,515,42,"168,655","546,236",260,39,"132,138","454,856",250,44,"206,773","641,620"
350126053,3526053,35,1,26,53,St. Catharines,130,34,"259,189","665,669",60,33,"117,435","559,731",70,35,"378,668","754,960"
350126057,3526057,35,1,26,57,Lincoln,525,61,"216,499","724,933",295,63,"240,155","749,884",230,59,"186,954","693,772"
350126065,3526065,35,1,26,65,Grimsby,145,45,"147,339","463,598",70,52,"66,978","431,848",70,38,"228,849","495,801"
350128000,3528000,35,1,28,0,Haldimand-Norfolk Regional Municipality,"2,985",178,"151,793","550,209","1,535",159,"119,298","472,611","1,450",197,"186,193","632,355"
350128002,3528002,35,1,28,2,Dunnville,250,197,"144,098","493,841",145,154,"89,751","391,436",105,257,"218,632","634,282"
350128015,3528015,35,1,28,15,Haldimand,585,207,"93,288","559,755",350,192,"88,361","514,294",235,230,"100,688","628,046"
350128033,3528033,35,1,28,33,Nanticoke,735,186,"144,923","560,699",395,166,"112,928","476,765",340,211,"182,392","658,992"
350128040,3528040,35,1,28,40,Simcoe,35,169,"244,156","603,005",25,141,"198,205","465,728",10,238,"359,034","946,199"
350128049,3528049,35,1,28,49,Delhi,660,143,"200,285","557,733",315,135,"179,931","514,453",340,150,"218,983","597,491"
350128054,3528054,35,1,28,54,Norfolk,725,171,"159,886","541,809",300,141,"107,678","414,530",420,192,"197,641","633,850"
350129000,3529000,35,1,29,0,Brant County,985,180,"149,342","692,792",510,152,"112,193","609,899",475,210,"189,312","781,980"
350129001,3529001,35,1,29,1,Onondaga,115,183,"87,370","569,034",60,147,"71,729","442,306",55,220,"103,286","697,985"
350129004,3529004,35,1,29,4,Brantford,240,193,"161,996","702,867",140,176,"130,906","652,794",100,217,"205,400","772,771"
350129009,3529009,35,1,29,9,Oakland,55,181,"180,021","726,744",20,143,"100,283","508,021",35,204,"229,271","861,837"
350129011,3529011,35,1,29,11,Burford,365,162,"169,902","675,037",170,122,"114,217","509,639",195,197,"217,673","816,927"
350129016,3529016,35,1,29,16,South Dumfries,210,195,"124,351","772,524",120,171,"109,025","797,962",85,230,"146,168","736,312"
350132000,3532000,35,1,32,0,Oxford County,"2,340",188,"178,738","776,399","1,185",159,"144,083","625,747","1,155",218,"214,292","930,961"
350132002,3532002,35,1,32,2,Norwich,595,164,"171,602","698,400",300,153,"151,543","594,514",285,175,"192,706","807,697"
350132012,3532012,35,1,32,12,South-West Oxford,415,211,"171,214","796,682",200,176,"124,264","583,318",215,243,"213,641","989,492"
350132027,3532027,35,1,32,27,Zorra,595,187,"177,905","797,043",305,160,"131,839","671,387",290,217,"226,530","929,680"
350132038,3532038,35,1,32,38,East Zorra-Tavistock,340,184,"235,040","891,629",165,140,"213,877","665,155",180,224,"254,312","1,097,859"
350132045,3532045,35,1,32,45,Blandford-Blenheim,405,205,"150,324","741,697",220,165,"116,639","614,439",180,252,"190,636","893,990"
350134000,3534000,35,1,34,0,Elgin County,"1,810",222,"145,179","667,382",945,196,"131,458","570,404",865,250,"160,237","773,811"
350134001,3534001,35,1,34,1,Bayham,245,183,"124,825","535,009",105,184,"109,462","490,507",140,183,"136,677","569,339"
350134008,3534008,35,1,34,8,Malahide,315,163,"188,855","630,375",150,145,"183,696","527,314",165,180,"193,666","726,481"
350134014,3534014,35,1,34,14,South Dorchester,145,216,"180,863","768,579",75,209,"195,957","733,946",70,225,"163,772","807,796"
350134018,3534018,35,1,34,18,Yarmouth,255,271,"159,671","849,172",125,243,"112,812","737,034",125,300,"207,664","964,023"
350134024,3534024,35,1,34,24,Southwold,285,258,"170,769","719,299",155,171,"168,287","509,853",130,364,"173,798","974,922"
350134029,3534029,35,1,34,29,Dunwich,245,261,"103,219","665,716",145,225,"84,943","589,870",95,317,"131,584","783,436"
350134040,3534040,35,1,34,40,Aldborough,320,210,"100,278","574,063",175,204,"92,466","502,477",145,218,"109,934","662,550"
350136000,3536000,35,1,36,0,Kent County,"2,690",217,"165,198","768,894","1,745",186,"158,497","666,425",950,274,"177,490","956,881"
350136001,3536001,35,1,36,1,Romney,100,271,"114,487","764,024",65,201,"84,553","610,072",35,406,"172,540","1,062,598"
350136006,3536006,35,1,36,6,Tilbury East,220,249,"91,682","696,138",140,227,"79,306","639,370",75,290,"114,825","802,301"
350136011,3536011,35,1,36,11,Raleigh,310,207,"109,407","698,544",200,183,"92,194","592,227",105,254,"143,172","907,089"
350136014,3536014,35,1,36,14,Harwich,470,178,"148,683","688,959",320,159,"135,757","627,200",150,219,"175,905","819,020"
350136021,3536021,35,1,36,21,Howard,265,230,"136,195","721,860",160,197,"94,369","615,411",105,283,"202,625","890,926"
350136026,3536026,35,1,36,26,Orford,200,272,"392,546","955,480",120,271,"563,948","1,113,574",85,274,"153,808","735,278"
350136031,3536031,35,1,36,31,Zone,100,223,"106,544","660,560",55,181,"76,411","496,673",45,282,"148,437","888,403"
350136036,3536036,35,1,36,36,Camden,230,200,"118,110","709,805",155,176,"80,698","634,947",80,248,"191,515","856,678"
350136041,3536041,35,1,36,41,Chatham,470,210,"236,231","844,296",300,155,"242,900","632,897",165,306,"224,472","1,217,057"
350136048,3536048,35,1,36,48,Dover,330,223,"139,965","889,299",220,196,"119,894","736,722",110,276,"180,843","1,200,052"
350137000,3537000,35,1,37,0,Essex County,"2,105",167,"149,712","708,151","1,375",141,"113,069","577,926",735,214,"218,213","951,593"
350137004,3537004,35,1,37,4,Mersea,445,118,"294,646","798,856",270,98,"252,961","635,425",175,149,"358,722","1,050,073"
350137009,3537009,35,1,37,9,Gosfield South,235,125,"237,095","725,194",135,132,"144,615","567,382",100,117,"359,495","934,064"
350137014,3537014,35,1,37,14,Gosfield North,200,141,"73,063","520,105",140,127,"51,999","420,654",65,171,"119,266","738,255"
350137018,3537018,35,1,37,18,Colchester North,130,196,"63,891","594,336",85,190,"55,485","579,796",50,207,"78,776","620,084"
350137021,3537021,35,1,37,21,Colchester South,175,181,"120,990","727,835",105,118,"74,095","532,315",65,286,"198,906","1,052,700"
350137026,3537026,35,1,37,26,Malden,90,184,"93,940","661,032",60,144,"70,994","503,779",35,259,"136,964","955,882"
350137031,3537031,35,1,37,31,Anderdon,90,175,"134,280","748,121",60,105,"124,488","564,527",30,293,"150,895","1,059,673"
350137034,3537034,35,1,37,34,LaSalle,65,116,"70,551","552,250",45,104,"55,439","488,200",20,147,"109,525","717,432"
350137046,3537046,35,1,37,46,Sandwich South,105,228,"88,872","942,012",65,187,"63,581","806,569",40,301,"133,462","1,180,820"
350137051,3537051,35,1,37,51,Maidstone,170,233,"124,162","778,921",115,172,"104,450","636,871",60,356,"164,290","1,068,094"
350137058,3537058,35,1,37,58,Rochester,160,194,"67,062","658,670",110,161,"54,894","578,480",50,263,"93,306","831,631"
350137062,3537062,35,1,37,62,Tilbury West,90,253,"85,154","799,644",65,213,"60,118","625,927",25,357,"149,247","1,244,360"
350137066,3537066,35,1,37,66,Tilbury North,150,175,"70,853","569,946",120,170,"66,083","549,296",30,193,"90,756","656,106"
350138000,3538000,35,1,38,0,Lambton County,"2,625",227,"114,961","646,914","1,715",207,"86,772","558,992",905,266,"168,082","812,601"
350138001,3538001,35,1,38,1,Sombra,285,215,"100,163","541,824",205,187,"82,120","464,587",80,285,"146,049","738,256"
350138006,3538006,35,1,38,6,Dawn,230,244,"89,207","583,402",160,245,"86,622","586,647",70,242,"94,951","576,191"
350138009,3538009,35,1,38,9,Euphemia,115,309,"132,491","724,928",70,295,"110,794","652,459",45,331,"168,821","846,271"
350138012,3538012,35,1,38,12,Brooke,275,280,"117,635","748,112",175,264,"94,608","674,641",105,307,"157,594","875,607"
350138016,3538016,35,1,38,16,Enniskillen,360,209,"85,138","569,588",245,200,"63,584","529,107",120,229,"129,525","652,950"
350138023,3538023,35,1,38,23,Moore,305,210,"70,640","556,043",220,189,"55,705","484,763",90,260,"107,392","731,440"
350138030,3538030,35,1,38,30,Sarnia,115,195,"129,256","677,642",75,157,"78,242","545,267",40,266,"226,184","929,154"
350138034,3538034,35,1,38,34,Plympton,365,203,"125,328","694,777",230,176,"89,984","545,559",135,249,"186,784","954,237"
350138041,3538041,35,1,38,41,Warwick,295,212,"144,231","674,403",170,181,"108,520","554,232",130,256,"192,980","838,446"
350138046,3538046,35,1,38,46,Bosanquet,255,247,"183,262","779,234",155,225,"128,470","664,370",100,280,"264,924","950,426"
350139000,3539000,35,1,39,0,Middlesex County,"2,985",215,"150,786","764,769","1,740",191,"132,323","674,239","1,250",248,"176,442","890,570"
350139001,3539001,35,1,39,1,Mosa,140,257,"101,098","650,617",90,222,"84,154","501,002",55,312,"128,209","890,002"
350139006,3539006,35,1,39,6,Ekfrid,220,235,"115,383","634,206",135,206,"92,122","519,785",80,284,"155,797","833,014"
350139011,3539011,35,1,39,11,Metcalfe,120,254,"124,164","699,046",70,224,"106,506","653,350",55,293,"147,152","758,537"
350139014,3539014,35,1,39,14,Caradoc,305,204,"253,404","788,947",155,238,"361,847","957,137",150,171,"143,534","618,543"
350139019,3539019,35,1,39,19,Delaware,100,208,"161,712","742,247",65,134,"153,963","560,142",35,326,"174,030","1,031,748"
350139026,3539026,35,1,39,26,North Dorchester,235,177,"121,593","719,063",130,157,"102,954","653,538",105,203,"144,892","800,970"
350139031,3539031,35,1,39,31,West Nissouri,260,178,"128,273","748,195",135,156,"91,443","633,505",120,202,"170,013","878,177"
350139034,3539034,35,1,39,34,London,320,240,"151,394","1,045,901",185,180,"112,372","788,212",135,326,"206,381","1,409,009"
350139036,3539036,35,1,39,36,London,205,147,"109,620","772,313",125,141,"93,490","760,160",80,155,"135,754","792,003"
350139039,3539039,35,1,39,39,Lobo,230,177,"96,260","646,268",140,153,"84,035","574,342",85,215,"115,848","761,512"
350139042,3539042,35,1,39,42,East Williams,120,289,"201,486","870,035",75,283,"153,290","812,441",45,298,"281,812","966,025"
350139046,3539046,35,1,39,46,Adelaide,190,204,"202,469","702,165",95,178,"155,992","526,725",95,231,"250,966","885,233"
350139049,3539049,35,1,39,49,West Williams,120,240,"155,515","743,697",70,223,"116,217","632,125",55,264,"211,764","903,398"
350139054,3539054,35,1,39,54,McGillivray,235,279,"191,762","824,477",140,219,"135,857","652,124",95,365,"273,289","1,075,826"
350139058,3539058,35,1,39,58,Biddulph,185,195,"112,488","691,861",120,192,"104,185","688,821",65,201,"128,057","697,562"
350200000,3500000,35,2,0,0,Western Ontario Region - Région de l'Ouest de l'Ontario,"21,305",197,"124,912","639,035","13,025",184,"110,339","575,747","8,280",216,"147,847","738,632"
350221000,3521000,35,2,21,0,Peel Regional Municipality,685,174,"111,881","1,598,044",410,150,"83,843","1,346,953",280,208,"152,347","1,960,435"
350221005,3521005,35,2,21,5,Mississauga,60,121,"108,922","1,034,262",55,131,"87,079","903,887",5,58,"235,131","1,787,537"
350221010,3521010,35,2,21,10,Brampton,140,167,"171,763","2,258,709",65,157,"110,839","2,657,422",70,178,"229,255","1,882,459"
350221024,3521024,35,2,21,24,Caledon,490,183,"95,385","1,482,165",290,152,"76,979","1,122,085",205,226,"121,627","1,995,546"
350222000,3522000,35,2,22,0,Dufferin County,"1,035",214,"76,740","604,230",640,205,"64,685","545,293",395,229,"96,396","700,320"
350222001,3522001,35,2,22,1,East Garafraxa,130,269,"123,710","816,520",85,213,"113,650","669,259",45,370,"142,040","1,084,861"
350222008,3522008,35,2,22,8,Amaranth,220,186,"60,117","506,906",135,163,"42,553","448,437",80,224,"88,897","602,709"
350222010,3522010,35,2,22,10,East Luther-Grand Valley,115,203,"87,687","536,743",65,202,"79,784","511,740",55,205,"97,262","567,035"
350222012,3522012,35,2,22,12,Mono,215,138,"61,687","576,735",140,126,"68,906","496,909",80,160,"48,467","722,909"
350222016,3522016,35,2,22,16,Mulmur,165,276,"39,446","632,438",110,320,"39,194","653,296",55,187,"39,949","590,721"
350222019,3522019,35,2,22,19,Melancthon,195,248,"106,749","621,943",110,235,"66,937","545,852",85,264,"160,472","724,619"
350223000,3523000,35,2,23,0,Wellington County,"2,810",172,"132,784","624,239","1,585",162,"121,366","575,236","1,225",186,"147,622","687,920"
350223001,3523001,35,2,23,1,Puslinch,180,127,"95,579","753,151",115,110,"101,638","673,379",65,156,"85,205","889,729"
350223006,3523006,35,2,23,6,Guelph,120,222,"476,913","1,187,866",70,200,"656,348","1,101,840",45,254,"213,488","1,314,160"
350223011,3523011,35,2,23,11,Eramosa,210,162,"91,497","658,495",130,138,"61,564","585,202",80,201,"139,537","776,126"
350223016,3523016,35,2,23,16,Erin,275,142,"58,367","686,910",155,141,"50,433","736,656",120,144,"68,682","622,241"
350223021,3523021,35,2,23,21,West Garafraxa,185,209,"100,378","564,183",95,216,"92,410","489,833",90,200,"109,354","647,934"
350223024,3523024,35,2,23,24,Nichol,130,191,"116,227","731,045",75,171,"84,725","608,272",55,216,"155,877","885,570"
350223029,3523029,35,2,23,29,Pilkington,140,192,"181,494","694,826",80,169,"170,178","615,296",65,220,"194,725","787,814"
350223032,3523032,35,2,23,32,Peel,495,147,"151,690","583,952",280,137,"128,570","549,347",215,159,"181,974","629,279"
350223036,3523036,35,2,23,36,Maryborough,305,182,"176,456","639,071",155,179,"134,917","551,750",145,185,"220,820","732,331"
350223041,3523041,35,2,23,41,Minto,315,199,"103,542","511,631",180,193,"86,789","472,027",135,207,"125,632","563,850"
350223048,3523048,35,2,23,48,Arthur,310,171,"119,945","479,691",170,158,"89,240","437,689",140,187,"157,276","530,758"
350223054,3523054,35,2,23,54,West Luther,155,191,"53,674","424,666",90,184,"48,085","370,093",60,200,"61,534","501,409"
350224000,3524000,35,2,24,0,Halton Regional Municipality,720,152,"179,602","1,079,743",480,160,"210,858","1,108,448",245,135,"117,480","1,022,692"
350224001,3524001,35,2,24,1,Oakville,45,228,"72,356","2,152,653",30,232,"49,096","2,032,408",10,210,"157,643","2,593,555"
350224002,3524002,35,2,24,2,Burlington,110,110,"299,069","953,513",80,131,"375,799","1,068,273",30,56,"96,104","649,954"
350224009,3524009,35,2,24,9,Milton,305,120,"87,914","900,328",180,112,"93,284","946,585",130,132,"80,521","836,636"
350224015,3524015,35,2,24,15,Halton Hills,255,195,"255,135","1,175,998",185,207,"280,366","1,118,054",75,164,"189,393","1,326,978"
350230000,3530000,35,2,30,0,Waterloo Regional Municipality,"1,590",147,"189,550","700,799","1,005",124,"171,980","610,560",590,187,"219,572","854,990"
350230004,3530004,35,2,30,4,North Dumfries,135,214,"168,625","974,375",80,143,"102,503","698,603",50,326,"272,894","1,409,246"
350230010,3530010,35,2,30,10,Cambridge,45,138,"603,457","989,573",30,138,"827,160","959,728",10,140,"104,428","1,056,151"
350230013,3530013,35,2,30,13,Kitchener,45,131,"188,882","1,304,435",25,84,"197,258","1,230,691",20,203,"176,071","1,417,220"
350230020,3530020,35,2,30,20,Wilmot,310,172,"198,584","810,084",170,151,"151,323","715,544",135,198,"257,230","927,395"
350230027,3530027,35,2,30,27,Wellesley,520,119,"161,867","503,892",360,111,"161,314","463,370",155,135,"163,132","596,404"
350230035,3530035,35,2,30,35,Woolwich,540,147,"184,247","690,636",335,122,"152,231","616,909",205,186,"235,258","808,105"
350231000,3531000,35,2,31,0,Perth County,"2,830",180,"151,926","679,678","1,555",161,"127,554","584,984","1,280",203,"181,478","794,495"
350231001,3531001,35,2,31,1,South Easthope,145,157,"136,884","672,542",80,159,"124,937","631,910",65,155,"151,772","723,175"
350231006,3531006,35,2,31,6,North Easthope,240,165,"124,406","673,475",130,150,"95,054","585,137",110,184,"160,490","782,075"
350231009,3531009,35,2,31,9,Downie,225,220,"201,452","891,631",110,189,"129,909","743,054",115,250,"272,372","1,038,915"
350231014,3531014,35,2,31,14,Blanshard,230,163,"117,739","607,424",135,154,"110,796","570,107",100,174,"127,091","657,688"
350231018,3531018,35,2,31,18,Fullarton,200,201,"153,495","714,746",115,176,"108,691","582,772",85,235,"214,113","893,301"
350231021,3531021,35,2,31,21,Hibbert,165,256,"172,671","778,696",90,248,"171,837","752,885",65,267,"173,806","813,858"
350231024,3531024,35,2,31,24,Logan,300,209,"161,122","782,164",160,159,"111,186","621,530",140,266,"217,433","963,304"
350231028,3531028,35,2,31,28,Ellice,310,162,"150,833","663,704",160,148,"130,319","560,842",150,178,"172,851","774,108"
350231032,3531032,35,2,31,32,Mornington,360,139,"125,780","519,249",235,129,"114,431","450,973",130,158,"146,600","644,511"
350231036,3531036,35,2,31,36,Elma,360,186,"197,455","717,937",170,172,"206,355","627,376",190,199,"189,533","798,541"
350231041,3531041,35,2,31,41,Wallace,290,162,"125,175","560,798",160,147,"104,507","501,264",130,181,"150,454","633,612"
350240000,3540000,35,2,40,0,Huron County,"3,150",233,"162,514","667,828","2,010",213,"138,881","589,344","1,140",269,"204,126","806,017"
350240001,3540001,35,2,40,1,Usborne,170,258,"200,574","859,825",100,220,"186,355","747,637",70,315,"221,292","1,023,298"
350240004,3540004,35,2,40,4,Stephen,215,271,"219,856","861,027",145,262,"212,467","801,437",70,291,"235,611","988,093"
350240009,3540009,35,2,40,9,Hay,165,289,"151,521","827,089",115,241,"107,425","629,872",50,398,"250,086","1,267,928"
350240016,3540016,35,2,40,16,Tuckersmith,175,235,"214,348","860,855",105,175,"97,814","673,248",65,335,"407,974","1,172,571"
350240019,3540019,35,2,40,19,Stanley,155,311,"177,757","853,793",110,302,"155,450","795,450",45,333,"230,614","992,042"
350240024,3540024,35,2,40,24,Goderich,200,188,"152,167","645,635",135,186,"114,306","527,587",65,193,"232,621","896,487"
350240031,3540031,35,2,40,31,Colborne,125,193,"136,007","549,883",85,189,"122,736","525,985",45,202,"162,232","597,110"
350240034,3540034,35,2,40,34,Hullett,235,213,"160,753","616,995",135,180,"120,090","543,024",105,254,"212,260","710,692"
350240038,3540038,35,2,40,38,McKillop,240,215,"148,617","738,081",150,189,"124,663","624,521",80,263,"191,963","943,572"
350240042,3540042,35,2,40,42,Grey,250,250,"188,049","755,735",150,232,"186,957","692,817",100,275,"189,634","847,028"
350240046,3540046,35,2,40,46,Howick,315,192,"157,106","514,058",195,175,"143,192","476,917",120,219,"179,601","574,103"
350240049,3540049,35,2,40,49,Turnberry,155,177,"123,586","475,508",100,176,"133,227","487,414",50,180,"104,303","451,696"
350240054,3540054,35,2,40,54,Morris,220,244,"166,283","595,180",145,228,"162,752","527,816",80,272,"172,763","718,821"
350240058,3540058,35,2,40,58,East Wawanosh,160,214,"123,270","493,060",95,186,"98,060","391,267",65,256,"161,279","646,533"
350240061,3540061,35,2,40,61,West Wawanosh,150,226,"105,084","487,873",100,196,"82,261","423,630",55,284,"149,835","613,838"
350240064,3540064,35,2,40,64,Ashfield,215,268,"145,542","574,680",140,263,"130,818","540,934",80,278,"171,971","635,249"
350241000,3541000,35,2,41,0,Bruce County,"2,570",244,"109,105","458,565","1,645",238,"101,657","428,936",925,256,"122,403","511,459"
350241001,3541001,35,2,41,1,Carrick,310,178,"104,363","452,241",180,171,"91,467","423,641",130,187,"121,886","491,102"
350241006,3541006,35,2,41,6,Culross,230,204,"99,032","452,723",135,197,"81,824","416,105",95,213,"122,387","502,419"
350241011,3541011,35,2,41,11,Kinloss,160,214,"81,349","398,937",105,217,"83,824","407,752",55,209,"76,714","382,431"
350241019,3541019,35,2,41,19,Huron,195,268,"139,311","588,165",140,228,"129,033","502,073",55,370,"165,285","805,745"
350241021,3541021,35,2,41,21,Kincardine,245,202,"92,860","418,546",170,184,"78,099","381,555",75,242,"125,684","500,803"
