AREAID,PROV,CAR,CD,CCS,SGC,AREANAME,NTFAREA,NTCHICK,TCHICK,NPULLETS,PULLETS,NHENS,HENS,NAOCHCK,AOCHCK,NHENEGG,HENEGG,NTURKEY,TURKEY,NOTHPLT,OTHPLT,NEGGS,EGGS,NNOCHCK,NOCHCK,NNOTURK,NOTURK,NTCATTL,TCATTL,NBULLS,BULLS,NTOTCOW,TOTCOW,NMLKCOW,MLKCOW,NBFCOWS,BFCOWS,NHEIFER,HEIFER,NMLKHEF,MLKHEF,NBFHEFS,BFHEFS,NBFSLGH,BFSLGH,NSTEERS,STEERS,NCALFU1,CALFU1,NCOWMLK,COWMLK,NTOPIGS,TOPIGS,NBOARS,BOARS,NSOWS,SOWS,NTOTOTP,TOTOTP,NPIGU45,PIGU45,NPIGS45,PIGS45,NPIG130,PIG130,NTSHEEP,TSHEEP,NRAMS,RAMS,NEWEWETH,EWEWETH,NLAMBS,LAMBS,NHORSES,HORSES,NGOATS,GOATS,NRABBIT,RABBIT,NMINK,MINK,NFOX,FOX,NOTHLIV,NBEES,BEES
350401038,35,4,1,38,3501038,- Finch,152,12,x,4,x,5,x,7,400,0,0,4,63,3,101,4,x,4,280,4,122,127,"10,068",60,142,118,"4,968",94,"4,456",35,512,115,"2,727",92,"2,310",25,256,15,161,26,239,112,"1,992",94,"3,797",8,"6,071",6,31,6,498,8,"5,542",5,"1,460",6,"2,182",5,"1,900",6,206,4,6,6,124,5,76,14,32,2,x,7,64,0,0,0,0,1,2,x
350401045,35,4,1,45,3501045,- Roxborough,181,21,"13,486",5,160,15,x,12,x,0,0,4,94,7,24,12,x,13,"1,166",5,138,122,"7,482",60,100,108,"3,667",75,"3,263",42,404,98,"2,024",77,"1,811",24,166,13,47,20,84,104,"1,607",72,"2,711",10,715,5,8,5,79,9,628,5,310,6,x,2,x,6,x,2,x,6,x,4,18,24,72,8,114,8,201,0,0,0,0,0,1,x
350401048,35,4,1,48,3501048,- Kenyon,175,21,"121,730",6,x,15,x,10,x,0,0,9,240,7,180,14,x,11,x,2,x,125,"6,719",67,103,110,"3,097",64,"2,524",51,573,101,"1,858",65,"1,652",35,154,10,52,16,109,110,"1,552",59,"2,144",18,"1,111",12,18,11,210,18,883,13,408,9,418,7,57,19,696,9,16,17,367,15,313,30,172,4,37,6,18,0,0,0,0,3,4,53
350401053,35,4,1,53,3501053,- Lochiel,236,23,"1,794",9,385,16,623,12,786,0,0,9,146,14,197,15,"12,548",9,x,5,102,173,"10,683",93,130,165,"5,132",95,"3,800",83,"1,332",152,"2,734",95,"2,101",67,405,19,228,31,127,164,"2,560",97,"3,225",13,"4,677",8,45,10,673,12,"3,959",9,"2,176",8,939,6,844,8,145,3,5,7,84,6,56,34,175,9,185,8,227,0,0,0,0,0,5,x
350402000,35,4,2,0,3502000,- Prescott and Russell United Counties,"1,337",146,"775,296",34,"192,057",108,"393,594",72,"189,645",1,x,28,773,43,"6,769",81,"9,219,786",71,"1,167,823",27,757,938,"70,139",551,912,867,"35,082",594,"29,923",346,"5,159",793,"18,019",583,"15,132",238,"2,033",99,854,164,"1,704",824,"14,422",583,"24,944",62,"16,857",36,117,39,"2,235",55,"14,505",37,"8,218",27,"3,057",14,"3,230",62,"3,434",37,75,56,"1,920",49,"1,439",197,786,56,"1,809",58,"7,007",1,x,2,x,18,33,"1,111"
350402001,35,4,2,1,3502001,- East Hawkesbury,175,9,x,2,x,7,x,4,500,0,0,2,x,4,x,4,"2,374",5,648,1,x,142,"10,545",81,124,136,"5,273",103,"4,412",51,861,131,"2,687",100,"2,234",42,312,10,141,19,189,132,"2,272",100,"3,667",7,318,3,5,4,106,6,207,4,179,4,28,0,0,7,446,6,11,7,275,6,160,36,121,5,x,7,402,0,0,0,0,2,3,18
350402006,35,4,2,6,3502006,- West Hawkesbury,87,5,x,0,0,4,219,2,x,0,0,2,x,0,0,3,x,2,x,0,0,65,"3,642",34,59,57,"1,804",37,"1,470",25,334,53,"1,036",37,832,17,170,4,34,3,8,55,735,35,"1,208",1,x,0,0,1,x,1,x,1,x,0,0,0,0,4,286,3,4,4,140,3,142,16,83,3,12,4,220,1,x,0,0,1,5,669
350402012,35,4,2,12,3502012,- Caledonia,130,24,"134,379",8,x,18,"53,270",11,x,0,0,3,39,11,135,15,"1,301,763",9,x,3,95,98,"8,408",62,113,93,"4,001",63,"3,466",36,535,85,"2,294",66,"2,023",21,189,12,82,18,228,85,"1,772",63,"3,043",10,"1,567",7,23,7,424,8,"1,120",6,"1,057",4,x,1,x,5,128,3,7,4,52,5,69,18,70,6,140,7,76,0,0,0,0,3,1,x
350402016,35,4,2,16,3502016,- Longueuil,46,6,x,1,x,3,x,4,199,0,0,1,x,3,x,4,"1,410",4,129,1,x,32,"2,975",16,29,30,"1,411",20,"1,196",10,215,27,743,19,652,8,79,3,12,10,87,27,705,20,"1,014",1,x,0,0,0,0,1,x,0,0,1,x,0,0,3,x,1,x,2,x,3,x,9,30,2,x,3,12,0,0,1,x,2,0,0
350402021,35,4,2,21,3502021,- Alfred,122,11,x,5,235,8,x,6,x,0,0,4,135,4,x,6,x,5,x,2,x,84,"6,196",53,128,76,"3,027",50,"2,464",37,563,66,"1,494",46,"1,116",21,208,15,170,21,232,76,"1,315",50,"2,088",7,448,3,x,3,x,5,332,1,x,3,x,1,x,8,331,3,7,8,193,5,131,14,45,3,x,4,55,0,0,1,x,2,4,155
350402026,35,4,2,26,3502026,- South Plantagenet,150,26,"397,576",7,"105,821",19,"191,283",13,"100,472",0,0,3,105,0,0,15,"3,813,338",11,"542,252",1,x,95,"8,448",58,86,89,"4,459",75,"4,204",16,255,91,"2,148",77,"1,994",14,124,5,30,12,96,88,"1,659",75,"3,498",11,"8,700",10,41,10,987,11,"7,672",11,x,4,x,3,x,3,x,2,x,2,x,3,x,10,22,7,117,4,x,0,0,0,0,0,3,101
350402031,35,4,2,31,3502031,- North Plantagenet,108,14,"28,748",2,x,9,"14,470",8,x,0,0,4,107,7,"1,232",5,x,5,"2,155",4,178,69,"4,439",45,70,61,"2,360",39,"1,849",28,511,53,928,35,729,18,101,10,98,15,204,61,877,39,"1,486",2,x,2,x,2,x,2,x,2,x,2,x,1,x,5,24,2,x,3,15,4,x,11,77,5,457,2,x,0,0,0,0,1,5,x
350402037,35,4,2,37,3502037,- Clarence,201,25,"8,345",5,x,19,x,11,652,0,0,5,207,8,99,16,x,17,"1,562",7,223,129,"8,591",84,122,115,"4,133",55,"3,080",67,"1,053",96,"2,151",53,"1,597",45,395,15,159,34,315,112,"1,870",54,"2,528",9,"1,833",6,20,7,258,8,"1,555",6,x,1,x,3,x,10,319,6,10,9,183,9,126,35,107,13,325,5,x,0,0,0,0,2,6,23
350402042,35,4,2,42,3502042,- Cambridge,147,8,"162,197",1,x,7,x,4,x,1,x,1,x,1,x,6,"3,439,364",5,x,3,13,105,"7,964",66,106,103,"4,299",75,"3,940",37,359,92,"1,970",73,"1,726",21,187,14,57,11,81,89,"1,508",74,"3,205",5,x,1,x,1,x,4,x,0,0,4,x,2,x,6,139,3,x,6,99,2,x,26,150,6,31,8,144,0,0,0,0,3,1,x
350402048,35,4,2,48,3502048,- Russell,171,18,x,3,x,14,524,9,x,0,0,3,87,5,x,7,"2,172",8,875,5,110,119,"8,931",52,75,107,"4,315",77,"3,842",39,473,99,"2,568",77,"2,229",31,268,11,71,21,264,99,"1,709",73,"3,207",9,"1,538",4,12,4,176,9,"1,350",6,659,4,x,3,x,11,"1,472",8,28,11,804,9,640,22,81,6,49,14,118,0,0,0,0,2,5,118
350406000,35,4,6,0,3506000,- Ottawa-Carleton Regional Municipality,"1,606",224,"95,535",56,x,151,"72,469",129,x,1,x,68,"1,540",91,"2,167",108,"898,082",106,"51,991",61,"2,218",986,"64,921",502,787,873,"29,312",339,"17,727",606,"11,585",724,"14,519",345,"9,984",405,"3,023",133,"1,512",307,"4,814",852,"15,489",325,"13,783",93,"11,301",26,98,46,"1,132",83,"10,071",39,"3,654",55,"3,356",27,"3,061",131,"8,125",87,256,119,"3,871",124,"3,998",400,"2,620",40,483,56,903,1,x,1,x,35,66,"3,935"
350406001,35,4,6,1,3506001,- Osgoode,336,53,"17,363",15,x,27,x,38,"3,809",0,0,17,440,22,154,21,"30,354",32,"5,362",16,472,202,"11,234",99,136,177,"5,273",84,"3,752",107,"1,521",150,"2,628",87,"2,174",69,403,14,51,58,447,177,"2,750",78,"3,024",18,"3,338",9,22,13,320,16,"2,996",10,"1,066",13,"1,085",8,845,33,"1,543",27,51,31,651,31,841,76,370,14,294,12,295,0,0,0,0,4,12,434
350406004,35,4,6,4,3506004,- Cumberland,234,22,"23,483",7,257,18,x,9,x,0,0,3,x,9,141,13,x,10,"2,791",5,x,146,"10,464",78,112,133,"5,332",71,"3,966",75,"1,366",122,"2,645",70,"2,069",56,458,17,118,29,247,127,"2,128",69,"3,266",11,x,2,x,4,x,10,x,2,x,8,x,2,x,11,337,2,x,10,x,9,190,58,415,9,43,8,73,0,0,0,0,4,6,935
350406006,35,4,6,6,3506006,- Gloucester,107,15,x,2,x,8,148,12,880,0,0,4,84,0,0,5,"1,300",7,x,3,24,50,"4,417",31,61,47,"1,732",18,837,35,895,37,790,18,400,25,226,10,164,23,727,45,"1,107",15,x,2,x,1,x,2,x,2,x,2,x,1,x,0,0,7,146,3,5,5,60,6,81,32,243,4,31,4,17,0,0,1,x,1,7,74
350406012,35,4,6,12,3506012,- Nepean,71,7,x,3,x,5,x,3,x,1,x,2,x,4,623,3,x,4,x,3,71,34,"3,774",19,30,30,"1,940",17,x,18,x,24,857,16,x,12,x,4,38,11,140,32,807,16,"1,125",6,940,3,31,5,183,6,726,5,458,3,x,3,x,5,744,4,63,5,478,5,203,16,182,1,x,4,53,0,0,0,0,5,5,81
350406018,35,4,6,18,3506018,- Rideau,218,35,x,7,x,24,"4,544",18,"2,472",0,0,11,359,17,193,18,"139,321",14,"1,270",11,182,122,"8,958",78,119,111,"4,385",48,"3,221",73,"1,164",97,"2,160",48,"1,690",48,353,18,117,30,290,106,"2,004",48,"2,457",10,553,2,x,3,x,9,x,3,x,6,136,4,61,18,"1,888",16,45,16,967,18,876,59,329,2,x,6,61,1,x,0,0,7,14,x
350406027,35,4,6,27,3506027,- Goulbourn,182,36,"1,899",10,346,30,608,18,945,0,0,13,201,17,428,20,"6,234",15,x,11,161,118,"6,773",61,83,101,"2,845",23,"1,261",85,"1,584",82,"1,359",27,771,59,450,14,138,39,688,104,"1,798",23,"1,029",17,"2,505",4,8,8,103,15,"2,394",5,411,10,971,6,"1,012",22,762,15,30,21,327,21,405,54,332,3,x,6,42,0,0,0,0,1,7,x
350406030,35,4,6,30,3506030,- Kanata,58,9,336,3,55,6,157,5,124,0,0,3,75,6,160,4,"2,027",3,x,2,x,39,"2,159",22,51,34,943,1,x,33,x,20,298,2,x,17,x,4,58,13,158,31,709,1,x,5,60,1,x,3,x,4,47,3,x,1,x,0,0,4,363,1,x,3,x,4,195,20,177,2,x,3,17,0,0,0,0,3,1,x
350406042,35,4,6,42,3506042,- West Carleton,400,47,"4,254",9,793,33,"1,580",26,"1,881",0,0,15,206,16,468,24,"21,378",21,"2,584",10,203,275,"17,142",114,195,240,"6,862",77,"3,046",180,"3,816",192,"3,782",77,"2,097",119,857,52,828,104,"2,117",230,"4,186",75,"2,345",24,"2,664",4,16,8,254,21,"2,394",9,"1,020",13,538,4,836,31,"2,342",19,56,28,"1,079",30,"1,207",85,572,5,52,13,345,0,0,0,0,10,14,492
350407000,35,4,7,0,3507000,- Leeds and Grenville United Counties,"1,492",274,"812,831",69,x,183,x,154,x,0,0,55,"1,349",97,"5,692",128,"9,467,385",114,x,47,"1,721","1,049","57,201",591,"1,149",977,"26,361",413,"15,489",664,"10,872",809,"13,074",384,"9,349",443,"2,752",111,973,278,"1,792",930,"14,825",394,"12,508",126,"26,869",49,172,69,"2,844",108,"23,853",66,"9,702",68,"7,169",36,"6,982",116,"5,462",69,126,106,"2,697",100,"2,639",358,"1,849",78,754,47,458,2,x,0,0,17,56,"2,921"
350407001,35,4,7,1,3507001,- Edwardsburgh,149,33,"119,556",9,x,20,x,21,x,0,0,6,188,9,90,17,x,16,"10,151",7,388,97,"5,078",61,82,92,"2,352",39,"1,484",64,868,70,"1,220",31,826,34,196,10,198,25,110,79,"1,314",32,"1,168",22,"7,571",13,43,16,737,19,"6,791",14,"2,966",12,"2,178",10,"1,647",10,"1,009",10,19,10,536,9,454,39,275,13,49,7,55,0,0,0,0,1,3,x
350407006,35,4,7,6,3507006,- Augusta,186,28,"1,493",7,162,22,489,15,842,0,0,5,266,17,430,17,"3,822",13,x,7,267,125,"6,650",73,116,116,"3,239",42,"1,943",83,"1,296",96,"1,367",43,"1,010",57,298,11,59,36,171,114,"1,757",42,"1,466",13,528,4,7,6,121,11,400,6,329,7,x,1,x,13,318,8,11,13,193,11,114,47,270,4,24,5,16,0,0,0,0,3,8,208
350407012,35,4,7,12,3507012,- Elizabethtown,152,38,"603,383",11,x,21,x,24,x,0,0,11,168,12,x,12,x,12,x,5,136,108,"6,289",60,86,102,"2,985",38,"1,690",72,"1,295",82,"1,424",35,"1,020",48,325,14,79,33,195,98,"1,599",35,"1,413",16,"1,838",6,14,9,237,14,"1,587",7,810,10,416,6,361,12,504,5,8,12,218,10,278,43,213,10,100,5,23,0,0,0,0,4,7,86
350407017,35,4,7,17,3507017,- Front of Yonge,52,13,x,4,x,12,266,3,x,0,0,1,x,2,x,8,"3,174",6,"1,352",2,x,35,"1,734",16,x,33,805,18,528,19,277,30,x,17,364,13,53,4,x,6,19,32,448,18,431,7,"2,689",5,22,5,324,7,"2,343",5,902,7,762,4,679,5,350,3,7,5,180,5,163,9,53,3,55,0,0,0,0,0,0,1,0,0
350407020,35,4,7,20,3507020,- Front of Escott,44,9,x,2,x,7,x,3,200,0,0,1,x,3,x,6,855,3,74,1,x,36,"1,730",17,25,33,784,13,427,23,357,26,327,11,243,18,84,0,0,17,60,35,534,12,345,6,x,2,x,4,69,5,x,2,x,5,249,2,x,1,x,0,0,1,x,0,0,11,31,0,0,5,9,0,0,0,0,0,2,x
350407022,35,4,7,22,3507022,- Front of Leeds and Lansdowne,143,21,x,7,91,10,x,13,358,0,0,5,101,7,71,7,x,6,428,3,145,116,"6,991",53,73,107,"3,224",55,"2,127",64,"1,097",91,"1,691",52,"1,238",39,298,13,155,23,223,103,"1,780",51,"1,720",8,"1,237",2,x,4,x,6,x,3,x,5,413,2,x,11,606,6,12,9,286,10,308,28,83,5,8,3,58,0,0,0,0,1,3,3
350407027,35,4,7,27,3507027,- Rear of Leeds and Lansdowne,73,12,x,2,x,10,x,3,100,0,0,1,x,3,41,8,x,7,176,1,x,55,"3,256",34,52,53,"1,593",27,"1,003",34,590,42,764,25,608,18,133,7,23,12,62,50,785,27,844,4,18,1,x,2,x,3,x,1,x,1,x,1,x,7,453,3,8,6,224,5,221,12,62,5,18,3,6,0,0,0,0,0,2,x
350407029,35,4,7,29,3507029,- South Crosby,47,9,x,1,x,7,89,7,504,0,0,1,x,1,x,3,x,3,480,0,0,43,"2,661",22,32,42,"1,172",26,811,20,361,38,709,24,486,18,175,3,48,12,68,41,680,25,679,6,79,2,x,2,x,6,x,3,56,2,x,1,x,2,x,1,x,2,x,2,x,10,43,0,0,1,x,0,0,0,0,2,1,x
350407031,35,4,7,31,3507031,- North Crosby,55,11,348,4,62,6,119,7,167,0,0,1,x,5,87,5,"1,160",5,110,1,x,43,"2,445",31,39,40,"1,084",13,497,31,587,33,542,15,307,22,150,5,85,11,111,39,669,13,408,3,7,1,x,1,x,2,x,0,0,2,x,0,0,3,x,1,x,3,x,2,x,13,48,2,x,1,x,1,x,0,0,1,0,0
350407039,35,4,7,39,3507039,- Bastard and South Burgess,112,19,"1,080",7,252,15,366,12,462,0,0,4,101,9,126,12,"2,914",10,480,5,86,93,"4,932",61,78,90,"2,465",44,"1,520",60,945,76,"1,042",36,803,41,182,14,57,19,85,87,"1,262",45,"1,298",6,x,1,x,2,x,6,x,4,112,5,157,1,x,9,295,6,9,8,136,7,150,23,79,5,26,4,15,0,0,0,0,0,3,x
350407041,35,4,7,41,3507041,- Rear of Yonge and Escott,46,4,x,0,0,3,115,1,x,0,0,1,x,2,x,1,x,1,x,2,x,30,"2,149",17,23,28,882,18,670,15,212,26,504,14,424,11,55,3,25,11,175,26,565,18,547,5,x,2,x,4,x,3,x,2,x,2,x,1,x,3,159,3,4,3,92,3,63,13,68,1,x,1,x,0,0,0,0,0,2,x
350407046,35,4,7,46,3507046,- Kitley,94,16,x,3,x,10,x,8,515,0,0,3,72,8,85,5,"1,049",7,519,2,x,70,"2,953",35,54,67,"1,431",22,647,49,784,49,648,18,416,33,223,4,9,14,43,58,777,20,523,6,22,1,x,3,x,3,13,2,x,1,x,1,x,14,643,6,16,13,288,12,339,21,82,7,109,4,95,1,x,0,0,1,3,43
350407049,35,4,7,49,3507049,- South Elmsley,38,3,x,0,0,3,66,1,x,0,0,1,x,0,0,2,x,0,0,0,0,33,"1,946",18,29,30,"1,002",12,447,25,555,23,391,11,235,15,109,4,47,8,50,29,474,12,313,1,x,0,0,0,0,1,x,0,0,1,x,0,0,4,242,4,8,4,105,4,129,7,29,0,0,1,x,0,0,0,0,0,3,x
350407051,35,4,7,51,3507051,- Wolford,79,13,x,6,x,8,x,6,x,0,0,3,34,4,39,5,"1,772",7,712,4,81,48,"2,445",28,x,44,"1,066",13,520,33,546,32,x,12,281,21,161,1,x,16,194,43,701,13,419,1,x,0,0,0,0,1,x,1,x,0,0,0,0,5,55,3,x,3,29,3,x,19,122,2,x,1,x,0,0,0,0,1,4,18
350407056,35,4,7,56,3507056,- Oxford (On Rideau),152,37,"14,195",5,x,24,x,25,"6,884",0,0,9,175,13,268,16,"6,047",16,"1,908",6,395,82,"4,253",47,375,67,"1,511",19,677,52,834,64,"1,126",23,753,41,233,13,140,22,164,66,"1,077",17,524,16,"9,763",7,56,8,994,15,"8,713",10,"3,374",7,"2,274",5,"3,065",11,370,5,11,8,196,11,163,41,286,15,229,2,x,0,0,0,0,1,13,927
350407061,35,4,7,61,3507061,- South Gower,70,8,x,1,x,5,x,5,475,0,0,2,x,2,x,4,"1,610",2,x,1,x,35,"1,689",18,23,33,766,14,498,20,268,31,435,17,335,14,77,5,23,13,62,30,403,14,410,6,557,2,x,3,x,6,454,6,x,1,x,1,x,6,367,5,8,6,167,6,192,22,105,6,87,4,x,0,0,0,0,1,2,x
350409000,35,4,9,0,3509000,- Lanark County,"1,053",176,"23,083",45,x,137,x,94,x,0,0,57,"1,197",60,"1,135",98,x,73,x,46,986,768,"39,333",431,678,707,"17,226",180,"6,170",590,"11,056",561,"6,925",179,"3,281",395,"2,451",125,"1,193",252,"3,054",683,"11,450",172,"5,048",104,"4,548",24,46,39,524,96,"3,978",43,"1,402",60,"1,343",21,"1,233",121,"5,577",76,126,118,"2,730",114,"2,721",229,"1,060",43,248,27,197,1,x,1,x,14,37,"2,143"
350409001,35,4,9,1,3509001,- Montague,115,15,646,6,256,13,302,5,88,0,0,4,76,3,44,10,"2,032",6,185,4,49,81,"2,942",42,70,71,"1,261",11,354,61,907,62,573,11,198,50,281,9,94,24,204,71,834,8,254,10,354,4,6,5,77,9,271,6,134,5,x,2,x,12,308,6,7,12,156,9,145,27,111,4,7,3,14,0,0,0,0,3,6,489
350409008,35,4,9,8,3509008,- North Elmsley,58,5,x,1,x,4,53,2,x,0,0,1,x,3,10,2,x,0,0,0,0,46,"2,370",22,27,43,"1,175",19,691,32,484,37,522,20,365,22,144,3,13,10,40,42,606,19,563,2,x,0,0,1,x,2,x,0,0,2,x,0,0,3,403,2,x,3,193,3,x,11,112,3,x,0,0,0,0,0,0,1,1,x
350409011,35,4,9,11,3509011,- North Burgess,42,7,x,1,x,5,x,4,x,0,0,4,76,3,281,5,x,2,x,3,93,32,"2,220",24,33,31,"1,060",10,425,23,635,25,349,10,213,16,72,7,64,7,39,32,739,11,384,5,21,0,0,0,0,5,21,2,x,3,x,0,0,4,210,4,4,4,121,4,85,8,18,4,35,0,0,0,0,0,0,0,2,x
350409014,35,4,9,14,3509014,- South Sherbrooke,30,3,x,0,0,3,73,1,x,0,0,1,x,0,0,2,x,3,85,1,x,24,877,15,25,23,428,3,x,21,x,13,101,2,x,11,x,2,x,4,19,22,304,3,47,3,x,1,x,1,x,3,33,2,x,2,x,1,x,4,197,3,x,3,108,4,x,5,9,3,8,0,0,0,0,0,0,0,0,0
350409016,35,4,9,16,3509016,- Bathurst,119,18,641,3,91,14,239,11,311,0,0,3,x,6,145,12,"1,189",9,920,2,x,92,"5,249",53,74,88,"2,349",21,871,72,"1,478",68,915,21,449,44,297,9,169,31,221,88,"1,690",21,697,16,"1,976",6,22,6,237,16,"1,717",9,685,10,481,5,551,13,457,10,19,13,261,12,177,20,84,1,x,4,31,0,0,1,x,1,2,x
350409019,35,4,9,19,3509019,- Drummond,131,21,"8,488",5,x,17,x,11,667,0,0,7,129,10,256,8,x,9,414,8,130,104,"6,132",65,99,99,"2,656",25,720,84,"1,936",76,"1,078",24,389,60,465,16,224,36,480,92,"1,819",23,617,10,726,1,x,2,x,10,x,3,x,8,x,1,x,16,575,9,12,15,262,16,301,24,98,7,23,6,15,0,0,0,0,1,2,x
350409024,35,4,9,24,3509024,- Beckwith,104,24,"1,907",6,201,17,314,16,"1,392",0,0,8,262,6,167,13,"2,698",11,928,9,214,70,"4,167",36,53,59,"1,495",13,548,51,947,46,662,15,316,33,209,10,137,24,941,57,"1,016",14,485,9,88,0,0,1,x,8,x,1,x,6,77,1,x,24,848,11,13,24,429,23,406,24,123,7,30,2,x,0,0,0,0,2,9,"1,162"
350409029,35,4,9,29,3509029,- Ramsay,151,26,"1,641",8,281,20,484,17,876,0,0,10,290,8,39,15,"3,861",10,465,9,221,104,"5,284",56,90,93,"2,352",37,"1,090",68,"1,262",79,"1,132",36,712,46,311,17,109,32,246,90,"1,464",32,856,16,629,6,7,10,80,14,542,9,257,8,154,6,131,16,"1,278",12,32,16,530,16,716,44,246,3,34,6,59,0,0,0,0,3,2,x
350409034,35,4,9,34,3509034,- Lanark,100,17,581,5,69,14,298,7,214,0,0,5,47,7,43,11,"3,400",7,420,4,64,78,"3,478",39,48,75,"1,532",17,538,65,994,59,675,16,259,43,211,26,205,32,249,70,974,17,450,11,107,3,3,4,17,10,87,3,40,7,47,0,0,12,627,7,9,12,292,12,326,19,43,5,7,0,0,0,0,0,0,2,4,49
350409040,35,4,9,40,3509040,"- Lavant, Dalhousie, and North Sherbrooke",78,18,"2,191",3,44,14,311,12,"1,836",0,0,10,226,9,109,8,"2,495",8,"1,415",5,142,49,"1,714",34,43,47,846,4,x,45,x,33,171,3,x,26,x,10,x,13,22,45,632,4,55,14,60,1,x,5,x,12,52,4,x,6,27,2,x,10,430,6,16,9,266,8,148,16,41,5,48,5,70,1,x,0,0,0,5,368
350409046,35,4,9,46,3509046,- Pakenham,125,22,"1,244",7,143,16,685,8,416,0,0,4,46,5,41,12,"8,596",8,244,1,x,88,"4,900",45,116,78,"2,072",20,809,68,"1,263",63,747,21,340,44,298,16,109,39,593,74,"1,372",20,640,8,532,2,x,4,x,7,493,4,x,3,x,3,x,7,244,6,6,7,112,7,126,31,175,1,x,1,x,0,0,0,0,1,4,31
350410000,35,4,10,0,3510000,- Frontenac County,733,126,"19,762",34,x,99,"15,611",61,x,0,0,23,425,43,"1,616",75,x,46,"2,145",18,315,553,"30,934",322,480,520,"13,661",175,"6,419",406,"7,242",401,"8,068",161,"3,395",258,"1,897",68,"2,776",143,"1,275",492,"7,450",162,"5,124",61,"1,530",11,17,20,135,55,"1,378",18,456,36,489,9,433,45,"3,093",28,70,43,"1,696",39,"1,327",183,797,22,209,23,861,4,x,3,x,11,20,889
350410001,35,4,10,1,3510001,- Wolfe Island,77,7,232,2,x,5,x,2,x,0,0,0,0,1,x,3,150,2,x,0,0,59,"5,217",43,109,55,"2,416",27,"1,210",40,"1,206",49,"1,178",26,633,32,487,10,58,23,91,55,"1,423",28,942,6,x,1,x,1,x,6,108,1,x,6,x,1,x,4,815,3,12,4,462,3,341,25,107,1,x,1,x,0,0,0,0,0,2,x
350410006,35,4,10,6,3510006,- Pittsburgh,114,13,383,4,54,11,170,7,159,0,0,4,86,10,160,11,"1,453",6,265,1,x,77,"7,154",36,x,70,"2,035",29,"1,156",49,879,57,x,29,x,29,217,8,x,16,x,65,x,27,912,6,98,0,0,0,0,6,98,1,x,3,x,2,x,5,554,3,9,5,x,4,x,27,144,6,35,2,x,0,0,0,0,4,3,37
350410009,35,4,10,9,3510009,- Kingston,102,21,"14,541",7,135,16,x,12,x,0,0,5,128,6,44,13,x,7,205,2,x,72,"2,932",28,38,67,"1,365",19,633,54,732,53,692,17,388,36,263,10,41,23,64,61,773,15,484,6,x,0,0,1,x,5,x,1,x,4,11,0,0,10,301,4,5,10,165,8,131,30,198,4,25,9,191,0,0,0,0,1,3,x
350410014,35,4,10,14,3510014,- Storrington,84,11,715,2,x,5,x,8,567,0,0,3,50,7,"1,118",3,250,4,300,3,42,68,"4,010",38,61,64,"2,014",34,"1,381",37,633,53,913,32,738,24,155,6,20,15,88,58,934,31,"1,106",5,x,1,x,3,14,4,69,3,x,2,x,0,0,6,283,5,6,5,117,6,160,13,63,3,x,1,x,4,x,3,x,0,1,x
350410018,35,4,10,18,3510018,- Loughborough,61,10,366,4,x,9,x,3,x,0,0,2,x,2,x,8,"1,799",5,182,3,39,45,"2,494",25,38,45,"1,233",15,544,39,689,33,502,14,309,22,153,8,40,17,57,42,664,14,427,4,x,1,x,2,x,4,x,2,x,3,x,1,x,4,359,3,9,4,213,3,137,14,58,1,x,0,0,0,0,0,0,0,2,x
350410022,35,4,10,22,3510022,- Portland,120,33,"2,042",5,169,24,733,18,"1,140",0,0,3,46,11,131,21,"7,020",16,867,5,58,98,"4,024",54,74,91,"1,972",31,"1,034",70,938,73,784,28,469,45,273,15,42,25,90,89,"1,104",29,881,18,116,5,5,6,20,15,91,2,x,11,56,3,x,7,183,5,5,6,121,6,57,34,122,5,61,7,185,0,0,0,0,3,1,x
350410026,35,4,10,26,3510026,- Hinchinbrooke,45,7,401,4,66,6,136,4,199,0,0,2,x,4,123,3,411,0,0,0,0,39,"1,414",28,x,35,718,5,118,33,600,27,x,5,61,22,96,2,x,7,15,34,486,6,99,6,281,2,x,5,x,6,265,3,x,3,x,2,x,3,390,2,x,3,194,3,x,17,44,0,0,1,x,0,0,0,0,0,0,0
350410029,35,4,10,29,3510029,- Bedford,44,8,175,1,x,7,x,3,x,0,0,0,0,0,0,5,478,2,x,1,x,37,"1,633",29,x,36,868,9,268,30,600,20,x,7,142,14,117,2,x,4,4,36,460,8,227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,x,0,0,1,x,1,x,6,13,1,x,0,0,0,0,0,0,0,3,17
350410032,35,4,10,32,3510032,- Oso,21,4,79,0,0,4,79,0,0,0,0,0,0,0,0,1,x,0,0,0,0,16,404,14,x,16,203,2,x,16,x,11,x,2,x,11,29,3,x,3,11,14,135,2,x,4,x,0,0,1,x,4,19,2,x,2,x,0,0,0,0,0,0,0,0,0,0,2,x,0,0,1,x,0,0,0,0,0,1,x
350410036,35,4,10,36,3510036,- Olden,39,9,720,3,x,9,x,3,x,0,0,2,x,1,x,5,"1,550",2,x,2,x,28,"1,087",16,19,27,553,4,x,24,x,16,104,1,x,14,80,2,x,9,53,24,358,2,x,4,x,1,x,0,0,3,x,1,x,2,x,0,0,2,x,1,x,2,x,2,x,7,x,1,x,0,0,0,0,0,0,1,2,x
