HDPROV,AGOPCAR,CENSUSD,CCS,AREANAME,NFRMREP,NBEEHON,BEEHON,NBEEPOLL,BEEPOLL,NBROILER,BROILER,NPULETS,PULETS,NLAYHEN,LAYHEN,NTCHICK,TCHICK,NHENHATCH,HENHATCH,NTURKEY,TURKEY,NOTHPLT,OTHPLT,NTURKPRD,TURKPRD,ETURKPRD,NBROILPRD,BROILPRD,EBROILPRD,NHATCHNUM,HATCHNUM,NCALFU1,CALFU1,NSTEERS,STEERS,NHEIFER,HEIFER,NFDHEIF,FDHEIF,NBFHEIF,BFHEIF,NMLKHEIF,MLKHEIF,NTOTCOW,TOTCOW,NBFCOWS,BFCOWS,NMLKCOW,MLKCOW,NBULLS,BULLS,NTCATTL,TCATTL,NRAMS,RAMS,NEWES,EWES,NLAMBS,LAMBS,NTSHEEP,TSHEEP,NBOARS,BOARS,NSOWS,SOWS,NNURPIG,NURPIG,NGRWPIG,GRWPIG,NTOPIGS,TOPIGS,NHORSES,HORSES,NGOATS,GOATS,NWLDBOAR,WLDBOAR,NMINK,MINK,NFOX,FOX,NBISON,BISON,NLAMAS,LAMAS,NDEER,DEER,NELK,ELK
35,2,42,37,Chatsworth,375,10,"1,435",2,x,28,"21,905",13,519,66,"13,444",78,"35,868",1,x,16,263,18,"1,168",4,953,"2,101",20,"753,862","1,661,981",0,0,184,"4,717",80,"4,603",114,"2,053",39,"1,169",61,457,29,427,182,"4,812",153,"3,987",47,825,127,220,244,"16,405",49,100,54,"1,965",48,"1,646",54,"3,711",12,16,15,x,14,x,13,x,24,x,115,941,24,"2,012",0,0,0,0,0,0,1,x,6,45,1,x,0,0
35,2,42,45,Blue Mountains,140,6,481,1,x,3,x,0,0,8,213,11,x,0,0,1,x,7,x,0,0,0,1,x,x,0,0,38,822,18,102,28,235,14,60,19,127,3,48,36,"1,130",34,"1,018",3,112,31,61,42,"2,350",9,18,10,367,8,280,10,665,2,x,2,x,4,x,2,x,7,x,27,234,4,32,0,0,0,0,0,0,1,x,1,x,0,0,0,0
35,2,42,47,Meaford,316,6,113,0,0,4,163,5,x,29,"1,766",33,x,0,0,2,x,9,"1,736",3,"1,059","2,335",10,"3,909","8,618",0,0,151,"3,815",56,718,98,"2,071",39,"1,152",58,539,15,380,158,"5,342",147,"4,633",15,709,119,218,184,"12,164",39,107,40,"1,874",35,"1,738",43,"3,719",3,4,3,111,3,81,5,38,7,234,72,526,15,189,0,0,0,0,0,0,1,x,9,57,1,x,0,0
35,2,42,53,Georgian Bluffs,291,3,x,0,0,8,262,3,25,29,722,33,"1,009",0,0,4,16,14,x,0,0,0,2,x,x,0,0,160,"5,354",68,"4,700",108,"2,570",44,"1,306",60,567,26,697,155,"5,631",132,"4,475",27,"1,156",111,224,198,"18,479",28,60,30,"1,742",28,"1,734",31,"3,536",3,x,3,46,2,x,4,192,4,249,64,424,4,24,0,0,1,x,0,0,1,x,6,x,0,0,2,x
35,2,43,0,Simcoe,"2,402",55,"2,875",5,x,111,"412,270",44,"39,973",250,"158,406",297,"610,649",4,x,53,"72,369",97,"7,084",56,"1,538,081","3,390,888",77,"5,634,197","12,421,277",1,x,926,"18,169",364,"10,468",687,"12,041",296,"5,896",365,"2,198",151,"3,947",901,"26,166",774,"19,417",150,"6,749",625,"1,172","1,053","68,016",166,498,201,"12,108",175,"8,089",214,"20,695",52,147,59,"4,526",47,"12,280",87,"45,202",111,"62,155",570,"5,004",101,"1,904",3,164,7,"32,241",0,0,1,x,29,135,8,171,7,492
35,2,43,3,Adjala-Tosorontio,201,4,x,0,0,15,"111,538",7,x,27,x,36,"146,528",1,x,7,95,13,"1,384",3,419,924,7,"1,949,585","4,298,099",0,0,68,"1,445",25,294,41,588,19,303,21,121,7,164,66,"1,817",61,"1,548",5,269,52,134,77,"4,278",10,31,12,675,8,269,13,975,3,6,4,29,2,x,3,x,8,x,66,765,8,80,1,x,3,"22,800",0,0,0,0,1,x,0,0,0,0
35,2,43,5,Clearview,343,4,30,0,0,15,"144,564",3,x,35,x,43,"146,407",0,0,7,x,12,254,11,x,x,8,"2,254,953","4,971,320",0,0,126,"2,470",59,"4,097",92,"3,114",43,"2,269",47,411,17,434,123,"3,485",106,"2,758",18,727,89,246,155,"13,412",22,84,29,"1,897",25,"1,097",29,"3,078",16,44,18,921,14,"5,830",26,"13,868",30,"20,663",70,547,13,516,0,0,0,0,0,0,0,0,4,12,1,x,0,0
35,2,43,7,New Tecumseth,155,4,x,1,x,14,x,4,x,21,x,26,"26,811",0,0,6,101,10,212,6,819,"1,806",11,x,x,0,0,35,684,13,615,28,307,14,110,14,98,7,99,35,913,31,733,5,180,25,40,39,"2,559",19,60,17,835,18,815,22,"1,710",1,x,1,x,1,x,3,x,3,150,47,451,11,148,0,0,0,0,0,0,1,x,2,x,0,0,0,0
35,2,43,9,Springwater,286,11,"1,097",1,x,11,x,9,x,27,x,32,"128,292",3,x,3,52,10,x,4,703,"1,550",7,x,x,1,x,121,"2,675",48,"2,251",100,"2,021",39,764,42,226,38,"1,031",114,"4,075",83,"2,136",36,"1,939",77,122,136,"11,144",11,25,15,888,13,772,15,"1,685",10,33,10,563,10,"2,344",17,"6,681",18,"9,621",58,448,13,123,0,0,1,x,0,0,0,0,3,4,2,x,2,x
35,2,43,14,Bradford West Gwillimbury,164,2,x,0,0,6,x,2,x,20,801,22,x,0,0,1,x,10,141,1,x,x,5,x,x,0,0,32,633,10,127,21,412,7,148,8,31,8,233,29,915,21,591,9,324,14,36,34,"2,123",11,30,13,664,12,443,14,"1,137",1,x,1,x,2,x,5,x,5,"1,649",21,187,5,39,0,0,0,0,0,0,0,0,2,x,0,0,0,0
35,2,43,15,Severn,178,7,197,1,x,10,994,7,73,21,"6,139",25,"7,206",0,0,9,x,8,484,6,x,x,6,"2,328","5,132",0,0,75,"1,039",24,94,52,504,21,251,33,137,5,116,71,"1,428",67,"1,241",6,187,49,67,82,"3,132",7,17,12,715,13,707,13,"1,439",4,4,7,15,2,x,3,x,9,50,53,277,7,136,1,x,0,0,0,0,0,0,4,29,0,0,2,x
35,2,43,17,Innisfil,146,4,349,2,x,6,485,2,x,11,x,14,x,0,0,0,0,3,12,2,x,x,3,"1,202","2,650",0,0,52,"1,001",21,587,39,758,18,378,18,112,10,268,48,"1,344",39,856,10,488,33,48,59,"3,738",15,39,16,"1,242",14,475,16,"1,756",2,x,2,x,2,x,4,x,4,x,27,251,10,128,0,0,0,0,0,0,0,0,3,10,1,x,0,0
35,2,43,19,Ramara,179,4,17,0,0,7,x,1,x,10,"1,224",15,"1,757",0,0,0,0,4,224,4,"1,579","3,481",6,"3,936","8,677",0,0,102,"2,355",41,"1,152",74,"1,257",30,627,54,321,9,309,103,"3,676",97,"3,240",9,436,76,141,115,"8,581",19,41,20,"1,271",17,505,21,"1,817",3,6,3,12,2,x,4,x,6,95,32,243,7,252,1,x,0,0,0,0,0,0,4,4,1,x,2,x
35,2,43,21,Essa,188,1,x,0,0,6,321,3,x,12,x,15,x,0,0,4,53,5,x,2,x,x,1,x,x,0,0,75,"1,591",18,182,53,801,23,208,27,168,14,425,69,"2,154",56,"1,461",13,693,48,76,81,"4,804",9,25,12,593,11,439,13,"1,057",3,15,4,260,3,490,4,"3,770",6,"4,535",42,507,7,45,0,0,2,x,0,0,0,0,2,x,1,x,1,x
35,2,43,23,Oro-Medonte,352,10,274,0,0,8,396,5,76,35,697,37,"1,169",0,0,9,195,13,135,7,"1,704","3,757",12,"1,981","4,367",0,0,142,"2,670",62,864,112,"1,449",47,652,66,396,19,401,150,"3,958",136,"3,275",20,683,104,175,163,"9,116",26,102,35,"2,675",27,"2,164",37,"4,941",3,3,3,12,3,45,7,"3,916",9,"3,976",101,886,13,390,0,0,1,x,0,0,0,0,4,22,1,x,0,0
35,2,43,68,Tiny,127,3,x,0,0,6,x,1,x,17,894,17,"1,260",0,0,4,x,4,x,3,x,x,4,"1,554","3,426",0,0,55,862,22,78,39,324,18,82,22,94,5,148,53,"1,160",48,904,5,256,34,46,65,"2,470",10,31,11,528,11,323,11,882,3,11,3,x,3,x,7,x,8,"1,495",28,201,4,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,2,43,71,Tay,83,1,x,0,0,7,425,0,0,14,311,15,736,0,0,3,14,5,x,7,"2,098","4,625",7,"4,055","8,940",0,0,43,744,21,127,36,506,17,104,13,83,12,319,40,"1,241",29,674,14,567,24,41,47,"2,659",7,13,9,125,6,80,10,218,3,5,3,x,3,x,4,x,5,x,25,241,3,18,0,0,0,0,0,0,0,0,0,0,1,x,0,0
35,3,44,0,Muskoka,199,4,32,1,x,13,"1,126",8,208,47,"1,109",53,"2,443",0,0,9,202,16,x,12,x,x,17,x,x,0,0,46,502,29,99,41,194,25,93,24,101,0,0,51,678,50,x,1,x,33,34,60,"1,507",10,14,13,314,12,421,13,749,2,x,2,x,1,x,12,x,14,149,66,472,13,311,0,0,0,0,0,0,0,0,1,x,3,x,2,x
35,3,44,2,Gravenhurst,43,0,0,0,0,4,x,2,x,9,265,11,455,0,0,2,x,5,85,1,x,x,1,x,x,0,0,7,51,4,11,7,20,3,9,4,11,0,0,9,102,9,102,0,0,6,6,11,190,0,0,0,0,0,0,0,0,1,x,0,0,0,0,2,x,3,19,17,150,4,122,0,0,0,0,0,0,0,0,1,x,2,x,1,x
35,3,44,18,Bracebridge,49,2,x,0,0,6,612,0,0,16,313,18,925,0,0,2,x,4,69,8,"1,482","3,267",7,"2,051","4,522",0,0,10,150,4,9,7,40,4,22,4,18,0,0,10,117,10,117,0,0,6,6,14,322,4,8,5,188,5,253,5,449,1,x,1,x,1,x,4,x,5,58,18,122,5,x,0,0,0,0,0,0,0,0,0,0,1,x,1,x
35,3,44,42,Huntsville,49,1,x,0,0,3,x,3,x,12,399,14,821,0,0,4,124,5,51,2,x,x,8,"2,055","4,530",0,0,12,72,8,21,10,40,8,24,6,16,0,0,14,130,13,x,1,x,8,9,14,272,6,6,6,x,6,x,6,x,0,0,1,x,0,0,3,x,3,45,18,124,3,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,3,44,53,Muskoka Lakes,58,1,x,1,x,0,0,3,110,10,132,10,242,0,0,1,x,2,x,1,x,x,1,x,x,0,0,17,229,13,58,17,94,10,38,10,56,0,0,18,329,18,329,0,0,13,13,21,723,0,0,2,x,1,x,2,x,0,0,0,0,0,0,3,27,3,27,13,76,1,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,3,46,0,Haliburton,84,3,29,0,0,3,x,2,x,15,x,15,516,0,0,0,0,1,x,1,x,x,2,x,x,0,0,32,266,8,22,20,96,8,x,14,38,2,x,35,384,32,x,5,x,20,24,36,792,5,10,7,169,7,216,8,395,1,x,1,x,1,x,2,x,3,57,21,98,5,51,0,0,0,0,0,0,0,0,3,9,0,0,0,0
35,3,46,5,Highlands East,37,1,x,0,0,2,x,1,x,5,x,5,157,0,0,0,0,1,x,0,0,0,1,x,x,0,0,8,29,5,11,7,21,4,x,4,7,1,x,11,46,9,x,3,x,6,6,12,113,1,x,1,x,1,x,1,x,1,x,1,x,1,x,2,x,3,57,5,20,2,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,3,46,15,Minden Hills,47,2,x,0,0,1,x,1,x,10,x,10,359,0,0,0,0,0,0,1,x,x,1,x,x,0,0,24,237,3,11,13,75,4,x,10,31,1,x,24,338,23,x,2,x,14,18,24,679,4,x,6,x,6,x,7,x,0,0,0,0,0,0,0,0,0,0,16,78,3,x,0,0,0,0,0,0,0,0,3,9,0,0,0,0
35,4,47,0,Renfrew,"1,268",27,806,0,0,46,x,21,872,121,x,142,"7,603",0,0,16,x,37,417,19,"2,390","5,269",28,"31,068","68,493",0,0,791,"18,450",234,"3,636",542,"8,652",165,"3,189",347,"2,244",121,"3,219",794,"26,954",709,"20,798",119,"6,156",581,"1,064",867,"58,756",74,131,91,"2,890",84,"3,025",94,"6,046",16,34,22,x,15,x,25,x,37,"3,817",242,"1,202",33,596,0,0,0,0,0,0,1,x,20,66,2,x,0,0
35,4,47,3,McNab/Braeside,147,6,194,0,0,5,181,3,28,11,223,15,432,0,0,1,x,6,148,1,x,x,3,336,741,0,0,82,"1,508",28,279,54,499,17,129,41,239,4,131,80,"2,106",77,"1,879",4,227,65,108,85,"4,500",14,22,19,489,18,432,19,943,1,x,3,x,3,68,4,20,6,99,34,166,3,71,0,0,0,0,0,0,0,0,5,25,0,0,0,0
35,4,47,8,Greater Madawaska,31,1,x,0,0,1,x,0,0,4,x,4,146,0,0,0,0,1,x,0,0,0,0,0,0,0,0,20,277,3,6,12,70,3,5,11,65,0,0,19,453,19,453,0,0,14,19,22,825,4,15,4,46,3,46,4,107,1,x,2,x,1,x,1,x,3,x,7,12,1,x,0,0,0,0,0,0,0,0,1,x,0,0,0,0
35,4,47,20,"Brudenell, Lyndoch and Raglan",63,0,0,0,0,2,x,1,x,6,x,6,181,0,0,1,x,3,10,0,0,0,0,0,0,0,0,40,505,3,x,27,161,5,x,22,x,0,0,41,681,41,681,0,0,32,x,46,"1,416",2,x,3,x,3,227,3,414,0,0,0,0,0,0,0,0,0,0,14,37,3,28,0,0,0,0,0,0,0,0,2,x,0,0,0,0
35,4,47,30,Madawaska Valley,26,1,x,0,0,2,x,0,0,5,x,5,744,0,0,0,0,1,x,0,0,0,1,x,x,0,0,15,101,7,24,9,44,2,x,6,x,1,x,13,141,12,x,2,x,11,12,17,322,1,x,1,x,1,x,1,x,0,0,0,0,0,0,1,x,1,x,4,10,0,0,0,0,0,0,0,0,0,0,0,0,1,x,0,0
35,4,47,33,"Killaloe, Hagarty and Richards",45,1,x,0,0,3,204,3,38,6,100,6,342,0,0,3,40,0,0,1,x,x,1,x,x,0,0,27,395,6,8,16,67,5,17,12,50,0,0,29,531,28,x,2,x,17,23,33,"1,024",1,x,1,x,1,x,1,x,0,0,0,0,0,0,0,0,0,0,6,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,4,47,35,Bonnechere Valley,103,0,0,0,0,0,0,0,0,7,556,7,556,0,0,0,0,2,x,1,x,x,3,x,x,0,0,60,"1,489",19,352,32,524,7,193,25,229,5,102,66,"1,933",63,"1,804",5,129,47,89,71,"4,387",4,5,4,104,4,147,4,256,2,x,2,x,2,x,1,x,3,25,19,89,3,32,0,0,0,0,0,0,0,0,1,x,0,0,0,0
35,4,47,43,Admaston/Bromley,196,2,x,0,0,6,432,2,x,10,x,13,676,0,0,2,x,1,x,3,408,899,3,254,560,0,0,135,"4,543",38,695,100,"2,506",28,813,53,438,40,"1,255",134,"7,314",107,"4,969",37,"2,345",91,220,148,"15,278",12,28,14,795,14,860,14,"1,683",3,7,4,x,3,x,5,x,7,x,29,188,4,79,0,0,0,0,0,0,0,0,4,11,0,0,0,0
35,4,47,46,Horton,77,1,x,0,0,3,320,0,0,8,224,11,544,0,0,0,0,1,x,1,x,x,0,0,0,0,0,44,805,10,65,27,251,12,56,19,119,3,76,43,"1,249",40,"1,008",5,241,31,53,46,"2,423",1,x,3,x,2,x,3,24,1,x,1,x,0,0,1,x,2,x,14,99,1,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,4,47,56,Whitewater Region,296,8,46,0,0,13,671,8,604,33,"1,059",39,"2,334",0,0,3,38,14,173,4,678,"1,495",9,"3,729","8,221",0,0,205,"5,924",74,"1,802",160,"3,460",56,"1,592",83,605,48,"1,263",204,"7,956",168,"5,545",45,"2,411",151,302,220,"19,444",20,33,25,749,21,828,26,"1,610",6,15,7,186,4,505,7,585,10,"1,291",56,328,12,303,0,0,0,0,0,0,0,0,5,15,1,x,0,0
35,4,47,70,North Algona Wilberforce,95,3,x,0,0,1,x,0,0,7,x,7,345,0,0,0,0,2,x,2,x,x,1,x,x,0,0,59,946,11,90,30,198,10,x,23,104,3,x,60,"1,394",60,x,2,x,49,79,65,"2,707",7,12,8,375,7,266,8,653,2,x,2,x,2,x,3,x,3,x,17,50,1,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,4,47,75,Laurentian Valley,162,3,35,0,0,8,532,3,114,19,377,24,"1,023",0,0,5,59,3,20,5,357,787,5,901,"1,986",0,0,97,"1,915",32,280,69,858,19,208,47,284,17,366,98,"3,130",87,"2,372",17,758,69,113,107,"6,296",6,7,7,92,8,158,9,257,0,0,1,x,0,0,2,x,2,x,32,164,3,18,0,0,0,0,0,0,1,x,1,x,0,0,0,0
35,4,47,90,Laurentian Hills,27,1,x,0,0,2,x,1,x,5,x,5,280,0,0,1,x,3,15,1,x,x,2,x,x,0,0,7,42,3,x,6,14,1,x,5,x,0,0,7,66,7,66,0,0,4,x,7,134,2,x,2,x,2,x,2,x,0,0,0,0,0,0,0,0,0,0,10,41,2,x,0,0,0,0,0,0,0,0,1,x,0,0,0,0
35,5,48,0,Nipissing,272,5,42,1,x,17,"1,105",6,160,43,"1,217",49,"2,482",0,0,10,184,16,135,8,"1,325","2,921",9,"1,187","2,617",0,0,144,"2,216",39,214,98,"1,010",33,x,56,271,23,x,140,"3,315",120,"2,454",23,861,100,133,159,"6,888",13,27,18,515,14,417,19,959,6,15,11,x,7,334,6,x,13,"1,321",91,581,15,"1,319",0,0,0,0,0,0,1,x,6,39,4,405,0,0
35,5,48,22,Calvin,38,1,x,0,0,3,x,0,0,8,x,8,342,0,0,1,x,3,28,1,x,x,1,x,x,0,0,22,270,2,x,16,124,5,x,12,77,2,x,22,402,21,x,1,x,14,x,25,827,2,x,2,x,2,x,2,x,1,x,3,x,1,x,0,0,3,x,15,100,2,x,0,0,0,0,0,0,1,x,0,0,1,x,0,0
35,5,48,27,Bonfield,33,0,0,0,0,4,x,2,x,8,297,9,603,0,0,3,x,2,x,3,188,414,2,x,x,0,0,19,479,4,13,13,72,7,x,6,32,1,x,18,485,17,x,1,x,15,24,21,"1,073",2,x,2,x,3,82,3,x,0,0,1,x,0,0,1,x,2,x,10,77,1,x,0,0,0,0,0,0,0,0,1,x,1,x,0,0
35,5,48,31,Chisholm,49,0,0,0,0,3,x,2,x,12,270,13,409,0,0,3,72,6,55,1,x,x,2,x,x,0,0,21,261,6,17,17,139,4,27,11,31,3,81,20,408,18,x,2,x,17,22,24,847,3,9,5,134,4,131,5,274,1,x,2,x,2,x,1,x,3,x,26,176,2,x,0,0,0,0,0,0,0,0,1,x,0,0,0,0
35,5,48,34,East Ferris,28,2,x,1,x,3,83,2,x,4,x,6,371,0,0,2,x,2,x,1,x,x,1,x,x,0,0,9,123,1,x,6,35,2,x,5,13,1,x,9,161,9,161,0,0,7,x,10,327,2,x,2,x,1,x,2,x,2,x,2,x,2,x,1,x,2,x,6,60,2,x,0,0,0,0,0,0,0,0,2,x,1,x,0,0
35,5,48,55,West Nipissing / Nipissing Ouest,124,2,x,0,0,4,525,0,0,11,232,13,757,0,0,1,x,3,13,2,x,x,3,x,x,0,0,73,"1,083",26,173,46,640,15,125,22,118,16,397,71,"1,859",55,"1,128",19,731,47,59,79,"3,814",4,10,7,192,4,137,7,339,2,x,3,37,2,x,3,x,3,215,34,168,8,779,0,0,0,0,0,0,0,0,2,x,1,x,0,0
35,3,49,0,Parry Sound,338,11,594,0,0,30,"2,711",6,228,60,"2,242",70,"5,181",0,0,17,254,18,x,27,"5,608","12,364",38,"13,424","29,595",1,x,147,"1,590",49,161,103,620,33,x,73,358,9,x,158,"2,810",150,"2,573",10,237,111,141,169,"5,322",16,25,24,836,20,841,24,"1,702",7,x,12,216,8,x,22,"1,200",29,"2,184",108,655,18,134,0,0,0,0,0,0,1,x,12,x,0,0,0,0
35,3,49,3,Seguin,21,1,x,0,0,1,x,1,x,5,76,5,x,0,0,0,0,1,x,1,x,x,0,0,0,0,0,9,69,5,12,7,16,2,x,7,x,0,0,9,96,9,96,0,0,6,6,9,199,1,x,1,x,1,x,1,x,0,0,0,0,0,0,2,x,2,x,5,14,1,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,3,49,19,Armour,31,1,x,0,0,5,395,0,0,6,235,8,630,0,0,2,x,2,x,3,666,"1,468",4,"2,515","5,545",0,0,8,54,2,x,7,24,4,8,4,16,0,0,9,89,9,89,0,0,5,x,9,177,2,x,4,x,4,75,4,135,0,0,0,0,1,x,1,x,2,x,4,28,1,x,0,0,0,0,0,0,1,x,3,3,0,0,0,0
35,3,49,24,Ryerson,20,0,0,0,0,2,x,0,0,0,0,2,x,0,0,0,0,0,0,1,x,x,1,x,x,0,0,12,172,6,10,6,23,2,x,4,x,0,0,13,219,13,219,0,0,9,20,13,444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,x,1,x,6,29,0,0,0,0,0,0,0,0,0,0,1,x,0,0,0,0
35,3,49,28,McKellar,24,3,12,0,0,3,250,0,0,7,607,7,857,0,0,2,x,1,x,1,x,x,2,x,x,0,0,12,87,2,x,6,x,1,x,6,12,0,0,14,148,14,148,0,0,9,9,15,264,2,x,2,x,1,x,2,x,1,x,2,x,1,x,1,x,2,x,11,39,3,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,3,49,39,Whitestone,19,0,0,0,0,1,x,0,0,5,x,5,190,0,0,1,x,2,x,1,x,x,5,"1,308","2,884",0,0,12,121,1,x,7,31,1,x,7,x,0,0,12,163,12,163,0,0,6,x,12,323,1,x,3,x,3,135,3,249,0,0,0,0,0,0,0,0,0,0,7,47,1,x,0,0,0,0,0,0,0,0,1,x,0,0,0,0
35,3,49,43,Magnetawan,30,0,0,0,0,2,x,1,x,2,x,3,320,0,0,0,0,2,x,0,0,0,1,x,x,0,0,12,189,4,46,11,102,3,15,9,87,0,0,13,316,13,316,0,0,10,11,14,664,0,0,0,0,0,0,0,0,0,0,1,x,1,x,1,x,2,x,14,106,1,x,0,0,0,0,0,0,0,0,1,x,0,0,0,0
35,3,49,46,Strong,34,1,x,0,0,3,133,0,0,5,88,5,221,0,0,2,x,1,x,2,x,x,3,189,417,0,0,11,80,6,14,10,52,6,36,4,16,0,0,11,54,11,x,1,x,6,6,15,206,3,5,5,83,4,91,5,179,1,x,3,x,0,0,3,20,4,34,19,77,2,x,0,0,0,0,0,0,0,0,2,x,0,0,0,0
35,3,49,54,Machar,20,1,x,0,0,1,x,1,x,4,x,4,144,0,0,2,x,1,x,5,450,992,5,832,"1,834",0,0,4,59,1,x,1,x,1,x,0,0,0,0,6,100,6,100,0,0,5,x,6,170,0,0,1,x,0,0,1,x,0,0,0,0,0,0,2,x,2,x,7,82,4,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,3,49,60,Powassan,57,1,x,0,0,4,555,1,x,9,x,12,791,0,0,3,32,4,53,5,694,"1,530",5,"1,683","3,710",0,0,27,365,6,7,23,221,5,14,13,82,7,125,29,"1,028",23,837,6,191,22,29,32,"1,650",2,x,3,x,2,x,3,x,3,7,4,x,3,x,5,x,6,x,20,158,3,23,0,0,0,0,0,0,0,0,2,x,0,0,0,0
35,3,49,71,Nipissing,42,2,x,0,0,2,x,1,x,9,x,9,815,0,0,2,x,2,x,4,839,"1,850",7,"1,479","3,261",1,x,19,193,10,44,7,31,2,x,6,x,0,0,20,274,20,274,0,0,15,15,21,557,2,x,2,x,2,x,2,x,1,x,1,x,2,x,4,298,5,x,7,45,1,x,0,0,0,0,0,0,0,0,1,x,0,0,0,0
35,3,49,96,"Parry Sound, Unorganized, Centre Part",40,1,x,0,0,6,663,1,x,8,x,10,"1,037",0,0,3,71,2,x,4,"1,417","3,124",5,"3,426","7,553",0,0,21,201,6,17,18,103,6,x,13,58,2,x,22,323,20,x,3,x,18,24,23,668,3,4,3,70,3,73,3,147,1,x,1,x,0,0,2,x,3,x,8,30,1,x,0,0,0,0,0,0,0,0,1,x,0,0,0,0
35,5,51,0,Manitoulin,258,3,44,0,0,10,310,5,264,24,851,28,"1,425",0,0,5,x,9,48,1,x,x,2,x,x,0,0,181,"5,796",79,"1,490",120,"2,126",54,"1,060",91,811,7,255,178,"8,138",174,"7,627",9,511,139,315,200,"17,865",19,53,18,433,18,485,21,971,2,x,2,x,4,x,3,47,5,x,42,225,13,52,0,0,0,0,0,0,0,0,2,x,1,x,0,0
35,5,51,17,Northeastern Manitoulin and the Islands,215,3,44,0,0,10,310,4,x,21,x,25,"1,324",0,0,4,24,7,x,0,0,0,2,x,x,0,0,150,"4,693",62,"1,171",95,"1,564",42,830,71,x,6,x,147,"6,444",143,x,8,x,113,256,166,"14,128",16,49,15,x,15,x,18,x,1,x,1,x,3,x,2,x,4,25,37,214,12,x,0,0,0,0,0,0,0,0,2,x,1,x,0,0
35,5,51,24,Gordon,43,0,0,0,0,0,0,1,x,3,x,3,101,0,0,1,x,2,x,1,x,x,0,0,0,0,0,31,"1,103",17,319,25,562,12,230,20,x,1,x,31,"1,694",31,x,1,x,26,59,34,"3,737",3,4,3,x,3,x,3,x,1,x,1,x,1,x,1,x,1,x,5,11,1,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,5,52,0,Sudbury,143,3,x,0,0,5,178,3,190,23,857,24,"1,225",0,0,3,x,5,114,2,x,x,1,x,x,0,0,80,"1,312",27,122,56,684,12,65,40,216,16,403,89,"2,379",75,"1,500",21,879,56,73,93,"4,570",3,17,3,x,3,x,3,x,0,0,1,x,0,0,1,x,2,x,38,319,4,13,1,x,0,0,0,0,3,63,2,x,2,x,1,x
35,5,52,1,French River / Riviäre des Franáais,29,2,x,0,0,0,0,0,0,1,x,1,x,0,0,1,x,0,0,0,0,0,0,0,0,0,0,20,437,7,41,15,241,4,26,12,46,5,169,19,814,17,485,5,329,11,15,20,"1,548",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,x,1,x,2,x,1,x,0,0,0,0,0,0,2,x,0,0,0,0,1,x
35,5,52,4,St.-Charles,26,1,x,0,0,2,x,1,x,3,x,3,x,0,0,1,x,2,x,0,0,0,0,0,0,0,0,12,143,6,23,10,108,2,x,7,x,3,50,13,252,9,111,4,141,10,13,14,539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,x,1,x,1,x,0,0,0,0,1,x,0,0,1,x,0,0
35,5,52,13,Markstay-Warren,39,0,0,0,0,3,x,0,0,11,x,12,329,0,0,1,x,1,x,2,x,x,1,x,x,0,0,19,319,8,43,12,163,4,26,7,55,5,82,22,599,18,400,5,199,10,15,23,"1,139",1,x,1,x,1,x,1,x,0,0,1,x,0,0,0,0,1,x,15,148,1,x,0,0,0,0,0,0,0,0,2,x,1,x,0,0
35,5,52,23,Sables-Spanish Rivers,49,0,0,0,0,0,0,2,x,8,x,8,733,0,0,0,0,2,x,0,0,0,0,0,0,0,0,29,413,6,15,19,172,2,x,14,x,3,102,35,714,31,504,7,210,25,30,36,"1,344",2,x,2,x,2,x,2,x,0,0,0,0,0,0,0,0,0,0,15,76,1,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,5,53,0,Greater Sudbury / Grand Sudbury,160,6,58,1,x,5,180,2,x,16,x,20,614,0,0,1,x,6,116,9,"2,302","5,075",9,x,x,0,0,41,343,22,97,22,99,9,25,16,74,0,0,44,501,44,501,0,0,29,37,50,"1,077",1,x,1,x,1,x,1,x,4,x,4,12,1,x,2,x,4,34,59,487,5,20,0,0,0,0,0,0,0,0,0,0,1,x,0,0
35,5,53,5,Greater Sudbury / Grand Sudbury,160,6,58,1,x,5,180,2,x,16,x,20,614,0,0,1,x,6,116,9,"2,302","5,075",9,x,x,0,0,41,343,22,97,22,99,9,25,16,74,0,0,44,501,44,501,0,0,29,37,50,"1,077",1,x,1,x,1,x,1,x,4,x,4,12,1,x,2,x,4,34,59,487,5,20,0,0,0,0,0,0,0,0,0,0,1,x,0,0
