HDPROV,AGOPCAR,CENSUSD,CCS,AREANAME,NFRMREP,NTOTWHT,TOTWHT,ETOTWHT,NWHTSPG,WHTSPG,EWHTSPG,NWHTDUR,WHTDUR,EWHTDUR,NWHTWIN,WHTWIN,EWHTWIN,NOATS,OATS,EOATS,NBARLEY,BARLEY,EBARLEY,NMXDGRN,MXDGRN,EMXDGRN,NTOTCORN,TOTCORN,ETOTCRN,NCORNGR,CORNGR,ECORNGR,NCORNSI,CORNSI,ECORNSI,NTOTRYE,TOTRYE,ETOTRYE,NRYEFAL,RYEFAL,ERYEFAL,NRYESPG,RYESPG,ERYESPG,NCANOLA,CANOLA,ECANOLA,NSOYBNS,SOYBNS,ESOYBNS,NFLAXSD,FLAXSD,EFLAXSD,NDFPEAS,DFPEAS,EDFPEAS,NCHICPEA,CHICPEA,ECHICPEA,NLENTIL,LENTIL,ELENTIL,NWHITBN,WHITBN,EWHITBN,NODFBNS,ODFBNS,EODFBNS,NALFALFA,ALFALFA,EALFALFA,NOTTAME,OTTAME,EOTTAME,NFORAGE,FORAGE,EFORAGE,NPOTATS,POTATS,EPOTATS,NMUSTSD,MUSTSD,EMUSTSD,NSUNFLS,SUNFLS,ESUNFLS,NCANARY,CANARY,ECANARY,NTOBACO,TOBACO,ETOBACO,NGINSENG,GINSENG,EGINSENG,NBUCWHT,BUCWHT,EBUCWHT,NSUGARB,SUGARB,ESUGARB,NCARAWAY,CARAWAY,ECARAWAY,NTRITCL,TRITCL,ETRITCL,NOFIELD,OFIELD,EOFIELD
24,10,85,30,Duhamel-Ouest,30,2,x,x,2,x,x,0,0,0,0,0,0,4,453,183,10,925,374,1,x,x,3,115,47,1,x,x,3,x,x,0,0,0,0,0,0,0,0,0,2,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,"1,538",622,15,"1,679",679,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,10,85,37,Lorrainville,25,1,x,x,1,x,x,0,0,0,0,0,0,9,"1,073",434,9,"1,223",495,1,x,x,3,265,107,1,x,x,2,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,"1,306",529,17,"3,234","1,309",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,10,85,45,Saint-Bruno-de-Guigues,49,7,"1,590",643,7,x,x,0,0,0,2,x,x,16,"2,031",822,16,"2,162",875,6,199,81,8,381,154,2,x,x,8,x,x,0,0,0,0,0,0,0,0,0,3,470,190,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,"2,705","1,095",30,"4,697","1,901",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,10,85,50,Laverlochäre,19,2,x,x,2,x,x,0,0,0,0,0,0,13,"1,014",410,5,221,89,3,242,98,3,50,20,1,x,x,3,x,x,0,0,0,0,0,0,0,0,0,2,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,x,x,16,"4,006","1,621",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,10,85,55,Fugäreville,27,0,0,0,0,0,0,0,0,0,0,0,0,10,534,216,7,717,290,2,x,x,2,x,x,0,0,0,2,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,"1,788",724,17,"5,388","2,180",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,10,85,85,Saint-Eugäne-de-Guigues,19,2,x,x,2,x,x,0,0,0,0,0,0,10,"1,477",598,8,"1,032",418,4,194,79,8,956,387,4,653,264,6,303,123,0,0,0,0,0,0,0,0,0,1,x,x,2,x,x,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,"1,643",665,13,"1,988",805,1,x,x,3,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,10,85,90,Notre-Dame-du-Nord,22,5,826,334,4,x,x,1,x,x,0,0,0,8,"1,142",462,6,523,212,5,276,112,1,x,x,1,x,x,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,"1,337",541,15,"2,685","1,087",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,10,85,100,NÇdÇlec,24,5,"1,665",674,5,x,x,0,0,0,1,x,x,15,"2,485","1,006",7,633,256,1,x,x,1,x,x,0,0,0,1,x,x,0,0,0,0,0,0,0,0,0,4,327,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,"1,186",480,14,"3,300","1,335",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0
24,10,85,105,RÇmigny,20,0,0,0,0,0,0,0,0,0,0,0,0,6,199,81,0,0,0,6,434,176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,x,x,17,"4,010","1,623",0,0,0,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,10,86,0,Rouyn-Noranda,66,1,x,x,1,x,x,0,0,0,0,0,0,22,"1,246",504,2,x,x,6,435,176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,375,152,43,"15,385","6,226",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,10,86,42,Rouyn-Noranda,66,1,x,x,1,x,x,0,0,0,0,0,0,22,"1,246",504,2,x,x,6,435,176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,375,152,43,"15,385","6,226",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,10,87,0,Abitibi-Ouest,206,3,x,x,2,x,x,0,0,0,1,x,x,94,"9,856","3,989",41,"3,472","1,405",17,"1,708",691,3,x,x,1,x,x,2,x,x,0,0,0,0,0,0,0,0,0,1,x,x,2,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,"4,404","1,782",160,"56,943","23,044",2,x,x,1,x,x,1,x,x,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,x,x
24,10,87,10,Rapide-Danseur,22,0,0,0,0,0,0,0,0,0,0,0,0,5,507,205,5,571,231,0,0,0,1,x,x,0,0,0,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,323,131,17,"7,430","3,007",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,10,87,25,Palmarolle,31,1,x,x,1,x,x,0,0,0,0,0,0,15,"1,223",495,8,786,318,5,472,191,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,571,231,28,"7,978","3,229",1,x,x,1,x,x,1,x,x,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,10,87,30,Sainte-Germaine-BoulÇ,22,0,0,0,0,0,0,0,0,0,0,0,0,11,"1,142",462,10,706,286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,"1,397",565,17,"6,766","2,738",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,10,87,35,Poularies,17,0,0,0,0,0,0,0,0,0,0,0,0,9,719,291,1,x,x,2,x,x,1,x,x,0,0,0,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x,15,"5,311","2,149",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,10,87,42,Taschereau,24,1,x,x,0,0,0,0,0,0,1,x,x,8,511,207,3,83,34,2,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,x,x,17,"5,281","2,137",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x
24,10,87,58,Macamic,18,0,0,0,0,0,0,0,0,0,0,0,0,10,"1,541",624,5,215,87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,"6,317","2,556",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,10,87,75,Clerval,22,1,x,x,1,x,x,0,0,0,0,0,0,9,697,282,2,x,x,4,359,145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,"1,129",457,12,"4,436","1,795",1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,10,87,80,La Reine,16,0,0,0,0,0,0,0,0,0,0,0,0,8,"1,385",560,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x,12,"2,781","1,125",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x
24,10,87,90,La Sarre,34,0,0,0,0,0,0,0,0,0,0,0,0,19,"2,131",862,6,812,329,4,628,254,1,x,x,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,x,x,26,"10,643","4,307",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,10,88,0,Abitibi,188,8,400,162,7,x,x,0,0,0,1,x,x,93,"6,338","2,565",19,x,x,28,"2,844","1,151",1,x,x,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x,13,"1,687",683,148,"38,127","15,429",1,x,x,5,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0
24,10,88,10,Rochebaucourt,25,0,0,0,0,0,0,0,0,0,0,0,0,12,736,298,0,0,0,3,517,209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x,21,"5,267","2,131",0,0,0,3,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,10,88,22,Barraute,17,0,0,0,0,0,0,0,0,0,0,0,0,7,791,320,3,127,51,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,"1,938",784,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,10,88,40,Saint-Marc-de-Figuery,18,3,263,106,2,x,x,0,0,0,1,x,x,11,942,381,1,x,x,3,681,276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,540,219,14,"4,326","1,751",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,10,88,45,La Motte,31,0,0,0,0,0,0,0,0,0,0,0,0,19,"1,558",631,4,165,67,7,250,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x,3,98,40,28,"6,829","2,764",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0
24,10,88,55,Amos,25,2,x,x,2,x,x,0,0,0,0,0,0,15,968,392,2,x,x,3,166,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,x,x,21,"6,671","2,700",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,10,88,60,Saint-FÇlix-de-Dalquier,21,1,x,x,1,x,x,0,0,0,0,0,0,14,647,262,2,x,x,4,511,207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x,21,"5,701","2,307",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,10,88,85,Sainte-Gertrude-Manneville,23,1,x,x,1,x,x,0,0,0,0,0,0,8,230,93,3,x,x,5,259,105,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,x,x,18,"3,441","1,393",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,10,88,904,Lac-Chicobi,28,1,x,x,1,x,x,0,0,0,0,0,0,7,466,189,4,302,122,2,x,x,1,x,x,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x,14,"3,954","1,600",0,0,0,2,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,10,89,0,VallÇe-de-l'Or,41,1,x,x,1,x,x,0,0,0,1,x,x,15,723,293,8,952,385,6,387,157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,387,157,30,"5,941","2,404",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,10,89,8,Val-d'Or,41,1,x,x,1,x,x,0,0,0,1,x,x,15,723,293,8,952,385,6,387,157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,387,157,30,"5,941","2,404",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,4,90,0,La Tuque,19,0,0,0,0,0,0,0,0,0,0,0,0,6,438,177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,426,172,8,983,398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,4,90,12,La Tuque,19,0,0,0,0,0,0,0,0,0,0,0,0,6,438,177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,426,172,8,983,398,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,2,91,0,Le Domaine-du-Roy,200,22,"3,183","1,288",22,x,x,0,0,0,1,x,x,104,"14,502","5,869",39,"4,373","1,770",20,"1,648",667,16,750,304,7,x,x,13,x,x,2,x,x,2,x,x,0,0,0,22,"1,515",613,9,523,212,5,415,168,5,428,173,0,0,0,0,0,0,0,0,0,0,0,0,63,"7,681","3,108",95,"14,338","5,802",2,x,x,4,x,x,0,0,0,1,x,x,0,0,0,0,0,0,0,0,0,3,x,x,0,0,0,0,0,0,0,0,0,1,x,x
24,2,91,15,Saint-Franáois-de-Sales,20,1,x,x,1,x,x,0,0,0,0,0,0,10,540,219,0,0,0,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,263,106,8,"1,072",434,0,0,0,2,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,2,91,20,Chambord,25,2,x,x,2,x,x,0,0,0,0,0,0,14,923,374,5,431,174,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,"1,217",493,9,"1,032",418,0,0,0,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,2,91,35,Saint-Prime,39,8,791,320,8,x,x,0,0,0,1,x,x,21,"2,516","1,018",15,"1,296",524,5,459,186,7,300,121,3,135,55,5,165,67,0,0,0,0,0,0,0,0,0,9,555,225,3,178,72,1,x,x,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,19,"2,609","1,056",14,"2,078",841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,x,x,0,0,0,0,0,0,0,0,0,1,x,x
24,2,91,42,Saint-FÇlicien,71,5,632,256,5,632,256,0,0,0,0,0,0,40,"8,502","3,441",10,"1,289",522,5,680,275,5,226,91,3,61,25,4,165,67,0,0,0,0,0,0,0,0,0,8,456,185,3,134,54,1,x,x,3,x,x,0,0,0,0,0,0,0,0,0,0,0,0,15,"2,530","1,024",40,"6,575","2,661",2,x,x,1,x,x,0,0,0,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,2,91,50,La DorÇ,23,4,"1,265",512,4,"1,265",512,0,0,0,0,0,0,7,"1,290",522,4,600,243,3,x,x,0,0,0,0,0,0,0,0,0,2,x,x,2,x,x,0,0,0,3,x,x,2,x,x,2,x,x,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,4,317,128,8,"1,560",631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0
24,2,91,902,Lac-Ashuapmushuan,22,2,x,x,2,x,x,0,0,0,0,0,0,12,731,296,5,757,306,5,275,111,4,224,91,1,x,x,4,x,x,0,0,0,0,0,0,0,0,0,2,x,x,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,745,301,16,"2,021",818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,2,92,0,Maria-Chapdelaine,258,13,x,x,12,506,205,1,x,x,2,x,x,132,"19,562","7,916",55,"6,571","2,659",11,x,x,17,754,305,3,x,x,15,x,x,2,x,x,1,x,x,1,x,x,10,524,212,9,401,162,1,x,x,3,x,x,1,x,x,1,x,x,0,0,0,1,x,x,52,"4,819","1,950",144,"28,295","11,451",2,x,x,7,"2,734","1,106",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x,0,0,0,0,0,0,0,0,0,1,x,x
24,2,92,5,Saint-Augustin,18,1,x,x,1,x,x,0,0,0,0,0,0,11,888,359,5,600,243,0,0,0,2,x,x,1,x,x,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,324,131,13,"3,083","1,248",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,2,92,15,Sainte-Jeanne-d'Arc,27,1,x,x,1,x,x,0,0,0,0,0,0,21,"3,883","1,571",4,591,239,1,x,x,3,x,x,1,x,x,2,x,x,1,x,x,1,x,x,0,0,0,1,x,x,2,x,x,1,x,x,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,5,278,113,15,"2,836","1,148",0,0,0,6,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,2,92,30,Albanel,46,4,195,79,4,195,79,0,0,0,0,0,0,20,"2,442",988,11,929,376,5,772,312,4,92,37,0,0,0,4,92,37,1,x,x,0,0,0,1,x,x,3,x,x,1,x,x,0,0,0,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,10,804,325,23,"5,222","2,113",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,2,92,40,Normandin,63,5,216,87,5,x,x,0,0,0,1,x,x,45,"6,268","2,537",24,"2,814","1,139",2,x,x,8,281,114,1,x,x,8,x,x,0,0,0,0,0,0,0,0,0,6,322,130,4,160,65,0,0,0,1,x,x,1,x,x,1,x,x,0,0,0,1,x,x,24,"2,627","1,063",43,"7,827","3,167",1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0
24,2,92,50,Saint-Edmond-les-Plaines,23,1,x,x,0,0,0,0,0,0,1,x,x,12,"1,991",806,4,753,305,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,156,63,14,"2,969","1,202",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,2,92,55,Girardville,19,0,0,0,0,0,0,0,0,0,0,0,0,7,769,311,3,246,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,x,x,9,"1,600",647,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,2,92,65,Saint-Eugäne-d'Argentenay,31,0,0,0,0,0,0,0,0,0,0,0,0,12,"1,599",647,4,638,258,2,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x,15,"3,056","1,237",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,2,92,902,Chute-des-Passes,31,1,x,x,1,x,x,1,x,x,0,0,0,4,"1,722",697,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x,12,"1,702",689,0,0,0,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x
24,2,93,0,Lac-Saint-Jean-Est,325,56,"3,931","1,591",51,"3,503","1,418",2,x,x,4,x,x,148,"10,367","4,195",133,"13,058","5,284",35,"2,011",814,52,"3,662","1,482",25,"2,338",946,39,"1,324",536,0,0,0,0,0,0,0,0,0,31,"2,100",850,12,"1,192",482,13,x,x,4,318,129,0,0,0,0,0,0,0,0,0,0,0,0,157,"18,079","7,316",195,"20,501","8,296",1,x,x,2,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,x,x
24,2,93,12,MÇtabetchouan--Lac-Ö-la-Croix,64,7,872,353,6,x,x,0,0,0,1,x,x,34,"2,204",892,28,"2,462",996,4,x,x,10,740,299,6,441,178,8,299,121,0,0,0,0,0,0,0,0,0,3,223,90,4,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,"4,995","2,021",33,"2,581","1,044",0,0,0,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,2,93,20,HÇbertville,63,19,"1,051",425,17,x,x,1,x,x,1,x,x,34,"2,202",891,32,"3,527","1,427",9,438,177,14,"1,074",435,7,719,291,9,355,144,0,0,0,0,0,0,0,0,0,9,588,238,6,564,228,4,117,47,3,x,x,0,0,0,0,0,0,0,0,0,0,0,0,36,"4,565","1,847",44,"4,344","1,758",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x
24,2,93,30,Saint-Bruno,42,13,655,265,13,x,x,1,x,x,0,0,0,12,808,327,29,"3,086","1,249",7,396,160,10,491,199,3,245,99,8,246,100,0,0,0,0,0,0,0,0,0,9,655,265,1,x,x,1,x,x,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,"2,935","1,188",24,"2,201",891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,2,93,35,Saint-GÇdÇon,32,6,418,169,6,418,169,0,0,0,0,0,0,6,160,65,14,"1,088",440,4,179,72,8,656,265,5,461,187,6,195,79,0,0,0,0,0,0,0,0,0,4,181,73,1,x,x,3,89,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,"1,863",754,12,725,293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,x,x
