PROV ,CAR,CD,CCS,GEO NAMES,ntotfcap,totfcap,nvalulb,valulb,nvlbown,vlbown,nvlbrnt,vlbrnt,nvallvsk,vallvsk,nvalmch,valmch,ncap1,ncap2,ncap3,ncap4,ncap5,ncap6,ncap7,ncap8,ncap9,ntotexp,totexp,nfertpd,fertpd,nchempd,chempd,nseedpd,seedpd,nfeedpd,feedpd,ncostfd,costfd,nlvstpd,lvstpd,nvetser,vetser,ncustwrk,custwrk,ntcshwge,tcshwge,ncshwgef,cshwgef,ncshwgnf,cshwgnf,nfuel,fuel,nrepmch,repmch,nrntmch,rntmch,nrepbldg,repbldg,nrntexp,rntexp,nutilexp,utilexp,ntotint,totint,nothexp,othexp,nsalesxfp,salesxfp,nsale1,nsale2,nsale3,nsale4,nsale5,nsale6,nsale7,nsale8,nsale9,ntype0,ntype1,ntype2,ntype3,ntype4,ntype5,ntype6,ntype7,ntype8,ntype9,ntype10,ntype11,ntype12,nnaic1,nnaic2,nnaic3,nnaic4,nnaic5,nnaic6,nnaic7,nnaic8,nnaic9,nnaic10,ntotlab,totlab,npdlbyr,pdlbyr,npdlbsl,pdlbsl
35,2,23,33,Mapleton,733,"665,427,446",733,"507,772,559",709,"408,861,893",235,"98,910,666",645,"75,590,749",733,"82,064,138",0,6,29,97,104,304,104,44,45,733,"130,647,461",551,"3,764,668",485,"2,265,752",577,"2,999,752",616,"33,285,763",212,"3,219,603",494,"35,272,077",583,"3,647,933",561,"4,350,992",297,"6,699,889",216,"4,467,082",148,"2,232,807",700,"4,713,657",679,"5,400,004",110,"325,332",585,"2,470,634",213,"2,015,870",688,"3,135,419",543,"10,358,127",690,"9,941,592",733,160418070,30,15,46,83,74,62,200,137,86,703,202,147,91,60,6,75,15,3,53,41,1,9,345,92,60,14,72,81,2,3,7,27,297,"15,460",155,"12,268",186,"3,192"
35,2,23,43,Minto,292,"245,074,203",292,"189,766,631",282,"145,287,331",101,"44,479,300",245,"23,906,039",292,"31,401,533",4,4,23,66,46,85,32,13,19,292,"46,532,742",216,"1,714,241",180,"1,134,959",220,"1,465,110",238,"8,388,995",71,"1,376,991",167,"14,465,283",223,"1,057,512",199,"1,481,519",116,"2,800,849",79,"1,101,677",64,"1,699,172",275,"1,877,198",265,"1,716,733",51,"315,618",245,"923,801",89,"1,199,981",268,"1,136,361",186,"2,820,423",273,"4,034,159",292,53779144,12,6,30,57,38,32,70,26,21,280,59,78,33,8,5,39,10,2,32,12,0,2,132,33,8,7,35,44,0,2,6,13,116,"5,047",54,"4,205",74,842
35,2,23,50,Wellington North,491,"350,270,392",491,"272,718,924",471,"202,781,279",183,"69,937,645",414,"34,826,540",491,"42,724,928",3,4,33,118,85,163,42,18,25,491,"53,038,157",374,"2,058,329",317,"992,795",368,"1,744,963",391,"12,357,215",128,"835,916",267,"11,863,688",368,"1,423,898",313,"1,988,182",153,"2,693,565",100,"1,661,803",89,"1,031,762",472,"2,654,890",459,"2,581,889",76,"269,039",385,"1,411,093",148,"988,252",472,"1,581,824",320,"4,181,090",461,"4,247,445",491,61802941,26,16,42,100,75,54,104,51,23,465,80,151,30,22,6,71,23,1,47,21,5,8,219,30,22,8,54,77,5,1,11,38,153,"5,989",61,"4,656",105,"1,333"
35,2,24,0,Halton Regional Municipality,619,"1,009,980,734",619,"920,952,894",575,"474,457,994",224,"446,494,900",399,"19,812,435",619,"69,215,405",2,7,14,74,111,221,71,26,93,619,"123,410,370",345,"2,684,371",301,"2,823,064",365,"6,928,802",348,"8,316,296",126,"1,118,688",217,"10,744,085",317,"1,993,961",299,"3,425,505",271,"32,731,157",163,"6,456,374",187,"26,274,783",574,"6,072,183",567,"4,395,852",90,"785,708",436,"2,157,212",168,"1,855,684",551,"3,720,925",265,"3,213,520",575,"31,562,045",619,141473312,69,43,78,111,87,71,73,45,42,550,26,93,4,21,7,92,49,27,180,11,20,20,115,4,21,11,111,101,22,27,67,71,271,"62,240",144,"43,987",187,"18,253"
35,2,24,1,Oakville,27,"69,381,172",27,"65,552,818",23,"20,426,318",11,"45,126,500",14,"665,155",27,"3,163,199",1,0,2,5,1,5,5,1,7,27,"2,565,469",14,"92,034",12,"113,794",15,"134,901",12,"436,202",5,"19,050",8,"326,678",14,x,15,"77,536",14,"448,381",7,"154,264",11,"294,117",25,"164,519",27,"119,247",2,x,18,"45,732",7,"57,680",25,"110,011",11,"146,046",24,"231,950",27,3009463,4,1,5,3,2,4,4,3,1,23,1,1,0,1,1,3,2,2,10,0,1,1,2,0,1,2,4,4,1,2,4,3,14,993,8,433,7,560
35,2,24,2,Burlington,95,"151,934,228",95,"130,758,226",94,"101,509,826",37,"29,248,400",57,"4,744,409",95,"16,431,593",0,0,2,11,17,31,15,4,15,95,"22,698,362",44,"466,560",41,"553,000",50,"421,150",50,"1,732,958",17,"60,914",35,"3,666,326",43,x,42,"1,214,920",43,"4,352,972",29,"1,914,716",28,"2,438,256",93,"1,521,504",87,"757,062",10,x,60,"257,852",20,"164,100",87,"817,598",34,"800,095",93,"5,751,590",95,23974891,10,10,17,12,15,12,8,3,8,85,2,16,1,2,1,12,11,3,25,2,6,4,17,1,2,2,12,13,6,3,13,16,43,"7,591",23,"6,634",28,957
35,2,24,9,Milton,271,"333,815,444",271,"305,098,296",254,"179,269,596",79,"125,828,700",177,"6,353,443",271,"22,363,705",0,5,8,32,54,104,18,17,33,271,"31,626,728",147,"880,386",123,"758,998",156,"2,275,796",155,"2,900,203",62,"528,977",94,"3,452,898",135,"1,166,190",112,"803,529",116,"7,839,725",70,"3,140,251",82,"4,699,474",247,"1,560,784",242,"1,429,080",38,"280,837",193,"985,244",64,"745,788",238,"1,027,523",122,"1,159,495",247,"4,360,252",271,34419693,33,20,35,55,31,29,27,25,16,238,5,35,2,10,2,38,18,10,91,5,11,11,38,2,10,6,58,42,13,10,32,27,116,"15,376",63,"6,903",85,"8,473"
35,2,24,15,Halton Hills,226,"454,849,890",226,"419,543,554",204,"173,252,254",97,"246,291,300",151,"8,049,428",226,"27,256,908",1,2,2,26,39,81,33,4,38,226,"66,519,811",140,"1,245,391",125,"1,397,272",144,"4,096,955",131,"3,246,933",42,"509,747",80,"3,298,183",125,"654,939",130,"1,329,520",98,"20,090,079",57,"1,247,143",66,"18,842,936",209,"2,825,376",211,"2,090,463",40,"396,270",165,"868,384",77,"888,116",201,"1,765,793",98,"1,107,884",211,"21,218,253",226,80069265,22,12,21,41,39,26,34,14,17,204,18,41,1,8,3,39,18,12,54,4,2,4,58,1,8,1,37,42,2,12,18,25,98,"38,280",50,"30,017",67,"8,263"
35,1,25,0,Hamilton Division,"1,026","845,093,210","1,026","710,575,142",974,"505,224,087",340,"205,351,055",570,"30,307,725","1,026","104,210,343",6,13,63,237,218,288,85,40,76,"1,026","192,790,957",679,"8,492,087",583,"4,283,775",668,"11,758,952",547,"25,246,578",154,"1,029,159",328,"16,617,963",471,"2,158,478",485,"4,889,884",493,"51,932,775",301,"16,289,465",358,"35,643,310",968,"8,907,087",941,"7,703,116",176,"1,897,513",746,"4,351,231",291,"3,154,706",941,"5,705,269",521,"7,475,640",942,"28,215,903","1,026",222342429,94,62,133,196,126,105,120,87,103,932,55,115,21,61,4,164,61,81,271,16,55,28,166,21,61,17,129,170,60,81,141,86,493,"96,210",237,"64,618",360,"31,592"
35,1,25,5,Hamilton,"1,026","845,093,210","1,026","710,575,142",974,"505,224,087",340,"205,351,055",570,"30,307,725","1,026","104,210,343",6,13,63,237,218,288,85,40,76,"1,026","192,790,957",679,"8,492,087",583,"4,283,775",668,"11,758,952",547,"25,246,578",154,"1,029,159",328,"16,617,963",471,"2,158,478",485,"4,889,884",493,"51,932,775",301,"16,289,465",358,"35,643,310",968,"8,907,087",941,"7,703,116",176,"1,897,513",746,"4,351,231",291,"3,154,706",941,"5,705,269",521,"7,475,640",942,"28,215,903","1,026",222342429,94,62,133,196,126,105,120,87,103,932,55,115,21,61,4,164,61,81,271,16,55,28,166,21,61,17,129,170,60,81,141,86,493,"96,210",237,"64,618",360,"31,592"
35,1,26,0,Niagara Regional Municipality,"2,266","1,764,362,508","2,266","1,490,823,612","2,191","1,196,982,911",657,"293,840,701",919,"45,918,734","2,266","227,620,162",14,32,277,601,357,544,197,84,160,"2,266","435,859,856","1,589","10,041,883","1,517","12,362,916","1,393","43,053,311",866,"36,713,041",242,"1,975,911",581,"30,836,741",703,"2,827,243","1,025","15,417,313","1,304","115,059,135",779,"34,747,765",985,"80,311,370","2,162","29,623,461","2,086","15,611,014",370,"2,502,392","1,554","9,875,799",507,"5,499,942","2,041","11,370,999","1,201","22,924,099","2,085","72,140,567","2,266",511395019,242,154,268,351,248,222,314,244,223,2024,116,124,32,167,9,200,71,767,432,24,34,48,220,32,168,18,144,213,36,767,294,132,"1,304","237,273",592,"123,433","1,007","113,840"
35,1,26,3,Fort Erie,70,"39,584,603",70,"32,637,400",65,"17,753,000",25,"14,884,400",44,"1,433,105",70,"5,514,098",0,4,11,23,9,14,5,1,3,70,"5,317,387",38,"128,398",30,"188,462",43,"229,811",37,"974,562",12,"76,106",28,"727,812",35,"114,099",21,"125,385",30,"941,492",22,"512,541",19,"428,951",63,"336,291",60,"217,119",11,"27,499",57,"148,375",16,"60,866",59,"189,928",29,"272,606",64,"634,682",70,5905919,15,6,11,8,5,7,9,7,2,55,5,7,0,5,0,11,6,1,16,0,1,3,11,0,5,0,10,11,1,1,6,10,30,"1,962",17,"1,132",17,830
35,1,26,11,Port Colborne,70,"34,328,141",70,"27,060,502",70,"21,303,402",26,"5,757,100",43,"1,290,891",70,"5,976,748",1,2,14,25,7,13,5,1,2,70,"6,861,958",39,"344,070",30,"282,121",38,"208,318",42,"1,519,754",9,"21,960",28,"1,009,797",27,"51,030",32,"119,650",30,"873,569",18,"486,530",21,"387,039",66,"324,729",61,"407,862",10,"27,701",56,"253,629",13,"83,845",62,"162,434",37,"454,918",66,"738,531",70,7544540,11,5,11,11,11,3,7,5,6,59,4,8,0,9,0,14,6,2,11,2,1,2,10,0,9,1,8,14,1,2,5,9,30,"1,989",11,"1,017",22,972
35,1,26,14,Wainfleet,207,"169,917,712",207,"135,703,432",205,"96,235,932",79,"39,467,500",128,"10,111,044",207,"24,103,236",0,2,31,58,25,44,23,10,14,207,"25,706,688",134,"1,121,669",121,"1,042,730",150,"2,112,531",118,"3,876,152",41,"289,152",79,"2,219,442",102,"409,904",107,"934,612",104,"3,411,960",74,"1,977,817",64,"1,434,143",192,"1,658,164",190,"1,145,096",32,"274,160",157,"638,465",62,"379,167",190,"754,488",126,"2,367,967",190,"3,360,181",207,30328473,23,14,24,31,16,20,30,34,15,184,26,13,8,17,1,46,7,5,48,4,6,3,35,8,17,3,21,48,6,5,26,15,104,"7,235",60,"5,010",59,"2,225"
35,1,26,21,West Lincoln,454,"291,232,698",454,"231,267,633",439,"170,680,882",164,"60,586,751",344,"19,797,758",454,"40,167,307",0,7,54,116,82,129,33,13,20,454,"57,089,015",258,"1,299,906",211,"944,209",251,"1,953,038",337,"17,012,730",87,"606,960",238,"8,632,283",276,"885,285",237,"1,370,810",202,"5,854,668",143,"3,773,698",115,"2,080,970",435,"3,183,724",421,"2,295,110",57,"396,718",340,"1,543,456",119,"582,938",423,"1,719,799",250,"3,758,364",420,"5,655,977",454,68058325,41,28,57,77,44,35,76,60,36,413,64,61,17,76,3,57,25,21,59,12,4,14,117,17,77,10,41,61,4,21,20,45,202,"11,941",110,"9,184",125,"2,757"
35,1,26,28,Pelham,209,"145,229,142",209,"122,424,240",203,"97,128,890",55,"25,295,350",79,"2,278,869",209,"20,526,033",4,1,26,54,38,54,10,7,15,209,"33,533,458",151,"974,607",145,"1,030,397",132,"2,381,758",80,"2,003,658",23,"235,235",48,"1,477,305",63,"244,967",93,"791,661",106,"9,875,292",64,"2,868,865",88,"7,006,427",200,"2,644,981",194,"1,455,238",33,"227,866",139,"795,406",54,"1,029,214",186,"1,005,126",103,"1,712,687",192,"5,883,295",209,40636003,22,17,20,35,25,27,26,19,18,187,4,10,1,10,2,20,5,54,60,0,11,10,13,1,10,0,18,23,11,54,41,16,106,"20,347",46,"11,462",83,"8,885"
35,1,26,32,Welland,28,"12,061,592",28,"10,084,000",27,"8,863,000",7,"1,221,000",12,"123,461",28,"1,854,131",1,0,10,5,5,4,2,1,0,28,"2,280,836",16,x,13,"47,960",15,x,9,"130,334",4,x,7,"93,400",6,x,8,"37,637",13,"722,169",7,"235,156",9,"487,013",26,"134,545",22,"71,841",4,x,18,"88,175",3,x,25,"83,145",13,"100,708",25,"356,239",28,2208029,6,2,9,5,1,2,2,0,1,22,0,1,0,1,0,7,3,1,8,1,0,0,1,0,1,0,3,7,0,1,6,3,13,"1,646",7,"1,308",10,338
35,1,26,37,Thorold,49,"53,532,497",49,"44,987,844",47,"23,474,844",19,"21,513,000",27,"1,081,966",49,"7,462,687",1,0,7,8,9,14,1,4,5,49,"5,980,131",35,"252,613",34,"272,575",33,x,22,"418,205",7,"14,060",17,"416,143",21,"108,730",27,"154,109",27,"1,676,973",18,"631,324",22,"1,045,649",47,"465,134",46,"367,986",4,x,33,"222,116",14,"127,305",46,"220,819",22,"250,117",42,"725,124",49,7428360,6,3,3,11,5,3,10,3,5,43,2,2,0,3,0,11,0,11,10,0,1,3,4,0,3,0,4,11,1,11,6,3,27,"4,879",13,"3,838",19,"1,041"
35,1,26,43,Niagara Falls,82,"48,822,392",82,"41,065,100",79,"29,183,000",24,"11,882,100",47,"1,871,829",82,"5,885,463",0,2,13,22,16,17,8,1,3,82,"5,481,298",47,x,38,"104,879",43,x,45,"1,404,074",19,"256,898",29,"706,283",28,x,24,"78,839",29,"976,058",22,"580,039",15,"396,019",77,"354,428",76,"288,912",6,"45,246",56,"164,910",10,x,71,"221,097",38,"298,677",75,"533,249",82,6133914,18,6,10,17,9,6,7,8,1,64,3,9,1,5,1,6,8,7,19,1,1,3,9,1,5,2,8,7,2,7,10,13,29,"2,764",14,"2,263",20,501
35,1,26,47,Niagara-on-the-Lake,401,"340,287,353",401,"293,242,869",389,"250,876,369",96,"42,366,500",57,"1,758,678",401,"45,285,806",2,5,39,99,65,92,42,17,40,401,"90,429,689",350,"2,212,440",349,"3,594,925",263,"9,954,973",49,"2,276,443",9,"48,090",30,"1,374,743",35,"124,580",174,"4,127,546",290,"29,476,538",154,"8,676,709",247,"20,799,829",387,"5,208,676",374,"3,257,006",90,"536,948",251,"2,671,506",81,"1,669,346",357,"1,888,641",223,"4,869,648",378,"17,185,730",401,109847469,34,24,44,61,51,46,51,36,54,367,2,4,2,8,0,7,4,281,52,1,4,2,5,2,8,2,4,7,5,281,47,6,290,"61,789",103,"24,228",259,"37,561"
35,1,26,53,St. Catharines,108,"115,743,149",108,"103,700,000",101,"90,740,000",30,"12,960,000",12,"359,309",108,"11,683,840",2,2,11,28,11,18,18,8,10,108,"38,894,451",92,"882,805",93,"874,312",77,"7,888,942",10,"242,955",2,x,4,"122,365",9,"9,071",38,"748,073",78,"14,648,467",45,"3,431,577",66,"11,216,890",107,"3,204,598",100,"1,121,036",17,"96,993",63,"606,901",25,"353,531",96,"852,413",56,"1,747,856",98,"5,494,133",108,46178766,8,12,11,10,10,10,19,8,20,100,0,0,0,1,0,2,0,60,35,0,1,1,1,0,1,0,3,2,1,60,32,0,78,"28,203",33,"11,564",69,"16,639"
35,1,26,57,Lincoln,473,"442,398,183",473,"387,057,722",454,"332,518,722",116,"54,539,000",93,"4,318,275",473,"51,022,186",2,7,48,131,67,119,40,16,43,473,"140,719,048",360,"2,348,196",371,"3,474,085",286,"14,338,425",84,"5,293,357",19,"126,789",51,"13,101,072",70,"704,919",222,"6,545,036",319,"38,975,072",174,"8,272,576",254,"30,702,496",452,"9,723,047",442,"4,249,567",87,"697,227",301,"2,149,408",90,"1,043,987",425,"3,739,455",253,"6,260,917",431,"28,075,278",473,160372708,41,28,54,65,63,54,64,52,52,432,4,7,3,23,1,15,6,277,84,2,4,6,11,3,23,0,17,17,4,277,70,10,319,"79,152",141,"42,559",265,"36,593"
35,1,26,65,Grimsby,115,"71,225,046",115,"61,592,870",112,"58,224,870",16,"3,368,000",33,"1,493,549",115,"8,138,627",1,0,13,32,23,26,10,5,5,115,"23,565,897",69,"354,232",82,"506,261",62,"3,209,085",33,"1,560,817",10,"277,133",22,"956,096",31,"89,238",42,"383,955",76,"7,626,877",38,"3,300,933",65,"4,325,944",110,"2,385,144",100,"734,241",19,"157,440",83,"593,452",20,"147,623",101,"533,654",51,"829,634",104,"3,498,148",115,26752513,17,9,14,20,8,9,13,12,13,98,2,2,0,9,1,4,1,47,30,1,0,1,3,0,9,0,7,5,0,47,25,2,76,"15,366",37,"9,868",59,"5,498"
35,1,28,0,Haldimand-Norfolk Reg. Mun.,"2,602","2,098,388,467","2,602","1,679,454,240","2,442","1,246,711,342","1,062","432,742,898","1,073","59,008,021","2,602","359,926,206",15,36,287,607,368,701,278,131,179,"2,602","458,563,823","1,996","27,018,925","1,796","24,256,566","1,905","17,235,434","1,020","30,397,353",240,"2,265,105",608,"35,426,304",921,"3,014,312","1,637","23,794,018","1,397","113,325,568",832,"30,740,197","1,109","82,585,371","2,497","30,104,759","2,459","23,461,753",546,"4,263,816","1,910","10,118,292",898,"13,078,450","2,404","12,029,726","1,672","24,991,115","2,449","66,047,432","2,602",541430839,117,97,257,433,287,264,514,427,206,2485,142,230,57,108,17,626,692,69,285,27,166,66,347,58,109,26,137,649,179,69,144,767,"1,397","243,022",488,"76,388","1,175","166,634"
35,1,28,18,Haldimand,951,"657,838,610",951,"516,114,581",921,"358,977,278",411,"157,137,303",667,"39,796,321",951,"101,927,708",2,19,134,265,137,220,81,37,56,951,"125,134,945",595,"4,828,388",531,"3,847,987",649,"5,189,474",635,"18,612,366",148,"889,944",387,"27,404,513",550,"2,187,875",535,"4,274,678",387,"14,712,535",245,"5,376,211",254,"9,336,324",896,"6,195,951",892,"6,134,681",134,"800,352",736,"2,560,754",317,"2,174,449",861,"3,397,464",560,"7,994,569",886,"14,818,909",951,148823006,60,55,141,199,122,102,116,97,59,891,114,161,34,60,14,249,51,13,131,23,9,32,256,34,61,21,74,266,10,13,55,101,387,"29,398",182,"22,786",258,"6,612"
35,1,28,52,Norfolk,"1,651","1,440,549,857","1,651","1,163,339,659","1,521","887,734,064",651,"275,605,595",406,"19,211,700","1,651","257,998,498",13,17,153,342,231,481,197,94,123,"1,651","333,428,878","1,401","22,190,537","1,265","20,408,579","1,256","12,045,960",385,"11,784,987",92,"1,375,161",221,"8,021,791",371,"826,437","1,102","19,519,340","1,010","98,613,033",587,"25,363,986",855,"73,249,047","1,601","23,908,808","1,567","17,327,072",412,"3,463,464","1,174","7,557,538",581,"10,904,001","1,543","8,632,262","1,112","16,996,546","1,563","51,228,523","1,651",392607833,57,42,116,234,165,162,398,330,147,1594,28,69,23,48,3,377,641,56,154,4,157,34,91,24,48,5,63,383,169,56,89,666,"1,010","213,624",306,"53,602",917,"160,022"
35,1,29,0,Brant County,817,"752,565,852",817,"621,932,290",772,"444,981,178",303,"176,951,112",417,"25,662,940",817,"104,970,622",3,4,56,169,141,231,92,43,78,817,"121,553,670",600,"8,307,826",527,"6,131,108",565,"7,301,315",395,"10,431,532",131,"937,686",201,"6,514,479",352,"1,860,364",508,"5,154,919",402,"26,565,932",253,"9,647,470",298,"16,918,462",773,"7,150,137",741,"6,591,044",157,"1,627,594",614,"2,925,298",269,"4,561,007",760,"3,598,989",476,"7,350,734",752,"15,481,392",817,144282453,55,43,92,126,100,96,136,93,76,762,74,73,23,24,12,229,144,20,115,10,22,16,140,23,24,6,79,242,29,20,43,156,402,"54,742",190,"26,296",297,"28,446"
35,1,29,5,Brant,817,"752,565,852",817,"621,932,290",772,"444,981,178",303,"176,951,112",417,"25,662,940",817,"104,970,622",3,4,56,169,141,231,92,43,78,817,"121,553,670",600,"8,307,826",527,"6,131,108",565,"7,301,315",395,"10,431,532",131,"937,686",201,"6,514,479",352,"1,860,364",508,"5,154,919",402,"26,565,932",253,"9,647,470",298,"16,918,462",773,"7,150,137",741,"6,591,044",157,"1,627,594",614,"2,925,298",269,"4,561,007",760,"3,598,989",476,"7,350,734",752,"15,481,392",817,144282453,55,43,92,126,100,96,136,93,76,762,74,73,23,24,12,229,144,20,115,10,22,16,140,23,24,6,79,242,29,20,43,156,402,"54,742",190,"26,296",297,"28,446"
35,2,30,0,Waterloo Regional Municipality,"1,444","1,386,845,041","1,444","1,105,512,221","1,359","813,288,251",487,"292,223,970","1,210","143,379,066","1,444","137,953,754",10,13,41,171,244,644,149,45,127,"1,444","322,890,373","1,057","5,708,458",950,"3,926,934","1,136","7,329,223","1,170","65,770,009",373,"5,214,687",959,"115,477,456","1,091","7,213,942","1,112","10,714,526",574,"30,062,810",393,"11,026,298",324,"19,036,512","1,355","9,335,976","1,318","10,492,916",195,"1,070,976","1,116","5,784,209",428,"7,085,389","1,287","6,250,743",895,"12,975,870","1,344","23,690,936","1,444",379601661,62,47,96,163,114,140,435,262,125,1382,296,289,226,91,6,182,28,8,105,110,15,26,574,231,91,14,164,189,15,9,27,68,574,"57,992",345,"45,568",322,"12,424"
35,2,30,4,North Dumfries,117,"165,754,341",117,"139,379,818",111,"87,680,818",45,"51,699,000",84,"7,920,516",117,"18,454,007",0,0,6,21,23,30,16,2,19,117,"41,834,174",81,"764,059",62,"413,845",78,"638,493",81,"7,136,344",16,"52,786",53,"9,601,375",74,"466,021",77,"700,442",49,"8,541,036",37,"1,321,463",27,"7,219,573",105,"1,023,572",99,"1,211,421",20,"96,010",88,"469,487",43,"2,290,254",108,"910,859",66,"854,972",108,"6,715,984",117,47765239,14,5,9,22,15,15,12,14,11,103,15,23,2,10,2,27,6,0,13,3,1,1,37,2,10,2,10,29,1,0,3,9,49,"13,291",32,"12,105",28,"1,186"
35,2,30,10,Cambridge,32,"39,028,689",32,"34,329,501",25,"21,037,001",16,"13,292,500",19,"1,708,724",32,"2,990,464",1,1,2,6,2,9,5,1,5,32,"12,392,497",19,"139,586",18,x,21,"112,648",20,x,3,"41,470",14,"3,511,208",17,x,22,x,13,"501,423",8,"399,034",8,"102,389",27,"182,738",27,"224,537",1,x,23,"137,938",17,"181,845",30,x,14,"88,077",31,"417,402",32,13542914,3,3,3,5,5,1,7,3,2,29,2,6,1,3,0,7,1,1,3,2,1,2,7,2,3,0,3,7,1,1,2,3,13,535,5,129,10,406
35,2,30,13,Kitchener,29,"42,969,439",29,"37,751,001",24,"24,990,001",13,"12,761,000",17,"1,838,409",29,"3,380,029",2,1,3,3,2,6,4,0,8,29,"7,327,092",19,"183,232",16,x,19,"762,669",18,x,5,"61,575",10,"1,440,744",15,x,18,x,10,"1,080,622",7,"357,451",7,"723,171",27,"352,142",25,"161,685",3,x,22,"176,838",12,"135,786",23,x,16,"263,493",25,"672,532",29,9368485,2,3,3,1,1,7,3,5,4,27,3,3,0,0,0,7,0,1,7,2,1,3,6,1,0,0,5,7,1,2,4,1,10,"2,144",9,"1,922",4,222
35,2,30,20,Wilmot,271,"330,004,333",271,"273,723,948",256,"187,981,943",106,"85,742,005",201,"21,345,476",271,"34,934,909",2,3,11,36,43,80,41,14,41,271,"83,106,130",162,"1,406,957",139,"1,033,846",179,"1,508,907",190,"12,878,637",54,"1,498,373",126,"36,423,402",164,"1,114,504",176,"1,720,555",132,"7,841,277",96,"3,312,417",77,"4,528,860",254,"2,293,181",246,"2,571,433",37,"278,202",205,"1,655,065",101,"1,661,625",251,"1,964,327",172,"3,708,700",247,"5,045,512",271,98410670,19,15,28,40,27,18,50,37,37,252,46,40,19,25,2,61,9,1,26,13,6,4,86,19,25,5,27,63,6,1,5,15,132,"14,005",82,"10,629",78,"3,376"
35,2,30,27,Wellesley,501,"348,493,409",501,"262,058,781",480,"226,272,131",127,"35,786,650",470,"57,581,935",501,"28,852,693",3,3,7,46,89,292,40,11,10,501,"80,408,733",392,"1,031,330",359,"652,639",427,"1,356,364",458,"20,762,731",129,"1,553,878",403,"34,793,958",444,"2,618,355",425,"2,630,463",172,"1,928,363",102,"1,260,397",101,"667,966",477,"2,320,393",458,"2,558,594",63,"282,894",391,"1,330,146",100,"638,381",440,"1,147,192",308,"3,129,628",467,"3,227,302",501,92972525,7,12,26,43,35,61,184,109,24,494,95,125,147,19,0,24,7,0,21,44,4,8,218,149,19,2,54,25,4,0,1,22,172,"7,051",98,"5,995",92,"1,056"
35,2,30,35,Woolwich,494,"460,594,830",494,"358,269,172",463,"265,326,357",180,"92,942,815",419,"52,984,006",494,"49,341,652",2,5,12,59,85,227,43,17,44,494,"97,821,747",384,"2,183,294",356,"1,582,630",412,"2,950,142",403,"19,466,089",166,"2,006,605",353,"29,706,769",377,"2,458,851",394,"3,314,307",198,"10,170,089",143,"4,375,536",104,"5,794,553",465,"3,163,950",463,"3,765,246",71,"387,847",387,"2,014,735",155,"2,177,498",435,"1,937,096",319,"4,931,000",466,"7,612,204",494,117541828,17,9,27,52,31,38,179,94,47,477,135,92,57,34,2,56,5,5,35,46,2,8,220,58,34,5,65,58,2,5,12,18,198,"20,966",119,"14,788",110,"6,178"
35,2,31,0,Perth County,"2,570","2,842,655,094","2,570","2,313,156,256","2,452","1,821,737,399",876,"491,418,857","1,973","206,948,463","2,570","322,550,375",6,18,91,296,376,860,412,188,323,"2,570","459,985,734","2,034","15,193,913","1,814","10,823,535","2,114","14,003,146","1,853","101,277,539",518,"7,483,497","1,362","99,603,237","1,757","12,125,382","1,980","26,764,362","1,134","31,256,749",839,"18,499,192",615,"12,757,557","2,448","15,547,372","2,418","17,450,888",421,"3,053,118","2,100","9,850,709",803,"13,371,385","2,386","11,227,516","1,853","37,528,955","2,434","40,907,928","2,570",555081128,48,60,138,371,358,391,619,348,237,2522,509,400,407,108,17,740,43,6,147,93,16,36,898,412,108,37,179,760,16,6,25,81,"1,134","66,025",635,"54,025",672,"12,000"
35,2,31,13,Perth South,403,"500,127,368",403,"413,221,721",378,"307,874,336",165,"105,347,385",284,"34,283,100",403,"52,622,547",1,3,14,52,49,122,59,38,65,403,"68,403,860",311,"2,730,309",281,"2,180,856",315,"2,378,021",261,"12,389,017",65,"886,772",170,"12,016,977",260,"1,866,784",300,"3,540,849",188,"5,272,266",131,"2,857,172",113,"2,415,094",383,"2,252,556",384,"2,911,727",78,"859,178",325,"1,523,199",143,"2,871,512",373,"1,612,360",299,"6,041,674",384,"7,956,575",403,82781330,6,10,26,53,61,57,92,61,37,397,74,57,37,20,3,137,5,4,35,8,8,9,129,38,20,3,36,140,8,4,6,13,188,"10,292",101,"8,559",118,"1,733"
35,2,31,25,West Perth,630,"794,525,032",630,"661,844,292",593,"522,554,820",203,"139,289,472",420,"43,886,054",630,"88,794,686",2,4,20,66,76,189,125,53,95,630,"115,698,510",522,"4,887,831",488,"3,662,602",529,"4,760,106",382,"24,077,426",99,"3,106,312",294,"21,392,244",367,"3,010,582",468,"7,104,900",275,"8,612,208",207,"5,203,091",156,"3,409,117",603,"4,311,479",601,"4,309,559",106,"901,609",504,"2,260,447",183,"4,137,599",604,"2,987,560",457,"9,445,427",595,"9,836,931",630,139733556,10,10,22,81,102,105,149,83,68,620,64,82,132,13,7,266,2,1,22,16,4,11,147,133,13,2,32,274,4,1,3,11,275,"15,961",152,"12,057",167,"3,904"
