AREAID,PROV,CAR,CD,CCS,SGC,AREANAME,NTFAREA,TFAREA,ETFAREA,NTOTIMP,TOTIMP,ETOTIMP,NCRPLND,CRPLND,ECRPLND,NSUMMRF,SUMMRF,ESUMMRF,NIMPAST,IMPAST,EIMPAST,NOTHIMP,OTHIMP,EOTHIMP,TOTUNIM,ETOTUNIM,NWDLAND,WDLAND,EWDLAND,NOUNIMP,OUNIMP,EOUNIMP,ILANDIST,ILANDIST_1,ILANDIST_2,ILANDIST_3,ILANDIST_4,ILANDIST_5,ILANDIST_6,ILANDIST_7,ILANDIST_8,ILANDIST_9,ILANDIST_10,ILANDIST_11,ILANDIST_12,ILANDIST_13,NFORAGE,FORAGE,EFORAGE,NALFASD,ALFASD,EALFASD,NALSIKE,ALSIKE,EALSIKE,NCLOVRD,CLOVRD,ECLOVRD,NCLOVSW,CLOVSW,ECLOVSW,NTIMOTHY,TIMOTHY,ETIMOTHY,NBROMSD,BROMSD,EBROMSD,NFESCUE,FESCUE,EFESCUE,NOFORGSD,OFORGSD,EOFORGSD,NTOTFER,TOTFER,ETOTFER,TOTTON,NFERCPA,FERCPA,EFERCPA,FERCPT,NFERTHA,FERTHA,EFERTHA,FERTHT,NFERIPA,FERIPA,EFERIPA,FERIPT,NSPRAY,NHERBCI,HERBCI,EHERBCI,NINSECTI,INSECTI,EINSECTI,NIRRIG,IRRIG,EIRRIG,NIRGSSY,IRGSSY,EIRGSSY
240983000,24,9,83,0,2483000,TEMISCAMINGUE,546,"233,104","94,334",541,"126,882","51,347",535,"91,789","37,146",61,"2,835","1,147",331,"24,531","9,927",231,"7,727","3,127","106,224","42,987",375,"73,552","29,765",308,"32,672","13,222",541,5,6,4,53,75,67,108,161,45,17,4,1,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,215,"26,482","10,717","3,753",164,"11,079","4,484","1,847",114,"11,125","4,502","1,474",106,"4,278","1,731",432,60,33,"2,220",898,34,"3,621","1,465",..,..,..,2,150,61
240983300,24,9,83,300,2483300,SAINT-EDOUARD-DE-FABRE,30,"16,289","6,592",29,"8,219","3,326",29,"6,152","2,490",2,24,10,17,"1,322",535,20,721,292,"8,070","3,266",27,"6,121","2,477",20,"1,949",789,29,1,0,1,1,1,4,8,9,2,3,0,0,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,12,603,244,161,7,247,100,26,6,176,71,112,8,180,73,23,1,1,32,13,0,0,0,..,..,..,0,0,0
240983310,24,9,83,310,2483310,SAINT-PLACIDE-DE-BEARN,21,"11,440","4,630",21,"6,404","2,592",21,"4,437","1,796",0,0,0,14,"1,614",653,9,353,143,"5,037","2,038",19,"4,019","1,626",10,"1,018",412,21,0,0,0,2,3,2,3,5,4,1,1,0,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,8,"1,073",434,107,7,400,162,53,5,492,199,39,5,181,73,15,0,0,0,0,0,0,0,..,..,..,0,0,0
240983330,24,9,83,330,2483330,DUHAMEL-OUEST,35,"13,137","5,316",35,"6,236","2,524",35,"4,433","1,794",3,96,39,23,"1,439",582,16,268,108,"6,901","2,793",20,"4,522","1,830",22,"2,379",963,35,0,0,1,5,8,3,9,9,0,0,0,0,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,13,"1,059",429,122,8,344,139,43,6,387,157,44,7,328,133,35,8,7,318,129,2,6,2,..,..,..,0,0,0
240983360,24,9,83,360,2483360,N.-D.-DE-LOURDES-DE-LORRAINVILLE,43,"16,834","6,812",43,"9,881","3,999",42,"7,452","3,016",9,362,146,27,"1,653",669,18,414,168,"6,954","2,814",31,"5,428","2,197",18,"1,526",618,43,0,1,0,1,5,7,13,12,3,1,0,0,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,24,"2,819","1,141",391,21,"1,017",412,235,12,"1,269",514,107,15,533,216,49,2,1,52,21,1,40,16,..,..,..,0,0,0
240983380,24,9,83,380,2483380,SAINT-BRUNO-DE-GUIGUES,58,"22,109","8,947",58,"13,426","5,433",58,"9,611","3,889",5,146,59,40,"2,690","1,089",25,979,396,"8,683","3,514",44,"6,833","2,765",23,"1,850",749,58,0,0,0,5,7,8,17,16,3,1,1,0,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,27,"1,642",664,373,24,"1,176",476,220,9,328,133,106,6,138,56,47,4,4,173,70,0,0,0,..,..,..,0,0,0
240983390,24,9,83,390,2483390,LAVERLOCHERE,38,"15,962","6,460",38,"8,398","3,399",38,"5,696","2,305",3,77,31,29,"2,334",945,17,291,118,"7,563","3,061",25,"5,958","2,411",23,"1,605",650,38,0,0,0,3,9,4,5,13,3,1,0,0,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,22,"2,997","1,213",346,19,926,375,104,12,"1,701",688,198,10,370,150,44,2,2,160,65,0,0,0,..,..,..,0,0,0
240983410,24,9,83,410,2483410,FUGEREVILLE,33,"14,831","6,002",32,"6,646","2,690",32,"5,396","2,184",0,0,0,17,870,352,9,380,154,"8,185","3,312",28,"6,073","2,458",22,"2,112",855,32,1,0,0,3,6,3,9,7,4,0,0,0,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,11,956,387,136,7,309,125,34,4,360,146,76,7,287,116,26,1,1,10,4,1,60,24,..,..,..,0,0,0
240983420,24,9,83,420,2483420,LATULIPE ET GABOURY,18,"10,389","4,204",18,"5,475","2,216",18,"3,243","1,312",4,632,256,14,761,308,13,839,340,"4,914","1,989",14,"4,139","1,675",8,775,314,18,0,0,0,0,3,1,3,4,5,2,0,0,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,6,963,390,50,6,323,131,26,3,400,162,15,4,240,97,9,0,0,0,0,0,0,0,..,..,..,0,0,0
240983460,24,9,83,460,2483460,MOFFET,15,"6,388","2,585",15,"3,176","1,285",14,"1,738",703,5,279,113,9,825,334,8,334,135,"3,212","1,300",12,"2,554","1,034",9,658,266,15,0,0,0,1,5,1,1,6,0,1,0,0,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2,310,125,122,1,200,81,2,1,110,45,120,0,0,0,0,0,0,0,0,0,0,0,..,..,..,0,0,0
240983490,24,9,83,490,2483490,SAINT-EUGENE-DE-GUIGUES,31,"16,717","6,765",31,"10,945","4,429",31,"8,558","3,463",3,79,32,18,"1,442",584,10,866,350,"5,772","2,336",18,"3,962","1,603",19,"1,810",732,31,0,0,0,1,2,2,3,13,7,2,0,1,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,24,"6,296","2,548",719,24,"3,265","1,321",582,15,"2,128",861,83,15,903,365,54,4,4,790,320,3,730,295,..,..,..,0,0,0
240983500,24,9,83,500,2483500,NOTRE-DAME-DU-NORD,26,"11,349","4,593",26,"7,653","3,097",26,"5,852","2,368",3,220,89,12,"1,001",405,13,580,235,"3,696","1,496",13,"1,901",769,16,"1,795",726,26,0,1,1,0,3,2,3,9,5,2,0,0,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,10,"1,431",579,111,8,873,353,75,4,320,129,21,4,238,96,15,6,5,400,162,2,60,24,..,..,..,0,0,0
240983520,24,9,83,520,2483520,GUERIN,14,"8,121","3,286",14,"3,634","1,471",13,"2,684","1,086",0,0,0,9,766,310,11,184,74,"4,489","1,817",11,"3,709","1,501",7,780,316,14,0,0,0,2,1,1,4,3,2,0,1,0,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3,293,119,26,2,152,62,15,2,141,57,11,0,0,0,0,1,1,30,12,0,0,0,..,..,..,0,0,0
240983530,24,9,83,530,2483530,NEDELEC,46,"21,519","8,708",46,"11,216","4,539",45,"8,321","3,367",2,48,19,34,"2,315",937,20,532,215,"10,303","4,169",38,"8,732","3,534",19,"1,571",636,46,0,0,0,1,3,11,9,20,2,0,0,0,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,18,"2,190",886,222,15,785,318,111,12,"1,080",437,90,7,325,132,21,5,5,240,97,0,0,0,..,..,..,1,70,28
240983620,24,9,83,620,2483620,MONTBEILLARD,11,"3,149","1,274",11,"1,370",554,11,997,403,2,72,29,5,240,97,2,61,25,"1,780",720,7,559,226,6,"1,221",494,11,0,1,0,3,1,2,3,1,0,0,0,0,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4,241,98,51,1,16,6,3,3,170,69,39,2,55,22,9,3,0,0,0,3,225,91,..,..,..,0,0,0
240983920,24,9,83,920,2483920,"TEMISCAMINGUE, PTE RIVIERE-KIP.",127,"44,870","18,158",124,"24,203","9,795",122,"17,219","6,968",20,800,324,63,"5,259","2,128",40,925,374,"20,665","8,363",68,"9,042","3,659",86,"11,623","4,704",124,3,3,1,25,18,16,18,34,5,3,1,0,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,31,"3,609","1,461",816,14,"1,046",423,318,20,"2,063",835,413,16,500,202,85,23,2,15,6,22,"2,500","1,012",..,..,..,1,80,32
240984000,24,9,84,0,2484000,ABITIBI,876,"348,289","140,948",862,"178,516","72,243",829,"117,214","47,435",137,"7,540","3,051",554,"40,596","16,429",303,"13,166","5,328","169,772","68,704",561,"93,269","37,745",553,"76,503","30,960",862,14,6,8,134,174,122,136,193,57,24,4,3,1,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,283,"29,746","12,038","4,157",114,"6,473","2,620","1,354",192,"16,356","6,619","2,028",145,"6,917","2,799",775,18,9,205,83,12,636,257,..,..,..,1,5,2
240984230,24,9,84,230,2484230,LA CORNE,17,"5,558","2,249",17,"2,702","1,093",17,"1,906",771,2,224,91,9,563,228,4,9,4,"2,857","1,156",10,"1,077",436,12,"1,780",720,17,0,0,0,4,3,5,2,2,1,0,0,0,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,6,364,147,34,5,128,52,13,3,100,40,9,4,136,55,12,0,0,0,0,0,0,0,..,..,..,0,0,0
240984240,24,9,84,240,2484240,LA MOTTE,19,"7,196","2,912",19,"3,828","1,549",18,"2,779","1,125",2,250,101,11,743,301,15,56,23,"3,368","1,363",15,"2,533","1,025",9,835,338,19,0,0,1,3,5,1,2,4,2,1,0,0,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2,210,85,37,1,20,8,10,2,170,69,22,1,20,8,5,0,0,0,0,0,0,0,..,..,..,0,0,0
240984320,24,9,84,320,2484320,ROQUEMAURE,19,"9,623","3,894",19,"5,117","2,071",18,"3,233","1,308",0,0,0,14,"1,241",502,11,643,260,"4,506","1,824",17,"3,446","1,395",11,"1,060",429,19,0,1,0,2,3,1,2,7,0,3,0,0,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,5,499,202,397,2,316,128,301,1,40,16,5,4,143,58,91,0,0,0,0,0,0,0,..,..,..,0,0,0
240984325,24,9,84,325,2484325,CLERVAL,35,"10,976","4,442",35,"6,424","2,600",35,"4,066","1,645",4,339,137,23,"1,829",740,10,190,77,"4,552","1,842",27,"3,493","1,414",15,"1,059",429,35,0,0,0,11,8,2,2,8,2,2,0,0,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,9,845,342,102,5,180,73,21,4,575,233,74,1,90,36,7,0,0,0,0,0,0,0,..,..,..,0,0,0
240984330,24,9,84,330,2484330,SAINTE-HELENE-DE-MANCEBOURG,20,"8,520","3,448",19,"3,755","1,520",19,"2,683","1,086",1,15,6,12,821,332,6,236,96,"4,765","1,928",15,"2,188",885,17,"2,577","1,043",19,1,0,0,3,3,5,2,4,2,0,0,0,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3,502,203,43,3,78,32,12,2,291,118,21,2,133,54,10,1,0,0,0,1,1,0,..,..,..,0,0,0
240984340,24,9,84,340,2484340,SAINT-LAURENT,12,"3,868","1,565",9,"1,133",459,7,809,327,1,10,4,3,75,30,4,239,97,"2,735","1,107",8,855,346,11,"1,880",761,9,3,0,0,3,2,1,2,1,0,0,0,0,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3,99,40,5,1,1,0,1,1,50,20,1,1,48,19,3,0,0,0,0,0,0,0,..,..,..,0,0,0
240984345,24,9,84,345,2484345,SAINTE-GERMAINE-BOULE,45,"15,242","6,168",44,"9,692","3,922",40,"7,024","2,843",5,139,56,24,"1,879",760,17,650,263,"5,550","2,246",28,"2,278",922,33,"3,272","1,324",44,1,0,0,4,13,4,8,7,7,1,0,0,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,15,"1,927",780,312,6,511,207,32,11,997,403,240,10,419,170,40,0,0,0,0,0,0,0,..,..,..,0,0,0
240984350,24,9,84,350,2484350,PALMAROLLE,44,"15,178","6,142",44,"10,137","4,102",41,"6,849","2,772",4,111,45,30,"1,633",661,17,"1,544",625,"5,042","2,040",28,"2,368",958,27,"2,674","1,082",44,0,0,0,2,4,8,14,11,5,0,0,0,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,18,"2,487","1,006",347,5,252,102,24,16,"1,842",745,201,10,393,159,122,0,0,0,0,0,0,0,..,..,..,0,0,0
240984360,24,9,84,360,2484360,COLOMBOURG,20,"6,494","2,628",20,"3,405","1,378",19,"2,169",878,8,235,95,11,634,257,13,367,149,"3,089","1,250",16,"1,987",804,10,"1,102",446,20,0,1,1,2,6,1,3,4,2,0,0,0,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,5,247,100,23,3,77,31,10,2,130,53,9,1,40,16,4,1,1,13,5,1,7,3,..,..,..,1,5,2
240984370,24,9,84,370,2484370,MACAMIC,39,"14,814","5,995",38,"8,093","3,275",37,"4,976","2,014",12,"1,045",423,25,"1,804",730,9,268,108,"6,721","2,720",26,"3,522","1,425",28,"3,199","1,295",38,1,0,0,6,8,4,4,13,2,1,0,0,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,10,"1,172",474,161,6,265,107,30,7,621,251,62,5,286,116,69,1,1,10,4,0,0,0,..,..,..,0,0,0
240984380,24,9,84,380,2484380,POULARIES,36,"13,997","5,664",35,"6,662","2,696",35,"4,767","1,929",9,384,155,22,"1,382",559,8,129,52,"7,335","2,968",28,"4,381","1,773",21,"2,954","1,195",35,1,0,0,7,7,5,6,7,2,1,0,0,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,8,856,346,98,4,130,53,26,6,520,210,47,4,206,83,25,0,0,0,0,0,0,0,..,..,..,0,0,0
240984390,24,9,84,390,2484390,AUTHIER,11,"3,369","1,363",11,"1,549",627,11,"1,054",427,0,0,0,6,396,160,3,99,40,"1,820",737,9,"1,274",516,6,546,221,11,0,0,0,2,4,1,3,1,0,0,0,0,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2,197,80,17,1,96,39,8,2,35,14,3,1,66,27,6,0,0,0,0,0,0,0,..,..,..,0,0,0
240984410,24,9,84,410,2484410,TASCHEREAU,17,"6,595","2,669",17,"3,436","1,390",15,"1,836",743,4,500,202,9,622,252,6,478,193,"3,159","1,278",8,"1,085",439,10,"2,074",839,17,0,0,0,3,3,2,2,6,0,1,0,0,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4,101,41,15,2,43,17,6,2,58,23,9,0,0,0,0,1,1,5,2,1,5,2,..,..,..,0,0,0
240984420,24,9,84,420,2484420,LAUNAY,13,"6,508","2,634",13,"2,621","1,061",13,"1,785",722,3,160,65,9,558,226,5,118,48,"3,887","1,573",11,"2,545","1,030",9,"1,342",543,13,0,0,0,1,1,5,3,2,1,0,0,0,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2,185,75,30,0,0,0,0,2,115,47,20,1,70,28,10,0,0,0,0,0,0,0,..,..,..,0,0,0
240984430,24,9,84,430,2484430,TRECESSON,22,"11,267","4,560",22,"5,183","2,097",22,"3,288","1,331",4,84,34,16,"1,086",439,9,725,293,"6,084","2,462",16,"5,395","2,183",13,689,279,22,0,0,0,2,3,3,3,9,1,1,0,0,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,10,"1,195",484,237,4,369,149,153,5,573,232,63,7,253,102,21,0,0,0,0,0,0,0,..,..,..,0,0,0
240984435,24,9,84,435,2484435,SAINT-MATHIEU,17,"5,594","2,264",17,"2,962","1,199",16,"1,821",737,4,82,33,10,692,280,15,367,149,"2,632","1,065",14,"2,024",819,9,608,246,17,0,0,0,2,8,2,1,1,3,0,0,0,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,7,568,230,120,4,280,113,48,5,148,60,64,3,140,57,8,1,1,68,28,0,0,0,..,..,..,0,0,0
240984440,24,9,84,440,2484440,SAINT-MARC-DE-FIGUERY,33,"13,437","5,438",33,"8,557","3,463",33,"7,008","2,836",2,37,15,24,"1,448",586,7,64,26,"4,880","1,975",23,"2,675","1,083",24,"2,205",892,33,0,0,0,1,7,5,10,5,1,3,0,1,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,17,"1,250",506,90,3,440,178,15,8,423,171,47,13,387,157,28,0,0,0,0,0,0,0,..,..,..,0,0,0
240984445,24,9,84,445,2484445,AMOS,20,"5,903","2,389",19,"2,623","1,061",18,"1,537",622,2,79,32,11,426,172,4,581,235,"3,280","1,327",5,"1,238",501,14,"2,042",826,19,1,1,1,4,4,4,3,1,0,1,0,0,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,9,488,197,48,3,64,26,6,7,303,123,31,4,121,49,11,1,1,4,2,0,0,0,..,..,..,0,0,0
240984450,24,9,84,450,2484450,AMOS-EST,32,"10,308","4,171",32,"6,401","2,590",32,"4,463","1,806",3,106,43,21,"1,584",641,12,248,100,"3,907","1,581",21,"3,457","1,399",10,450,182,32,0,0,0,2,4,8,9,9,0,0,0,0,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,11,825,334,72,6,261,106,28,6,382,155,29,6,182,74,15,1,0,0,0,1,50,20,..,..,..,0,0,0
240984460,24,9,84,460,2484460,SAINT-FELIX-DE-DALQUIER,22,"10,367","4,195",22,"4,033","1,632",22,"2,790","1,129",4,66,27,15,"1,091",442,5,86,35,"6,333","2,563",10,"2,458",995,18,"3,875","1,568",22,0,0,0,3,4,3,5,6,1,0,0,0,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,12,"1,615",654,167,6,276,112,39,7,"1,025",415,107,8,314,127,21,0,0,0,0,0,0,0,..,..,..,0,0,0
240984470,24,9,84,470,2484470,LANDRIENNE,22,"8,397","3,398",22,"3,453","1,397",21,"2,415",977,3,60,24,17,961,389,6,17,7,"4,944","2,001",15,"2,845","1,151",15,"2,099",849,22,0,1,0,3,4,8,3,3,0,0,0,0,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,6,242,98,28,3,84,34,8,4,75,30,17,3,83,34,3,0,0,0,0,0,0,0,..,..,..,0,0,0
240984500,24,9,84,500,2484500,FIEDMONT ET BARRAUTE,24,"8,510","3,444",24,"4,617","1,868",22,"2,792","1,130",6,327,132,20,"1,070",433,11,428,173,"3,892","1,575",10,"1,237",501,18,"2,655","1,074",24,0,0,0,3,6,4,3,7,1,0,0,0,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,10,"1,350",546,161,2,50,20,7,9,992,401,117,7,308,125,37,0,0,0,0,0,0,0,..,..,..,0,0,0
240984540,24,9,84,540,2484540,SENNETERRE,12,"8,651","3,501",12,"4,841","1,959",12,"2,719","1,100",1,5,2,10,"1,880",761,5,237,96,"3,809","1,541",9,"3,287","1,330",3,522,211,12,0,0,0,4,0,1,0,4,2,0,0,0,1,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,5,901,365,131,2,327,132,43,5,382,155,66,5,192,78,22,1,1,50,20,0,0,0,..,..,..,0,0,0
240984670,24,9,84,670,2484670,SAINT-JANVIER,12,"4,449","1,800",12,"2,420",979,12,"1,623",657,3,220,89,6,496,201,5,81,33,"2,027",820,6,967,391,8,"1,060",429,12,0,0,1,1,5,0,2,1,1,1,0,0,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,3,293,119,26,1,3,1,1,1,200,81,20,2,90,36,5,0,0,0,0,0,0,0,..,..,..,0,0,0
240984685,24,9,84,685,2484685,LA SARRE,27,"10,065","4,073",27,"5,125","2,074",27,"3,278","1,327",4,73,30,18,"1,396",565,9,378,153,"4,940","1,999",19,"2,910","1,178",14,"2,030",822,27,0,0,2,5,5,5,3,5,1,0,0,1,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4,174,70,26,0,0,0,0,4,154,62,21,1,20,8,5,0,0,0,0,0,0,0,..,..,..,0,0,0
240984700,24,9,84,700,2484700,SAINT-JACQUES-DE-DUPUY,26,"13,290","5,378",25,"6,501","2,631",23,"4,393","1,778",4,168,68,18,"1,327",537,10,613,248,"6,789","2,747",17,"2,869","1,161",16,"3,920","1,586",25,1,0,0,3,5,3,0,10,2,1,1,0,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,12,"1,232",499,115,3,190,77,16,10,791,320,83,4,251,102,16,0,0,0,0,0,0,0,..,..,..,0,0,0
240984715,24,9,84,715,2484715,LA REINE,32,"12,714","5,145",31,"6,289","2,545",30,"4,511","1,826",6,225,91,13,"1,410",571,3,143,58,"6,426","2,601",28,"4,280","1,732",23,"2,146",868,31,1,0,0,8,9,0,4,5,4,1,0,0,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,10,"1,072",434,167,4,326,132,39,7,467,189,104,5,279,113,24,0,0,0,0,0,0,0,..,..,..,0,0,0
240984720,24,9,84,720,2484720,CLERMONT,12,"5,872","2,376",12,"3,136","1,269",12,"1,224",495,6,102,41,11,613,248,6,"1,197",484,"2,736","1,107",6,880,356,9,"1,856",751,12,0,0,1,2,3,0,1,3,0,1,1,0,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,4,770,312,52,1,200,81,12,4,490,198,35,2,80,32,5,0,0,0,0,0,0,0,..,..,..,0,0,0
240984930,24,9,84,930,2484930,"ABITIBI, PARTIE LAC-PARENT",59,"30,935","12,519",56,"13,874","5,615",55,"8,638","3,496",11,"1,282",519,35,"2,942","1,191",15,"1,012",410,"17,061","6,904",31,"7,289","2,950",41,"9,772","3,955",56,3,1,0,9,9,7,9,11,6,2,1,1,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,19,"2,511","1,016",206,7,301,122,28,15,"1,504",609,136,9,706,286,42,2,0,0,0,2,66,27,..,..,..,0,0,0
240984940,24,9,84,940,2484940,"ABITIBI, PARTIE LAC-FOURNIERE",33,"10,457","4,232",33,"6,151","2,489",32,"4,148","1,679",2,22,9,22,"1,865",755,8,116,47,"4,307","1,743",13,"1,824",738,20,"2,483","1,005",33,0,0,1,9,3,5,3,9,2,1,0,0,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,11,"1,191",482,130,6,269,109,54,6,526,213,40,6,396,160,36,2,2,45,18,0,0,0,..,..,..,0,0,0
240984970,24,9,84,970,2484970,"ABITIBI, PARTIE LAC-DUPARQUET",83,"36,051","14,589",82,"15,828","6,405",76,"10,486","4,244",12,985,399,47,"3,761","1,522",24,596,241,"20,223","8,184",58,"13,004","5,263",49,"7,219","2,921",82,1,1,0,16,14,14,13,16,6,2,0,0,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,26,"3,132","1,267",649,5,668,270,327,20,"1,655",670,279,8,809,327,43,4,0,0,0,4,480,194,..,..,..,0,0,0
240984985,24,9,84,985,2484985,"ABITIBI, PARTIE GUYENNE",41,"14,084","5,700",41,"7,968","3,225",39,"4,144","1,677",5,205,83,32,"2,368",958,21,"1,251",506,"6,116","2,475",14,"1,598",647,30,"4,518","1,828",41,0,0,0,4,11,5,9,11,0,0,1,0,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,15,"1,246",504,111,10,268,108,36,8,722,292,46,7,256,104,29,2,1,10,4,2,27,11,..,..,..,0,0,0
240998000,24,9,98,0,2498000,TERRITOIRE-DU-NOUVEAU-QUEBEC,21,"6,868","2,779",20,"3,638","1,472",19,"2,075",840,1,2,1,11,"1,306",529,8,255,103,"3,230","1,307",14,"2,118",857,10,"1,112",450,20,1,1,1,4,3,3,3,3,1,1,0,0,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2,83,34,10,2,83,34,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,0,0,0
240998400,24,9,98,400,2498400,BAIE-JAMES,21,"6,868","2,779",20,"3,638","1,472",19,"2,075",840,1,2,1,11,"1,306",529,8,255,103,"3,230","1,307",14,"2,118",857,10,"1,112",450,20,1,1,1,4,3,3,3,3,1,1,0,0,0,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,2,83,34,10,2,83,34,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,..,..,..,0,0,0
